Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-243.0056	-220.7159	-22.28973	0.02680298	0.01527199	0.011531	0.01527199
10	-242.8305	-221.7444	-21.0861	0.03080671	0.01758276	0.01322395	0.01758276
20	-243.1461	-222.0776	-21.06845	0.02903721	0.0188312	0.01020601	0.0188312
30	-243.4169	-223.9869	-19.43	0.03710541	0.02172622	0.01537919	0.02172622
40	-243.4018	-223.976	-19.42584	0.03705466	0.0217549	0.01529976	0.0217549
50	-243.2742	-223.667	-19.60727	0.03348847	0.02307572	0.01041274	0.02307572
60	-243.4107	-219.6182	-23.79248	0.02386831	0.01230816	0.01156015	0.01230816
70	-243.7785	-218.5689	-25.20954	0.02500662	0.009486302	0.01552031	0.009486302
80	-243.8841	-224.2383	-19.64571	0.03813409	0.02077758	0.0173565	0.02077758
90	-244.3579	-221.5655	-22.79236	0.02402935	0.01620545	0.007823897	0.01620545
100	-244.3549	-227.2638	-17.09108	0.04370916	0.03216312	0.01154603	0.03216312
110	-243.3003	-224.0686	-19.23169	0.03690942	0.02260212	0.0143073	0.02260212
120	-243.2558	-220.4169	-22.83885	0.02946157	0.01324413	0.01621743	0.01324413
130	-243.571	-224.0976	-19.47341	0.037565	0.02146395	0.01610104	0.02146395
140	-243.3166	-224.4461	-18.87047	0.03675228	0.02460753	0.01214474	0.02460753
150	-243.6845	-220.0356	-23.64895	0.02324401	0.0129986	0.01024541	0.0129986
160	-242.8227	-221.4873	-21.33542	0.03018042	0.01696933	0.01321109	0.01696933
170	-244.0566	-226.4498	-17.60683	0.04253256	0.02870339	0.01382916	0.02870339
180	-244.1944	-224.2545	-19.93998	0.03225694	0.02457195	0.007684993	0.02457195
190	-242.8768	-221.2284	-21.64841	0.03022987	0.01600329	0.01422658	0.01600329
200	-242.8556	-221.2972	-21.55833	0.02890497	0.01673333	0.01217164	0.01673333
210	-242.8623	-220.8546	-22.00769	0.0290759	0.01528491	0.01379099	0.01528491
220	-243.6106	-224.7489	-18.8617	0.03599831	0.02602073	0.009977577	0.02602073
230	-242.9895	-221.9473	-21.0422	0.03227122	0.01731509	0.01495613	0.01731509
240	-243.1021	-221.3009	-21.8012	0.03120106	0.01541585	0.0157852	0.01541585
250	-243.7857	-225.6847	-18.10102	0.04070816	0.02666564	0.01404252	0.02666564
260	-242.8995	-221.3191	-21.58037	0.03057702	0.01611574	0.01446128	0.01611574
270	-243.6945	-220.4593	-23.23528	0.03013631	0.01240467	0.01773164	0.01240467
280	-243.8157	-219.3386	-24.47709	0.02760302	0.01041286	0.01719016	0.01041286
290	-243.6761	-224.3285	-19.34766	0.03413816	0.02495286	0.009185299	0.02495286
300	-243.1725	-223.929	-19.24344	0.03565403	0.02318428	0.01246975	0.02318428
310	-243.316	-220.3008	-23.01522	0.0292891	0.0128983	0.0163908	0.0128983
320	-243.2564	-222.2345	-21.02188	0.0334477	0.01717194	0.01627576	0.01717194
330	-243.4624	-218.9101	-24.55225	0.02506553	0.0105225	0.01454303	0.0105225
340	-247.12	-230.2697	-16.85032	0.04863686	0.04246182	0.006175047	0.04246182
350	-247.6272	-229.972	-17.65517	0.04674296	0.0415254	0.005217562	0.0415254
360	-243.0399	-221.9584	-21.0815	0.03244576	0.01716397	0.01528179	0.01716397
370	-242.8787	-221.6156	-21.26306	0.03110284	0.01692017	0.01418267	0.01692017
380	-243.6044	-219.005	-24.59946	0.02622383	0.01031866	0.01590516	0.01031866
390	-243.9967	-221.0289	-22.96778	0.02385364	0.01514736	0.008706282	0.01514736
400	-245.3799	-229.192	-16.18794	0.04977505	0.03468326	0.01509179	0.03468326
410	-243.262	-221.8487	-21.41329	0.03265962	0.01621725	0.01644237	0.01621725
420	-243.0813	-220.5477	-22.53354	0.02615757	0.01481004	0.01134753	0.01481004
430	-242.8818	-222.2218	-20.66001	0.03217401	0.01859173	0.01358228	0.01859173
440	-245.224	-227.5551	-17.66895	0.0457541	0.02747387	0.01828023	0.02747387
450	-244.0998	-225.9002	-18.19958	0.04171245	0.02580142	0.01591103	0.02580142
460	-244.5704	-217.7969	-26.77356	0.02123904	0.007762286	0.01347675	0.007762286
470	-243.5956	-221.4682	-22.12735	0.02591622	0.01679939	0.00911683	0.01679939
480	-243.7016	-221.4937	-22.20787	0.02564754	0.01676047	0.00888707	0.01676047
490	-243.5976	-222.1985	-21.39912	0.02769289	0.01886565	0.008827243	0.01886565
500	-243.573	-222.9872	-20.58584	0.03002822	0.02116818	0.008860033	0.02116818
510	-243.6128	-220.5779	-23.03483	0.03032273	0.01277666	0.01754607	0.01277666
520	-242.9955	-222.1976	-20.79788	0.03277904	0.01795613	0.01482291	0.01795613
530	-243.1828	-220.0564	-23.12634	0.02513914	0.01352254	0.0116166	0.01352254
540	-243.3895	-220.8276	-22.56186	0.03062727	0.01371783	0.01690944	0.01371783
550	-246.7475	-228.5493	-18.19814	0.0473215	0.02533204	0.02198946	0.02533204
560	-243.0383	-221.1236	-21.9147	0.02731706	0.01632078	0.01099628	0.01632078
570	-244.1785	-220.8456	-23.33285	0.0230466	0.01443599	0.00861061	0.01443599
580	-244.9508	-226.7799	-18.17086	0.04394149	0.02555612	0.01838536	0.02555612
590	-245.1568	-227.9411	-17.21578	0.04349276	0.03519415	0.00829861	0.03519415
600	-243.0669	-222.7731	-20.29377	0.03406981	0.01931438	0.01475543	0.01931438
610	-243.5052	-224.7553	-18.74986	0.03658699	0.02588165	0.01070534	0.02588165
620	-243.2245	-221.0466	-22.17782	0.03087207	0.01454752	0.01632455	0.01454752
630	-244.4735	-221.9633	-22.51022	0.0336297	0.01367205	0.01995765	0.01367205
640	-243.1582	-223.3063	-19.85195	0.03527085	0.0205937	0.01467715	0.0205937
650	-244.0209	-224.6045	-19.4164	0.03396762	0.02568981	0.008277807	0.02568981
660	-244.718	-223.5838	-21.13424	0.03692945	0.01664171	0.02028775	0.01664171
670	-245.6153	-223.2266	-22.3887	0.02569389	0.01996561	0.005728277	0.01996561
680	-244.6045	-227.8589	-16.74562	0.0454077	0.03362383	0.01178387	0.03362383
690	-245.7887	-229.1042	-16.68448	0.04660589	0.03866091	0.007944973	0.03866091
700	-243.7868	-225.6831	-18.10366	0.04071108	0.02664902	0.01406206	0.02664902
710	-243.8911	-226.1325	-17.75861	0.04085929	0.02907232	0.01178698	0.02907232
720	-243.1464	-223.6864	-19.46002	0.03568893	0.02206752	0.01362141	0.02206752
730	-242.991	-223.1056	-19.88534	0.03360713	0.02115225	0.01245487	0.02115225
740	-244.4077	-218.2263	-26.18132	0.02518365	0.008167948	0.0170157	0.008167948
750	-242.9242	-220.6003	-22.32382	0.02724787	0.01496406	0.01228381	0.01496406
760	-246.2079	-230.813	-15.39494	0.05407991	0.03879725	0.01528265	0.03879725
770	-243.0208	-223.19	-19.83072	0.03434031	0.02101505	0.01332526	0.02101505
780	-244.4557	-222.2193	-22.23638	0.02537926	0.0180351	0.007344159	0.0180351
790	-243.9822	-223.1792	-20.80301	0.03598483	0.01752123	0.01846361	0.01752123
800	-243.051	-220.5728	-22.47816	0.02635095	0.01488848	0.01146247	0.01488848
810	-243.3276	-220.69	-22.63761	0.030229	0.01359257	0.01663643	0.01359257
820	-243.8256	-218.4623	-25.36336	0.02289315	0.009509958	0.0133832	0.009509958
830	-243.9626	-223.7618	-20.20083	0.03126642	0.02321824	0.008048181	0.02321824
840	-243.0255	-220.4228	-22.60263	0.02632566	0.01451452	0.01181114	0.01451452
850	-244.4719	-220.79	-23.68188	0.03126766	0.0115663	0.01970136	0.0115663
860	-244.7265	-225.2078	-19.51873	0.04038573	0.02100685	0.01937888	0.02100685
870	-242.8442	-221.483	-21.36116	0.0294379	0.01718612	0.01225178	0.01718612
880	-242.9644	-222.0096	-20.95484	0.02979766	0.01866046	0.0111372	0.01866046
890	-242.8531	-222.0303	-20.82272	0.03157691	0.01822324	0.01335367	0.01822324
900	-248.6284	-230.9816	-17.64675	0.05185169	0.02750334	0.02434835	0.02750334
910	-243.3472	-224.5335	-18.81371	0.03685489	0.02490531	0.01194958	0.02490531
920	-244.0936	-226.6675	-17.42609	0.04236001	0.03035761	0.0120024	0.03035761
930	-244.0186	-219.3345	-24.68411	0.027823	0.01008167	0.01774133	0.01008167
940	-243.2181	-223.7836	-19.43446	0.03428703	0.02327479	0.01101224	0.02327479
950	-242.9611	-221.2408	-21.72023	0.0306682	0.01571312	0.01495508	0.01571312
960	-243.1166	-221.6651	-21.45149	0.02812201	0.01772569	0.01039632	0.01772569
970	-243.5503	-218.8448	-24.70551	0.02364897	0.01048254	0.01316643	0.01048254
980	-243.7817	-222.5846	-21.19712	0.03466694	0.01658275	0.01808418	0.01658275
990	-243.8508	-225.0072	-18.84357	0.03967546	0.02347453	0.01620093	0.02347453
1000	-244.3961	-224.3825	-20.01361	0.03859865	0.01958631	0.01901234	0.01958631
1010	-242.8233	-221.6265	-21.19677	0.03037107	0.01736529	0.01300578	0.01736529
1020	-242.8246	-221.6605	-21.1641	0.03034067	0.01749124	0.01284943	0.01749124
1030	-243.6177	-224.564	-19.05371	0.03851786	0.02287809	0.01563977	0.02287809
1040	-243.1474	-222.9265	-20.22084	0.03155899	0.02111297	0.01044602	0.02111297
1050	-243.4529	-224.9034	-18.54951	0.03820394	0.02550694	0.01269701	0.02550694
1060	-243.6745	-222.4329	-21.2416	0.03428841	0.01649763	0.01779078	0.01649763
1070	-245.9916	-223.967	-22.02458	0.02737653	0.02214398	0.005232549	0.02214398
1080	-243.5351	-224.9365	-18.59862	0.03890098	0.02481605	0.01408493	0.02481605
1090	-243.826	-225.823	-18.00301	0.03958189	0.02860032	0.01098158	0.02860032
1100	-243.221	-223.9514	-19.26964	0.03638431	0.02263979	0.01374452	0.02263979
1110	-243.4916	-223.0394	-20.45219	0.03537441	0.01856706	0.01680734	0.01856706
1120	-244.3873	-226.0159	-18.37142	0.03807828	0.02969325	0.008385037	0.02969325
1130	-244.6001	-227.6761	-16.92398	0.04574289	0.03148973	0.01425317	0.03148973
1140	-242.8741	-221.7435	-21.13063	0.0297599	0.01790313	0.01185677	0.01790313
1150	-243.3689	-222.8379	-20.53105	0.03030556	0.02084641	0.009459155	0.02084641
1160	-243.6492	-225.4348	-18.21437	0.03981453	0.02649835	0.01331618	0.02649835
1170	-244.1436	-226.7994	-17.34424	0.04281107	0.03057671	0.01223436	0.03057671
1180	-244.0339	-222.6199	-21.414	0.03485263	0.01603544	0.01881719	0.01603544
1190	-243.4598	-220.4294	-23.03036	0.02445494	0.01419652	0.01025842	0.01419652
1200	-243.5938	-225.334	-18.25981	0.03924287	0.02662594	0.01261692	0.02662594
1210	-242.8533	-222.0566	-20.79674	0.03099857	0.01857284	0.01242573	0.01857284
1220	-250.0071	-237.6109	-12.39623	0.07481575	0.06344336	0.01137239	0.06344336
1230	-242.994	-222.4725	-20.52143	0.03327371	0.01873958	0.01453414	0.01873958
1240	-244.0028	-223.715	-20.28778	0.03099745	0.02305263	0.007944823	0.02305263
1250	-243.0654	-223.4624	-19.60296	0.03477502	0.02184712	0.0129279	0.02184712
1260	-246.0317	-230.5424	-15.48929	0.05216059	0.04204843	0.01011216	0.04204843
1270	-242.9653	-220.6033	-22.36197	0.02908976	0.01436845	0.01472132	0.01436845
1280	-243.5021	-224.9443	-18.55773	0.03873338	0.02511606	0.01361732	0.02511606
1290	-245.0999	-227.8047	-17.2952	0.04309643	0.03480203	0.0082944	0.03480203
1300	-243.5673	-221.5786	-21.98872	0.026254	0.01713445	0.009119549	0.01713445
1310	-245.1098	-220.2072	-24.90263	0.03025644	0.009701616	0.02055482	0.009701616
1320	-247.1724	-222.5652	-24.6072	0.0345299	0.01015025	0.02437965	0.01015025
1330	-243.0765	-222.7136	-20.36292	0.03124962	0.020532	0.01071761	0.020532
1340	-243.4035	-224.6519	-18.75158	0.0379688	0.02446763	0.01350117	0.02446763
1350	-242.8749	-220.613	-22.26192	0.02804655	0.0148686	0.01317795	0.0148686
1360	-244.485	-220.0274	-24.45764	0.02116061	0.01202581	0.009134798	0.01202581
1370	-246.3762	-230.937	-15.43924	0.05288623	0.04365268	0.009233552	0.04365268
1380	-243.7098	-220.7684	-22.94133	0.02419313	0.01479153	0.009401599	0.01479153
1390	-243.5846	-225.2365	-18.34807	0.03839565	0.02686427	0.01153138	0.02686427
1400	-244.7936	-226.1491	-18.64446	0.04249372	0.02385851	0.01863521	0.02385851
1410	-243.9518	-223.1319	-20.8199	0.02930162	0.02132744	0.007974173	0.02132744
1420	-244.4119	-221.8858	-22.52607	0.02464342	0.01707988	0.00756354	0.01707988
1430	-243.6825	-222.1054	-21.57712	0.02718289	0.01852027	0.008662625	0.01852027
1440	-243.4597	-219.1215	-24.33826	0.02373955	0.01115446	0.01258509	0.01115446
1450	-244.4374	-222.5418	-21.89559	0.03478933	0.01493189	0.01985744	0.01493189
1460	-243.1329	-223.7235	-19.40941	0.03483641	0.02284933	0.01198707	0.02284933
1470	-244.0144	-224.0008	-20.01366	0.03770342	0.01964829	0.01805513	0.01964829
1480	-245.1479	-227.8977	-17.25019	0.04334135	0.03507531	0.00826604	0.03507531
1490	-242.8879	-221.3332	-21.55468	0.02867266	0.01686579	0.01180687	0.01686579
1500	-243.2086	-223.1927	-20.01589	0.03522113	0.02000707	0.01521406	0.02000707
1510	-243.3579	-220.2072	-23.15067	0.02913255	0.01264219	0.01649035	0.01264219
1520	-247.7589	-233.6859	-14.07302	0.06167757	0.05158924	0.01008834	0.05158924
1530	-244.231	-219.5063	-24.7247	0.02130732	0.01118605	0.01012127	0.01118605
1540	-242.9185	-222.4832	-20.43527	0.0316616	0.01975993	0.01190167	0.01975993
1550	-244.1884	-226.8832	-17.30515	0.04335285	0.03032451	0.01302835	0.03032451
1560	-245.1375	-220.9354	-24.20213	0.02100463	0.01341916	0.007585473	0.01341916
1570	-242.9679	-220.574	-22.39396	0.02901991	0.01430355	0.01471636	0.01430355
1580	-246.0594	-227.2741	-18.78527	0.04464969	0.02328438	0.0213653	0.02328438
1590	-243.0692	-223.0591	-20.01013	0.0345423	0.02021051	0.01433179	0.02021051
1600	-242.8575	-220.8641	-21.99334	0.02903876	0.01533418	0.01370458	0.01533418
1610	-244.2027	-224.8268	-19.37584	0.03422149	0.02628762	0.00793387	0.02628762
1620	-243.4915	-223.1601	-20.33134	0.03084954	0.02170676	0.009142771	0.02170676
1630	-243.0329	-222.1463	-20.88655	0.03280046	0.01767619	0.01512427	0.01767619
1640	-248.1531	-227.9497	-20.20347	0.04464277	0.01912016	0.02552261	0.01912016
