Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-231.119	-236.5785	5.459473	0.06253638	0.03442344	0.02811294	0.03442344
10	-401.0769	-399.0583	-2.018655	0.3265552	0.2006602	0.125895	0.2006602
20	-226.2961	-232.1998	5.903768	0.0496118	0.01823911	0.03137269	0.01823911
30	-227.624	-233.3051	5.681128	0.05552555	0.02851706	0.02700849	0.02851706
40	-288.0165	-291.3532	3.336673	0.109028	0.03556991	0.07345814	0.03556991
50	-269.9587	-271.8438	1.885022	0.2662923	0.249648	0.01664437	0.249648
60	-280.0902	-284.2206	4.130345	0.08233376	0.007530174	0.07480359	0.007530174
70	-251.8435	-255.7561	3.912622	0.1259935	0.09687253	0.02912098	0.09687253
80	-469.4102	-467.5106	-1.899598	0.2514536	0.07764267	0.1738109	0.07764267
90	-226.2789	-232.1	5.821039	0.05174019	0.02332774	0.02841245	0.02332774
100	-217.5145	-223.2744	5.759993	0.03491756	0.02086409	0.01405347	0.02086409
110	-259.9526	-264.5118	4.559248	0.07986605	0.02215479	0.05771125	0.02215479
120	-255.9703	-260.5501	4.579842	0.0813722	0.02839634	0.05297586	0.02839634
130	-248.7624	-253.8981	5.135717	0.06209804	0.007705265	0.05439277	0.007705265
140	-241.5562	-246.9577	5.401535	0.05762095	0.008773799	0.04884715	0.008773799
150	-222.8375	-228.4324	5.594949	0.04792088	0.03096948	0.0169514	0.03096948
160	-295.35	-298.0408	2.690792	0.1313523	0.0571786	0.07417371	0.0571786
170	-254.6056	-258.6137	4.008122	0.1128136	0.07395625	0.03885737	0.07395625
180	-223.317	-229.0444	5.727413	0.0490457	0.0291566	0.0198891	0.0291566
190	-212.4705	-216.967	4.496471	0.01291645	0.001086563	0.01182989	0.001086563
200	-219.0109	-224.7726	5.761711	0.03892259	0.02358327	0.01533932	0.02358327
210	-236.5255	-241.9804	5.454857	0.06106048	0.02124551	0.03981497	0.02124551
220	-230.7689	-235.2863	4.517372	0.06715011	0.05491281	0.0122373	0.05491281
230	-256.68	-260.3866	3.706618	0.1318308	0.09704341	0.03478738	0.09704341
240	-234.0763	-239.5721	5.495816	0.0608371	0.02486621	0.03597089	0.02486621
250	-222.7528	-227.7597	5.006902	0.04495507	0.03357713	0.01137794	0.03357713
260	-238.0582	-242.7403	4.682077	0.08781315	0.06675217	0.02106098	0.06675217
270	-228.1836	-234.0912	5.907522	0.04749958	0.009877056	0.03762253	0.009877056
280	-223.9364	-229.454	5.51762	0.05047204	0.03344688	0.01702516	0.03344688
290	-303.0084	-305.7204	2.712041	0.1248868	0.04323511	0.08165167	0.04323511
300	-210.9036	-217.0096	6.10608	0.02447418	0.003160479	0.02131371	0.003160479
310	-216.4924	-222.6386	6.146213	0.03485321	0.01632149	0.01853172	0.01632149
320	-222.473	-228.4723	5.99928	0.04574473	0.02025071	0.02549401	0.02025071
330	-239.0413	-243.0198	3.978522	0.0944944	0.08157638	0.01291802	0.08157638
340	-223.8976	-229.8854	5.987763	0.04163849	0.005903578	0.03573491	0.005903578
350	-218.9851	-224.6434	5.65839	0.03822552	0.02405999	0.01416553	0.02405999
360	-242.4692	-247.8275	5.358322	0.06042086	0.0121573	0.04826356	0.0121573
370	-223.4734	-227.7163	4.242942	0.04282682	0.03455123	0.008275595	0.03455123
380	-240.8827	-244.0142	3.131426	0.09932856	0.09014737	0.009181191	0.09014737
390	-214.9643	-221.1318	6.167519	0.03132135	0.01427829	0.01704305	0.01427829
400	-227.3474	-232.8762	5.528802	0.05763265	0.03551893	0.02211372	0.03551893
410	-230.5513	-234.7823	4.230969	0.06527782	0.05480633	0.01047149	0.05480633
420	-258.9999	-262.0209	3.021045	0.1808363	0.1604801	0.02035614	0.1604801
430	-224.5814	-230.3762	5.794848	0.04122765	0.003981659	0.037246	0.003981659
440	-250.9692	-255.8641	4.89492	0.07289916	0.02152778	0.05137138	0.02152778
450	-226.4101	-232.3078	5.897676	0.04978691	0.01835725	0.03142965	0.01835725
460	-228.4297	-233.6729	5.243206	0.06150725	0.04351918	0.01798807	0.04351918
470	-264.4227	-267.8446	3.421909	0.1344611	0.09031797	0.04414311	0.09031797
480	-228.9173	-234.2487	5.331371	0.06217702	0.04189641	0.02028061	0.04189641
490	-234.1944	-239.6268	5.432403	0.06301704	0.02864388	0.03437316	0.02864388
500	-213.967	-219.8616	5.894552	0.02586785	0.0130666	0.01280125	0.0130666
510	-307.5	-307.0507	-0.4493018	0.5245983	0.4837801	0.04081814	0.4837801
520	-342.3111	-342.2673	-0.04381542	0.2513102	0.1587555	0.0925547	0.1587555
530	-214.9682	-221.2201	6.251932	0.03196322	0.01320074	0.01876248	0.01320074
540	-221.5104	-227.4275	5.917173	0.04502687	0.02382385	0.02120302	0.02382385
550	-219.4226	-225.6443	6.221718	0.03951902	0.01267671	0.0268423	0.01267671
560	-254.1573	-258.501	4.343684	0.09315091	0.04711875	0.04603215	0.04711875
570	-282.619	-284.4247	1.805672	0.2488947	0.2073757	0.04151898	0.2073757
580	-222.009	-227.9284	5.919371	0.04588283	0.02372631	0.02215652	0.02372631
590	-243.0825	-247.2651	4.182581	0.1073603	0.08858822	0.01877211	0.08858822
600	-249.2147	-254.0088	4.794065	0.07776563	0.03079242	0.04697321	0.03079242
610	-219.7283	-225.1537	5.425461	0.03878527	0.0261775	0.01260777	0.0261775
620	-261.7801	-264.822	3.041875	0.181187	0.1546975	0.02648951	0.1546975
630	-218.6659	-224.3118	5.645933	0.03727594	0.02347734	0.0137986	0.02347734
640	-232.6278	-237.9921	5.364316	0.06562285	0.03697562	0.02864723	0.03697562
650	-256.4084	-259.6744	3.266044	0.1647116	0.1435745	0.02113715	0.1435745
660	-232.6267	-238.102	5.475281	0.06205108	0.02991645	0.03213463	0.02991645
670	-217.2577	-222.188	4.930363	0.02758479	0.01881331	0.008771483	0.01881331
680	-212.5246	-218.8838	6.359193	0.0273151	0.008451188	0.01886392	0.008451188
690	-233.3547	-238.2799	4.925214	0.07478169	0.0559191	0.01886259	0.0559191
700	-222.2422	-228.2266	5.984324	0.04567633	0.02118127	0.02449505	0.02118127
710	-257.3475	-260.3671	3.01961	0.1756394	0.1576334	0.01800603	0.1576334
720	-241.5729	-246.5421	4.969136	0.07675024	0.0395941	0.03715614	0.0395941
730	-262.2962	-265.3903	3.094063	0.1749219	0.1454827	0.02943919	0.1454827
740	-233.4489	-238.8039	5.354986	0.0480228	0.003307828	0.04471497	0.003307828
750	-252.795	-255.9611	3.166009	0.1540781	0.1388493	0.01522882	0.1388493
760	-247.9193	-253.0494	5.130043	0.06598729	0.01451762	0.05146966	0.01451762
770	-233.311	-238.5073	5.196296	0.07060126	0.04552143	0.02507983	0.04552143
780	-588.2124	-583.3506	-4.861787	0.368166	0.1338781	0.2342879	0.1338781
790	-210.1627	-215.532	5.369323	0.0165517	0.001691825	0.01485988	0.001691825
800	-219.6883	-225.8338	6.14546	0.0408501	0.01667102	0.02417908	0.01667102
810	-233.4286	-238.7037	5.275033	0.06849062	0.04076824	0.02772238	0.04076824
820	-223.5483	-229.5943	6.046025	0.04541476	0.01543454	0.02998022	0.01543454
830	-219.4335	-225.6307	6.197268	0.0376455	0.006904158	0.03074134	0.006904158
840	-244.7455	-249.2356	4.490141	0.09803811	0.06799488	0.03004323	0.06799488
850	-266.5793	-270.3003	3.720982	0.1100412	0.05632346	0.05371774	0.05632346
860	-217.5237	-223.6403	6.116582	0.03457899	0.004454733	0.03012426	0.004454733
870	-215.5042	-221.1651	5.660935	0.02827783	0.01643306	0.01184478	0.01643306
880	-251.7569	-256.7419	4.984982	0.06909343	0.01500662	0.05408681	0.01500662
