Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-198.3771	-168.9492	-29.42788	0.0722451	0.0545168	0.0374666	0.0278119	0.0192732	0.0137364	0.0270589	0.0249496	0.0366653	0.0345326	0.0214117	0.3607355	-2.62769	-2.90925	-3.2843	-3.58229	-3.94904	-4.28771	-3.60974	-3.6909	-3.30593	-3.36585	-3.84382	-6.26484	-4.88411	-4.99687	-5.05411	-3.33681	-3.90589	-2.91676	-1.37793	-1.78332	-4.64636	-3.54799	0.00190201	0.00756588	0.00675906	0.00638305	0.0355501	0.020123	0.0541089	0.252101	0.16808	0.00959643	0.0287824	1.462244
10	-200.1455	-170.6976	-29.44794	0.0795337	0.0906905	0.0494371	0.0454069	0.0308327	0.028517	0.0363301	0.0268034	0.0350992	0.0295745	0.0435776	0.3752311	-2.53157	-2.4003	-3.00705	-3.09209	-3.47918	-3.55725	-3.31511	-3.61923	-3.34958	-3.52084	-3.13321	-3.75266	-6.45324	-6.10141	-4.5934	-3.15598	-3.92518	-3.35971	-0.860625	-1.60536	-3.51904	-3.03015	0.0234553	0.00157541	0.00223971	0.0101184	0.0425968	0.0197386	0.0347453	0.422898	0.200816	0.0296277	0.0483082	1.733761
20	-192.825	-170.5689	-22.25605	0.0416751	0.0460187	0.0498546	0.0462656	0.0409203	0.0410401	0.0468527	0.0412381	0.055222	0.0581901	0.0574103	0.2757802	-3.17785	-3.07871	-2.99864	-3.07336	-3.19613	-3.19321	-3.06075	-3.18839	-2.89639	-2.84404	-2.85753	-5.80679	-6.32746	-5.87303	-4.3476	-3.03649	-2.69092	-3.83251	-1.13564	-0.941708	-2.56301	-3.22521	0.00300707	0.00178657	0.00281434	0.0129378	0.0480031	0.0678183	0.0216553	0.321218	0.389961	0.0770722	0.0397475	1.587167
30	-213.1371	-170.0937	-43.04342	0.00599968	0.0291357	0.196102	0.0799302	0.0583133	0.0684108	0.00731135	0.0197226	0.216358	0.0479946	0.0730903	2.039442	-5.11605	-3.53579	-1.62912	-2.5266	-2.84192	-2.68222	-4.91833	-3.92599	-1.53082	-3.03667	-2.61606	-6.77886	-5.98763	-4.82617	-4.48661	-3.60461	-3.72062	-2.80238	-1.01292	-0.832773	-2.54006	-3.95826	0.00113757	0.00250962	0.0080172	0.0112588	0.0271981	0.0242189	0.0606655	0.363156	0.434842	0.0788619	0.0190964	0.9882828
40	-207.008	-169.6884	-37.31964	0.0273739	0.0561614	0.233268	0.0601306	0.0492188	0.016992	0.0170166	0.00289875	0.0174337	0.125974	0.0848963	1.015813	-3.59816	-2.87952	-1.45557	-2.81124	-3.01148	-4.07501	-4.07356	-5.84347	-4.04935	-2.07168	-2.46632	-5.06329	-5.31399	-4.93095	-4.48754	-3.39487	-3.24477	-2.51233	-0.973529	-1.51994	-2.63331	-2.40617	0.00632471	0.00492224	0.00721961	0.0112483	0.0335448	0.0389776	0.0810794	0.377748	0.218724	0.0718406	0.0901598	0.9957363
50	-192.7474	-168.7139	-24.03347	0.0833031	0.0701516	0.071033	0.0475852	0.0472506	0.0681256	0.0635746	0.0343287	0.0368369	0.041234	0.041561	0.3059862	-2.48527	-2.6571	-2.64461	-3.04523	-3.05229	-2.6864	-2.75554	-3.37177	-3.30125	-3.18849	-3.18059	-8.0251	-6.88051	-5.46565	-4.31061	-3.41324	-2.34318	-2.11067	-1.17675	-1.71281	-3.76536	-3.63569	0.000327147	0.00102762	0.00422959	0.0134254	0.0329344	0.0960219	0.121157	0.308278	0.180359	0.0231593	0.0263658	1.245086
60	-182.694	-170.6744	-12.01964	0.0517145	0.0485673	0.0487366	0.0518804	0.0474947	0.0490886	0.0486641	0.047519	0.0497221	0.0507534	0.0520054	0.05588996	-2.96202	-3.02481	-3.02132	-2.95881	-3.04714	-3.01413	-3.02281	-3.04663	-3.00131	-2.98078	-2.95641	-7.70505	-7.57518	-5.84813	-6.60958	-3.00303	-5.08085	-2.68798	-0.913665	-2.35846	-3.11685	-3.85924	0.000450546	0.000513027	0.0028853	0.00134739	0.0496364	0.00621463	0.0680179	0.401052	0.0945655	0.0442967	0.021084	2.053856
70	-203.7995	-168.8956	-34.90389	0.0366683	0.0617632	0.060372	0.0362338	0.0557546	0.0567707	0.0962047	0.0919967	0.056851	0.0593938	0.102247	0.477458	-3.30584	-2.78445	-2.80723	-3.31776	-2.8868	-2.86874	-2.34128	-2.386	-2.86732	-2.82357	-2.28036	-8.00903	-10.1726	-7.84311	-5.30869	-3.36636	-3.88331	-2.63986	-0.979296	-0.903655	-2.38297	-2.86907	0.000332446	3.82036e-05	0.000392446	0.00494841	0.0345151	0.0205825	0.0713709	0.375575	0.405086	0.0922757	0.0567517	2.576607
80	-197.9455	-170.6591	-27.28642	0.0606578	0.0565835	0.064452	0.0839334	0.0974729	0.079353	0.0812224	0.0897006	0.0731357	0.120639	0.102266	0.2861681	-2.80251	-2.87204	-2.74183	-2.47773	-2.32818	-2.53385	-2.51056	-2.41128	-2.61544	-2.11495	-2.28018	-6.15397	-5.15138	-5.94734	-5.10426	-3.71611	-3.77455	-1.73653	-0.719989	-0.514728	-4.47901	-2.87054	0.00212503	0.00579139	0.00261279	0.0060708	0.0243285	0.0229474	0.176131	0.486757	0.597663	0.0113447	0.0566684	1.901564
90	-195.9954	-168.4975	-27.49787	0.0656179	0.0812737	0.0523275	0.0638968	0.130574	0.089052	0.0692583	0.0611631	0.0747273	0.0901552	0.144488	0.4476085	-2.72391	-2.50993	-2.95023	-2.75049	-2.03582	-2.41853	-2.66991	-2.79421	-2.59391	-2.40622	-1.93456	-7.97376	-6.53144	-6.73569	-6.12003	-4.0926	-2.7856	-1.77161	-0.846617	-1.19174	-2.65201	-2.23008	0.000344383	0.00145691	0.00118775	0.00219839	0.0166957	0.0616918	0.170058	0.428863	0.303691	0.070509	0.10752	1.214919
100	-188.8585	-167.2523	-21.60624	0.0489521	0.0565295	0.0565188	0.0655884	0.0584661	0.0655635	0.058909	0.0620821	0.0704445	0.0487634	0.0696742	0.2248724	-3.01691	-2.87299	-2.87318	-2.72436	-2.83931	-2.72474	-2.83176	-2.7793	-2.65293	-3.02077	-2.66393	-8.22894	-7.55438	-6.91768	-4.51907	-3.3651	-2.75042	-2.66493	-0.969414	-1.03622	-2.68843	-3.49603	0.00026682	0.000523812	0.000990128	0.0108992	0.0345587	0.0639012	0.0696039	0.379305	0.354793	0.0679876	0.0303174	1.349762
110	-199.2215	-169.4614	-29.76013	0.0444381	0.0578601	0.101025	0.076818	0.055805	0.0619719	0.0839328	0.0892038	0.0698015	0.0858826	0.0677855	0.4446925	-3.11366	-2.84973	-2.29239	-2.56632	-2.88589	-2.78107	-2.47774	-2.41683	-2.6621	-2.45477	-2.69141	-5.53792	-6.16437	-6.88551	-5.94768	-3.32082	-4.76708	-2.09583	-0.877624	-0.959403	-2.68253	-2.37462	0.00393469	0.00210304	0.0010225	0.00261188	0.036123	0.00850522	0.122969	0.41577	0.383121	0.0683901	0.0930497	1.730607
120	-206.4973	-164.985	-41.51226	0.0433191	0.147256	0.0276951	0.0553932	0.0241732	0.098266	0.072212	0.0430893	0.427686	0.14179	0.0529511	1.147122	-3.13916	-1.91558	-3.5865	-2.8933	-3.72251	-2.32008	-2.62815	-3.14448	-0.849366	-1.95341	-2.93839	-6.23502	-7.70289	-6.24176	-5.15523	-3.47873	-4.11184	-2.26393	-0.919989	-0.702582	-1.98958	-3.03592	0.00195959	0.000451521	0.00194643	0.00576914	0.0308467	0.0163776	0.103941	0.398523	0.495305	0.136753	0.0480306	1.182386
