Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
0	-198.3771	-168.9492	-29.42788	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
10	-200.1455	-170.6976	-29.44794	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
20	-192.825	-170.5689	-22.25605	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
30	-213.1371	-170.0937	-43.04342	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
40	-207.008	-169.6884	-37.31964	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
50	-192.7474	-168.7139	-24.03347	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
60	-182.694	-170.6744	-12.01964	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
70	-203.7995	-168.8956	-34.90389	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
80	-197.9455	-170.6591	-27.28642	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
90	-195.9954	-168.4975	-27.49787	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
100	-188.8585	-167.2523	-21.60624	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
110	-199.2215	-169.4614	-29.76013	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
120	-206.4973	-164.985	-41.51226	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
130	-196.3852	-167.7373	-28.64793	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
140	-197.745	-169.6437	-28.10134	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
150	-190.9041	-167.8882	-23.01592	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
160	-197.6766	-167.1049	-30.57168	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
170	-180.2831	-167.2304	-13.0527	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
180	-195.7316	-167.2414	-28.49015	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
190	-207.7825	-165.2743	-42.50822	7.96861	15.9372	23.9058	31.8744	39.843	47.8116	55.7803	63.7489	71.7175	79.6861
