Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-198.3771	-168.9492	-29.42788	0.00190201	0.00756588	0.00675906	0.00638305	0.0355501	0.020123	0.0541089	0.252101	0.16808	0.00959643	0.0287824
10	-200.1455	-170.6976	-29.44794	0.0234553	0.00157541	0.00223971	0.0101184	0.0425968	0.0197386	0.0347453	0.422898	0.200816	0.0296277	0.0483082
20	-192.825	-170.5689	-22.25605	0.00300707	0.00178657	0.00281434	0.0129378	0.0480031	0.0678183	0.0216553	0.321218	0.389961	0.0770722	0.0397475
30	-213.1371	-170.0937	-43.04342	0.00113757	0.00250962	0.0080172	0.0112588	0.0271981	0.0242189	0.0606655	0.363156	0.434842	0.0788619	0.0190964
40	-207.008	-169.6884	-37.31964	0.00632471	0.00492224	0.00721961	0.0112483	0.0335448	0.0389776	0.0810794	0.377748	0.218724	0.0718406	0.0901598
50	-192.7474	-168.7139	-24.03347	0.000327147	0.00102762	0.00422959	0.0134254	0.0329344	0.0960219	0.121157	0.308278	0.180359	0.0231593	0.0263658
60	-182.694	-170.6744	-12.01964	0.000450546	0.000513027	0.0028853	0.00134739	0.0496364	0.00621463	0.0680179	0.401052	0.0945655	0.0442967	0.021084
70	-203.7995	-168.8956	-34.90389	0.000332446	3.82036e-05	0.000392446	0.00494841	0.0345151	0.0205825	0.0713709	0.375575	0.405086	0.0922757	0.0567517
80	-197.9455	-170.6591	-27.28642	0.00212503	0.00579139	0.00261279	0.0060708	0.0243285	0.0229474	0.176131	0.486757	0.597663	0.0113447	0.0566684
90	-195.9954	-168.4975	-27.49787	0.000344383	0.00145691	0.00118775	0.00219839	0.0166957	0.0616918	0.170058	0.428863	0.303691	0.070509	0.10752
100	-188.8585	-167.2523	-21.60624	0.00026682	0.000523812	0.000990128	0.0108992	0.0345587	0.0639012	0.0696039	0.379305	0.354793	0.0679876	0.0303174
110	-199.2215	-169.4614	-29.76013	0.00393469	0.00210304	0.0010225	0.00261188	0.036123	0.00850522	0.122969	0.41577	0.383121	0.0683901	0.0930497
120	-206.4973	-164.985	-41.51226	0.00195959	0.000451521	0.00194643	0.00576914	0.0308467	0.0163776	0.103941	0.398523	0.495305	0.136753	0.0480306
130	-196.3852	-167.7373	-28.64793	0.00146658	0.00345991	0.00573284	0.0213856	0.0526739	0.07933	0.143713	0.547751	0.39037	0.0924854	0.238662
140	-197.745	-169.6437	-28.10134	0.0039503	0.00863403	0.00799008	0.0495824	0.0308672	0.0920946	0.0925832	0.501865	0.34951	0.117659	0.247186
150	-190.9041	-167.8882	-23.01592	0.000399533	0.000829287	0.000376707	0.00216808	0.0423113	0.10195	0.129357	0.375967	0.472522	0.0436074	0.0805492
160	-197.6766	-167.1049	-30.57168	0.00310476	0.00576574	0.000920343	0.00164322	0.0411126	0.0805112	0.121788	0.529136	0.279811	0.0216216	0.0354706
170	-180.2831	-167.2304	-13.0527	0.00057888	0.000447861	0.00368445	0.00295927	0.025572	0.0250625	0.0532574	0.355967	0.366187	0.0649054	0.0360946
180	-195.7316	-167.2414	-28.49015	0.0001506	0.00140847	0.00291982	0.00148489	0.0391446	0.0435634	0.0609383	0.399539	0.273686	0.0200284	0.0811015
190	-207.7825	-165.2743	-42.50822	0.00011561	0.000184558	0.000321432	0.0038516	0.0414922	0.0235805	0.0607479	0.402474	0.361982	0.136138	0.0549102
200	-189.3782	-169.8128	-19.56542	0.00056634	0.00232748	0.00354902	0.00341548	0.0294912	0.0127113	0.0268266	0.228333	0.189863	0.027231	0.0301723
210	-202.6628	-170.8116	-31.8512	0.000284287	0.00158406	0.001074	0.00104436	0.0219321	0.00433964	0.0250929	0.235029	0.106057	0.0140973	0.0248184
220	-206.2452	-174.5362	-31.70906	8.58411e-05	0.000104411	0.000826536	0.00487778	0.0111326	0.0116658	0.0476006	0.187308	0.0960814	0.0916667	0.0567473
230	-208.7521	-167.8807	-40.87145	0.000106077	0.00304582	3.79107e-05	0.000350918	0.010242	0.0148413	0.0467363	0.389958	0.3003	0.0217218	0.0351911
240	-209.6722	-167.6277	-42.04455	0.00192333	0.00267929	0.00328812	0.000896179	0.0214696	0.0337656	0.0489696	0.326526	0.167404	0.00519655	0.0193253
250	-207.4491	-169.2195	-38.22955	0.00122788	0.00472848	0.00435118	0.0231016	0.0355771	0.02441	0.0518567	0.312328	0.185585	0.0308532	0.0386871
260	-200.4458	-169.4283	-31.01752	0.00425213	0.00381424	0.00693046	0.0376035	0.049826	0.0322099	0.0684083	0.258162	0.251013	0.0516836	0.0279309
270	-208.5543	-167.4566	-41.09774	0.00246581	0.000612161	0.00487523	0.0590621	0.0636139	0.03862	0.0271162	0.453068	0.231	0.0249132	0.0285868
280	-199.6603	-166.7476	-32.91264	0.000673343	0.00961907	0.0155024	0.0541614	0.0651579	0.0411556	0.0961512	0.374778	0.228169	0.0305235	0.013004
290	-208.5425	-172.6618	-35.88069	0.0163245	0.0192515	0.0296421	0.0417792	0.0197747	0.021411	0.102833	0.29494	0.249592	0.0466109	0.02669
300	-207.3289	-169.1899	-38.13899	0.00165971	0.0023149	0.00332676	0.0147593	0.0455517	0.0330653	0.0926845	0.357169	0.410149	0.0451446	0.0160419
310	-211.8459	-168.4249	-43.42098	7.90444e-05	0.0023787	0.00223251	0.00917339	0.0592186	0.0737899	0.0533401	0.228253	0.18369	0.0189532	0.00383631
320	-221.3085	-168.9406	-52.36792	0.000960793	0.00156287	0.0429757	0.00419727	0.0987525	0.155561	0.120197	0.286236	0.260667	0.00227518	0.00150942
330	-222.9681	-170.9272	-52.04089	0.00407916	0.000517496	0.0115782	0.0104025	0.0792616	0.150866	0.060524	0.55362	0.198515	0.00171275	0.00117712
340	-222.5162	-169.4668	-53.04941	0.000283221	0.00101822	0.000848875	0.0153007	0.0526278	0.0466324	0.0137154	0.2724	0.276003	0.00720549	0.000535875
350	-222.631	-171.1043	-51.52673	0.0126664	0.0026968	0.000548642	0.00645811	0.0774139	0.0116545	0.0190986	0.186539	0.314924	0.0019714	0.0204639
360	-215.5379	-167.0943	-48.44359	6.61623e-05	0.00130827	0.000741159	0.00376085	0.105165	0.0493406	0.0460845	0.227178	0.390779	0.0260437	0.0336582
370	-214.6358	-166.8791	-47.75663	0.00142524	0.00133391	0.00390225	0.00454112	0.106373	0.00993885	0.0465891	0.302029	0.216227	0.0641507	0.0283754
380	-217.0629	-169.5431	-47.51989	0.00271037	0.0114292	0.00695281	0.00652292	0.0322427	0.0328765	0.0687624	0.424749	0.265965	0.102095	0.0093922
390	-217.9358	-170.0446	-47.89114	0.0150657	0.0149315	0.0176105	0.0091423	0.0717771	0.047581	0.0808687	0.261692	0.153403	0.0270238	0.0434992
400	-212.423	-166.549	-45.874	0.0307909	0.0137791	0.00313914	0.0143521	0.1269	0.0611759	0.0743665	0.355293	0.248031	0.0378681	0.0143203
410	-211.9331	-165.1002	-46.8329	0.0020668	0.000605185	0.00168083	0.00580622	0.104443	0.0365339	0.0568527	0.367548	0.249809	0.00548119	0.00506116
420	-211.0572	-168.5643	-42.49288	0.000158396	0.00058505	0.000226685	0.000373219	0.0473967	0.00778609	0.0195405	0.15658	0.234336	0.0023698	0.00661089
430	-217.4824	-169.5091	-47.9733	0.000280009	9.04436e-05	2.81752e-05	0.000213187	0.0527302	0.00748335	0.0287296	0.238644	0.119755	0.01058	0.0643283
440	-224.4675	-168.92	-55.54747	0.000987768	0.00011201	0.000105495	0.000260049	0.0676638	0.0141924	0.0804712	0.408971	0.181851	0.118312	0.007031
450	-214.1246	-168.2499	-45.87468	0.00114549	0.000380004	0.000223632	0.0008325	0.0543895	0.0150971	0.0260102	0.253371	0.247472	0.0557153	0.0279101
460	-213.306	-169.9922	-43.31379	0.000223839	9.83976e-05	0.000214831	0.00190681	0.0456781	0.0086616	0.0209763	0.203275	0.109679	0.00327134	0.00695144
470	-213.7078	-170.0811	-43.62669	0.00308612	0.00269451	0.0143882	0.0139311	0.0519048	0.0639058	0.0109007	0.259203	0.302943	0.0487485	0.0519911
480	-213.2062	-169.9685	-43.23768	0.0005246	0.000179693	0.0235389	0.0107016	0.0346494	0.0230591	0.0825497	0.245654	0.274161	0.0656397	0.0670148
490	-202.1148	-169.7491	-32.36571	0.000792297	0.00116466	0.000659503	0.00389478	0.016946	0.00867041	0.0334967	0.213206	0.206495	0.0649235	0.0297954
500	-216.648	-173.5165	-43.13145	0.00824126	0.00213979	0.00160878	0.00491828	0.012491	0.00743182	0.0707765	0.246394	0.16455	0.0391191	0.0268377
510	-201.5549	-169.1561	-32.39881	0.000103542	0.000957302	0.000940691	0.0070783	0.0126891	0.0212274	0.0497515	0.333302	0.33172	0.0739291	0.0304427
520	-204.6248	-175.0688	-29.55595	0.000226832	0.00037066	0.000365881	0.00166803	0.00961548	0.015403	0.0512262	0.243213	0.0694523	0.0610931	0.0819513
530	-200.9143	-172.0961	-28.81822	0.000665777	0.000354307	0.0002631	0.00130396	0.0063395	0.0156972	0.032348	0.261114	0.105105	0.0111516	0.0340803
540	-194.8474	-170.7356	-24.1118	0.000250946	0.000299151	0.0030625	0.000789285	0.00352747	0.0148112	0.0270808	0.234094	0.282855	0.0569539	0.0234083
550	-189.0698	-172.5373	-16.53242	0.000816089	0.00187358	0.00176498	0.00161945	0.00335248	0.00633939	0.0223306	0.187409	0.174327	0.0732534	0.0421878
560	-210.0329	-176.6451	-33.38777	0.002029	0.013257	0.0136824	0.0017273	0.00180742	0.00490045	0.0656996	0.265406	0.241824	0.0488248	0.0543439
570	-200.6868	-176.073	-24.61377	0.000309043	0.00397867	0.00209326	0.00112526	0.00250234	0.0149833	0.0361453	0.142993	0.299748	0.0490646	0.0973192
580	-201.4894	-173.8096	-27.67977	0.00516791	0.00254618	0.00125197	0.00144562	0.00275677	0.0228064	0.0166958	0.235472	0.170243	0.0553117	0.0510844
590	-195.1773	-175.9628	-19.21451	0.00616451	0.00272878	0.00224831	0.00193156	0.00800314	0.0172746	0.0314244	0.194292	0.143607	0.0889859	0.113911
600	-205.051	-170.9399	-34.11115	0.000767825	0.0024062	0.00226371	0.00194263	0.00508035	0.0193024	0.0327453	0.23803	0.19077	0.0599202	0.0388583
610	-196.221	-171.1553	-25.06571	0.000102633	0.000604386	0.00140233	0.0030563	0.00435076	0.0136398	0.0204869	0.155629	0.247129	0.0439495	0.0332095
620	-202.4135	-173.7861	-28.62741	6.60399e-05	0.000304678	0.00185072	0.0151086	0.0111674	0.0142075	0.00848505	0.138788	0.134928	0.0429899	0.0165906
630	-212.833	-172.5001	-40.33291	4.89389e-05	0.000436434	0.000716956	0.0130734	0.00831756	0.00650555	0.00648892	0.194025	0.163659	0.0288101	0.0152597
640	-216.3086	-171.7182	-44.5904	0.000159134	3.12112e-06	0.000109838	0.00045061	0.0137666	0.0177469	0.0119583	0.249063	0.255261	0.0552295	0.00367025
650	-192.8419	-170.3525	-22.48932	0.0020378	0.000272876	0.00114307	0.00189366	0.00902087	0.0141571	0.0196765	0.117962	0.283302	0.0116382	0.0232786
660	-209.0454	-171.5527	-37.49269	0.00249943	0.00657648	0.00556846	0.00164203	0.0172262	0.0124177	0.0149569	0.169222	0.332952	0.0423612	0.0194175
670	-212.0644	-170.0132	-42.05119	0.00576951	0.000443518	0.000185298	0.00778433	0.0116321	0.0229571	0.0262071	0.208796	0.202735	0.00249538	0.00452144
680	-215.6514	-172.4502	-43.2012	0.00641181	0.0010366	0.000200959	0.00647754	0.0187812	0.0113405	0.0397292	0.134813	0.281376	0.033123	0.010935
690	-217.8158	-169.9972	-47.81856	0.000518132	0.00325515	0.000790109	0.00222756	0.0393229	0.0805691	0.164604	0.416888	0.131536	0.00312735	0.028666
700	-213.3884	-167.8174	-45.57098	0.000163384	0.00110816	0.000385892	0.000539834	0.0212538	0.0573447	0.0586182	0.241856	0.340501	0.0125962	0.0117267
710	-211.419	-167.6815	-43.73752	5.13821e-05	3.15832e-05	0.00011885	0.00083674	0.0173993	0.0170283	0.0367274	0.256535	0.19632	0.0219778	0.0450289
720	-220.1827	-167.4706	-52.71212	0.00107579	6.24826e-06	1.69744e-05	0.00349617	0.0368924	0.0472249	0.0669614	0.42424	0.170009	0.046809	0.0173045
730	-211.6942	-169.0355	-42.65875	9.51972e-05	1.28736e-05	0.000269188	0.0475323	0.0522249	0.0141986	0.0286693	0.290522	0.395951	0.0303788	0.0195956
740	-208.6956	-165.8554	-42.84017	0.000113949	0.000703601	0.00119624	0.00200294	0.0576977	0.0416876	0.0521633	0.409364	0.21434	0.019813	0.0174341
750	-209.2645	-169.2877	-39.97687	0.000157922	0.000700702	0.00293268	0.00934517	0.0704106	0.0395416	0.0630952	0.264518	0.327552	0.0756241	0.0327262
760	-211.3445	-169.7864	-41.55816	0.00687157	0.00645835	0.0015953	0.00136375	0.0427521	0.0156151	0.0810023	0.501588	0.178533	0.0526962	0.059443
770	-211.4303	-165.0953	-46.33501	0.00178663	0.00126878	0.000743078	0.00112755	0.0619457	0.0478586	0.0841862	0.492062	0.493609	0.098996	0.138883
780	-197.3646	-171.1194	-26.24523	9.135e-05	0.000118598	0.00193645	0.00799035	0.0438417	0.0293022	0.0567278	0.458511	0.482965	0.136512	0.0286358
790	-181.8065	-169.0494	-12.75716	0.00193874	0.000276686	0.00111349	0.00458703	0.04972	0.0346624	0.0473018	0.344014	0.482582	0.106773	0.055549
800	-183.0763	-166.7327	-16.3436	0.000268878	0.000250332	0.000929127	0.000710165	0.076124	0.0666678	0.11177	0.474022	0.330624	0.143064	0.0373521
810	-194.4282	-169.1319	-25.29629	0.00222287	0.00207451	0.000961276	0.00333827	0.166788	0.0703321	0.371321	0.580674	0.152497	0.101509	0.215362
820	-200.3871	-167.0907	-33.29642	0.00217528	0.00934638	0.00332302	0.00619933	0.20238	0.185595	0.258329	0.709773	0.437972	0.0601205	0.068806
830	-201.1883	-166.3064	-34.88189	0.00473984	0.00738847	0.00304709	0.00472096	0.243982	0.188187	0.196691	0.896342	0.292612	0.0827991	0.110122
840	-210.2642	-166.254	-44.01025	0.00102619	0.000840796	0.00375254	0.00512512	0.28779	0.147209	0.188912	0.552802	0.34129	0.15713	0.138851
850	-194.734	-166.5489	-28.1851	0.0151264	0.000305967	0.000874074	0.000975238	0.211048	0.104799	0.223871	0.436164	0.407393	0.0208191	0.131948
860	-212.7116	-164.2128	-48.4988	0.000165273	0.000176829	0.000264814	8.48301e-05	0.376992	0.0301005	0.118117	0.45347	0.345804	0.0705878	0.15678
870	-198.2272	-162.9361	-35.29117	0.000156731	0.000693817	0.00162988	0.00334292	0.22099	0.0183135	0.247205	0.651912	0.480959	0.00752345	0.190222
880	-196.6807	-164.1248	-32.55596	0.00054032	0.000542224	0.000598644	0.0326998	0.197549	0.0618471	0.114241	0.618898	0.364775	0.0464035	0.158587
890	-186.5182	-165.344	-21.17417	0.000182447	0.00118513	0.00664886	0.0703123	0.181596	0.0413516	0.179498	0.639791	0.381846	0.0911657	0.0551154
900	-170.5724	-173.5246	2.952235	0.00246379	0.00832024	0.0335837	0.0592318	0.0980259	0.0629541	0.176459	0.324437	0.309978	0.108975	0.0831678
910	-191.1177	-168.4764	-22.64127	0.00756258	0.0104545	0.0258134	0.0477656	0.111867	0.0865909	0.11759	0.546916	0.278842	0.126299	0.0519779
920	-183.9355	-169.2659	-14.66961	0.00287482	0.0074666	0.00362824	0.037265	0.0766405	0.170473	0.153177	0.475874	0.167773	0.0513416	0.014571
930	-185.2807	-171.8053	-13.47546	0.00301151	0.00201108	0.0106928	0.0083271	0.0232354	0.1586	0.137649	0.304154	0.286591	0.0886649	0.0404672
940	-194.9489	-168.9205	-26.0284	0.00363257	0.00670521	0.00259326	0.00865024	0.0456001	0.318651	0.218115	0.577805	0.325262	0.0193491	0.0498109
950	-196.2782	-166.8393	-29.43891	0.000214865	0.00132145	0.00400683	0.025681	0.0376794	0.0389741	0.0960075	0.446429	0.350367	0.0516111	0.0172618
960	-203.0677	-170.6698	-32.39792	0.000535036	0.000767623	0.00113656	0.00483206	0.0225823	0.0515248	0.186838	0.433636	0.324695	0.114231	0.0734486
970	-217.7306	-164.726	-53.00456	0.00696043	0.000408439	0.000242572	0.000832528	0.0573633	0.0363757	0.388604	0.666628	0.317213	0.0632613	0.0496433
980	-213.942	-163.0019	-50.94007	0.000350853	0.000550168	8.96382e-05	0.0155534	0.0771355	0.098738	0.19568	0.769991	0.531011	0.0177037	0.104717
990	-211.2151	-162.7411	-48.47407	4.6561e-05	0.00032762	0.00290113	0.00505873	0.083803	0.126726	0.133451	0.892343	0.582165	0.0403636	0.0619432
1000	-197.4943	-168.2903	-29.20394	0.000175297	6.0595e-05	0.000434553	0.002609	0.0459761	0.102613	0.0535571	0.431402	0.226891	0.109814	0.0377709
1010	-161.2689	-169.0301	7.76121	0.000635114	0.00161186	0.00919562	0.00719056	0.0499388	0.0413377	0.0916116	0.358897	0.186118	0.00628508	0.00809845
1020	-195.7091	-166.6933	-29.0158	0.000607336	0.000260845	0.00158567	0.0128916	0.0956128	0.0204646	0.0981788	0.779405	0.314201	0.116923	0.127775
1030	-196.8708	-165.5064	-31.36439	0.000714001	0.000712506	0.0016752	0.0166404	0.116929	0.0461198	0.218351	0.654582	0.297328	0.0400981	0.0191139
1040	-202.7843	-166.9466	-35.83775	9.12807e-05	0.000396151	0.0039369	0.011241	0.0667978	0.0644853	0.0689429	0.575673	0.365394	0.0579006	0.089001
1050	-211.1799	-169.1496	-42.03022	0.00551661	0.000877678	0.00322354	0.00536143	0.0507653	0.0199125	0.18912	0.412797	0.241338	0.114626	0.0641802
1060	-196.4546	-165.1621	-31.29251	0.0003108	0.000674296	0.00221952	0.0106585	0.0538552	0.0621108	0.0889143	0.502617	0.271123	0.04486	0.0822118
1070	-213.5995	-170.5621	-43.03749	0.0155961	0.00458269	0.00231523	0.00866963	0.0902925	0.0673047	0.0553233	0.490198	0.363498	0.368219	0.20797
1080	-211.4753	-171.0258	-40.4495	0.00342413	0.0012286	0.000947299	0.0200339	0.137888	0.178086	0.0914215	0.822387	0.424094	0.013531	0.00587537
1090	-203.9191	-167.2154	-36.70367	0.00711708	0.0170164	0.0182451	0.0517475	0.086699	0.0896725	0.125022	0.355365	0.258684	0.0531273	0.0125226
1100	-197.0236	-166.4634	-30.56021	0.00146033	0.0119464	0.0168311	0.0281075	0.222854	0.0509525	0.131251	0.467449	0.381018	0.0806482	0.0575871
1110	-193.2564	-168.8426	-24.41376	0.000642002	0.0012247	0.00168683	0.0513299	0.146369	0.0581243	0.311624	0.375397	0.323405	0.0232223	0.0384432
1120	-214.7769	-163.5061	-51.27083	0.000591931	0.00570453	0.00310075	0.0264848	0.173225	0.101836	0.480067	0.922701	0.239978	0.0192764	0.106467
