state	power	likelihood
2510	1	-221.507
2520	1	-216.537
2530	1	-215.005
2540	1	-217.1
2550	1	-218.299
2560	1	-215.112
2570	1	-215.148
2580	1	-215.931
2590	1	-216.188
2600	1	-216.966
2610	1	-216.6
2620	1	-216.085
2630	1	-215.919
2640	1	-217.696
2650	1	-220.175
2660	1	-216.631
2670	1	-218.506
2680	1	-215.798
2690	1	-215.061
2700	1	-215.861
2710	1	-217.047
2720	1	-216.271
2730	1	-216.699
2740	1	-217.388
2750	1	-217.385
2760	1	-215.944
2770	1	-216.358
2780	1	-215.166
2790	1	-216.377
2800	1	-215.752
2810	1	-215.946
2820	1	-218.825
2830	1	-216.782
2840	1	-216.818
2850	1	-216.737
2860	1	-218.093
2870	1	-217.032
2880	1	-217.422
2890	1	-215.988
2900	1	-217.482
2910	1	-216.33
2920	1	-215.776
2930	1	-216.226
2940	1	-217.106
2950	1	-215.911
2960	1	-215.874
2970	1	-215.13
2980	1	-216.731
2990	1	-216.557
3000	1	-215.455
3010	1	-216.371
3020	1	-215.96
3030	1	-216.312
3040	1	-216.14
3050	1	-219.19
3060	1	-216.013
3070	1	-217.335
3080	1	-216.466
3090	1	-216.366
3100	1	-216.588
3110	1	-216.477
3120	1	-217.188
3130	1	-215.713
3140	1	-216.785
3150	1	-215.677
3160	1	-215.932
3170	1	-215.433
3180	1	-216.599
3190	1	-217.24
3200	1	-215.404
3210	1	-216.586
3220	1	-216.381
3230	1	-217.603
3240	1	-215.83
3250	1	-215.717
3260	1	-215.072
3270	1	-217.132
3280	1	-215.298
3290	1	-217.155
3300	1	-215.754
3310	1	-217.176
3320	1	-215.01
3330	1	-216.429
3340	1	-216.227
3350	1	-215.385
3360	1	-216.676
3370	1	-215.359
3380	1	-217.542
3390	1	-215.788
3400	1	-217.017
3410	1	-215.77
3420	1	-216.517
3430	1	-215.267
3440	1	-217.41
3450	1	-216.738
3460	1	-216.027
3470	1	-216.635
3480	1	-216.568
3490	1	-218.326
3500	1	-216.658
3510	1	-216.132
3520	1	-217.018
3530	1	-217.004
3540	1	-216.094
3550	1	-215.792
3560	1	-218.062
3570	1	-220.721
3580	1	-215.45
3590	1	-217.304
3600	1	-216.542
3610	1	-218.183
3620	1	-215.674
3630	1	-216.232
3640	1	-216.82
3650	1	-216.417
3660	1	-215.429
3670	1	-215.502
3680	1	-217.208
3690	1	-216.514
3700	1	-216.213
3710	1	-215.191
3720	1	-219.541
3730	1	-215.768
3740	1	-216.928
3750	1	-216.004
3760	1	-217.112
3770	1	-216.244
