state	power	likelihood
2510	1	-218.745
2520	1	-217.534
2530	1	-215.503
2540	1	-218.141
2550	1	-218.616
2560	1	-216.393
2570	1	-215.236
2580	1	-217.613
2590	1	-215.44
2600	1	-217.339
2610	1	-215.855
2620	1	-219.522
2630	1	-217.585
2640	1	-218.018
2650	1	-216.346
2660	1	-217.5
2670	1	-216.806
2680	1	-217.088
2690	1	-216.981
2700	1	-215.867
2710	1	-217.44
2720	1	-216.659
2730	1	-215.734
2740	1	-216.144
2750	1	-217.669
2760	1	-215.908
2770	1	-216.027
2780	1	-218.456
2790	1	-215.489
2800	1	-216.987
2810	1	-215.316
2820	1	-218.776
2830	1	-215.232
2840	1	-214.922
2850	1	-215.163
2860	1	-215.94
2870	1	-216.194
2880	1	-216.109
2890	1	-216.476
2900	1	-216.158
2910	1	-215.81
2920	1	-216.35
2930	1	-215.883
2940	1	-217.04
2950	1	-216.687
2960	1	-216.913
2970	1	-217.407
2980	1	-217.292
2990	1	-216.781
3000	1	-214.936
3010	1	-215.723
3020	1	-215.855
3030	1	-217.785
3040	1	-216.385
3050	1	-217.021
3060	1	-216.488
3070	1	-220.402
3080	1	-216.703
3090	1	-217.433
3100	1	-218.246
3110	1	-217.695
3120	1	-216.396
3130	1	-218.552
3140	1	-218.917
3150	1	-215.206
3160	1	-215.51
3170	1	-215.425
3180	1	-216.006
3190	1	-216.567
3200	1	-216.135
3210	1	-216.144
3220	1	-215.813
3230	1	-215.866
3240	1	-215.468
3250	1	-215.773
3260	1	-215.554
3270	1	-219.586
3280	1	-218.67
3290	1	-216.04
3300	1	-215.755
3310	1	-216.017
3320	1	-215.866
3330	1	-219.069
3340	1	-215.796
3350	1	-217.783
3360	1	-216.065
3370	1	-218.195
3380	1	-216.375
3390	1	-218.788
3400	1	-216.7
3410	1	-215.409
3420	1	-215.808
3430	1	-218.144
3440	1	-215.384
3450	1	-216.742
3460	1	-216.588
3470	1	-216.324
3480	1	-218.062
3490	1	-215.242
3500	1	-215.86
3510	1	-215.594
3520	1	-217.048
3530	1	-215.401
3540	1	-215.101
3550	1	-216.849
3560	1	-217.252
3570	1	-216.344
3580	1	-217.542
3590	1	-216.348
3600	1	-215.362
3610	1	-217.754
3620	1	-216.587
3630	1	-217.962
3640	1	-217.736
3650	1	-216.51
3660	1	-215.211
3670	1	-217.23
3680	1	-220.602
3690	1	-215.778
3700	1	-216.518
3710	1	-216.242
3720	1	-215.706
3730	1	-217.239
3740	1	-215.633
3750	1	-217.051
3760	1	-216.685
3770	1	-216.029
3780	1	-215.46
3790	1	-216.85
3800	1	-215.195
3810	1	-218.298
3820	1	-216.662
3830	1	-217.634
3840	1	-219.338
3850	1	-216.018
3860	1	-218.454
3870	1	-218.824
3880	1	-215.486
3890	1	-216.949
3900	1	-216.56
3910	1	-215.876
3920	1	-215.18
3930	1	-216.819
3940	1	-218.084
3950	1	-216.139
