state	power	likelihood
2510	2.43e-08	-224.164
2520	2.43e-08	-234.567
2530	2.43e-08	-216.546
2540	2.43e-08	-256.342
2550	2.43e-08	-350.995
2560	2.43e-08	-221.457
2570	2.43e-08	-222.451
2580	2.43e-08	-260.313
2590	2.43e-08	-248.109
2600	2.43e-08	-237.17
2610	2.43e-08	-226.033
2620	2.43e-08	-215.574
2630	2.43e-08	-255.505
2640	2.43e-08	-244.156
2650	2.43e-08	-267.96
2660	2.43e-08	-292.834
2670	2.43e-08	-231.292
2680	2.43e-08	-239.574
2690	2.43e-08	-266.009
2700	2.43e-08	-264.448
2710	2.43e-08	-239.847
2720	2.43e-08	-285.365
2730	2.43e-08	-228.236
2740	2.43e-08	-220.975
2750	2.43e-08	-279.872
2760	2.43e-08	-242.091
2770	2.43e-08	-217.593
2780	2.43e-08	-235.152
2790	2.43e-08	-231.135
2800	2.43e-08	-243.256
2810	2.43e-08	-397.273
2820	2.43e-08	-237.391
2830	2.43e-08	-287.041
2840	2.43e-08	-215.606
2850	2.43e-08	-291.121
2860	2.43e-08	-283.781
2870	2.43e-08	-254.931
2880	2.43e-08	-246.153
2890	2.43e-08	-263.139
2900	2.43e-08	-275.004
2910	2.43e-08	-253.325
2920	2.43e-08	-241.149
2930	2.43e-08	-231.06
2940	2.43e-08	-226.851
2950	2.43e-08	-275.242
2960	2.43e-08	-256.772
2970	2.43e-08	-264.285
2980	2.43e-08	-251.332
2990	2.43e-08	-289.799
3000	2.43e-08	-223.555
3010	2.43e-08	-277.395
3020	2.43e-08	-244.767
3030	2.43e-08	-219.593
3040	2.43e-08	-256.131
3050	2.43e-08	-247.826
3060	2.43e-08	-231.275
3070	2.43e-08	-231.86
3080	2.43e-08	-243.099
3090	2.43e-08	-243.89
3100	2.43e-08	-238.993
3110	2.43e-08	-270.905
3120	2.43e-08	-255.431
3130	2.43e-08	-253.782
3140	2.43e-08	-302.77
3150	2.43e-08	-245.363
3160	2.43e-08	-220.569
3170	2.43e-08	-229.599
3180	2.43e-08	-239.499
3190	2.43e-08	-262.052
3200	2.43e-08	-224.669
3210	2.43e-08	-248.801
3220	2.43e-08	-245.343
3230	2.43e-08	-282.603
3240	2.43e-08	-351.006
3250	2.43e-08	-222.213
3260	2.43e-08	-324.497
3270	2.43e-08	-256.451
3280	2.43e-08	-220.692
3290	2.43e-08	-370.148
3300	2.43e-08	-267.703
3310	2.43e-08	-219.012
3320	2.43e-08	-231.591
3330	2.43e-08	-291.412
3340	2.43e-08	-247.111
3350	2.43e-08	-234.342
3360	2.43e-08	-217.273
3370	2.43e-08	-238.961
3380	2.43e-08	-245.339
3390	2.43e-08	-224.007
3400	2.43e-08	-216.848
3410	2.43e-08	-217.694
3420	2.43e-08	-241.847
3430	2.43e-08	-290.237
3440	2.43e-08	-254.503
3450	2.43e-08	-233.867
3460	2.43e-08	-222.771
3470	2.43e-08	-235.584
3480	2.43e-08	-271.878
3490	2.43e-08	-271.442
3500	2.43e-08	-250.337
3510	2.43e-08	-216.494
3520	2.43e-08	-224.321
3530	2.43e-08	-224.507
3540	2.43e-08	-264.42
3550	2.43e-08	-247.154
3560	2.43e-08	-225.006
3570	2.43e-08	-257.297
3580	2.43e-08	-276.105
3590	2.43e-08	-244.552
3600	2.43e-08	-235.662
3610	2.43e-08	-236.704
3620	2.43e-08	-236.708
3630	2.43e-08	-236.591
3640	2.43e-08	-219.118
3650	2.43e-08	-233.407
3660	2.43e-08	-270.432
3670	2.43e-08	-255.971
3680	2.43e-08	-221.559
3690	2.43e-08	-245.079
3700	2.43e-08	-245.524
3710	2.43e-08	-307.147
3720	2.43e-08	-258.931
3730	2.43e-08	-240.619
3740	2.43e-08	-221.424
3750	2.43e-08	-225.864
3760	2.43e-08	-238.299
3770	2.43e-08	-219.622
3780	2.43e-08	-306.84
3790	2.43e-08	-292.17
3800	2.43e-08	-229.992
3810	2.43e-08	-233.654
3820	2.43e-08	-262.422
3830	2.43e-08	-237.471
3840	2.43e-08	-235.457
3850	2.43e-08	-241.114
3860	2.43e-08	-271.86
3870	2.43e-08	-228.435
3880	2.43e-08	-222.593
3890	2.43e-08	-228.551
3900	2.43e-08	-250.347
3910	2.43e-08	-307.379
3920	2.43e-08	-234.361
3930	2.43e-08	-239.55
3940	2.43e-08	-240.176
3950	2.43e-08	-217.75
3960	2.43e-08	-270.737
3970	2.43e-08	-236.953
3980	2.43e-08	-221.675
3990	2.43e-08	-251.516
4000	2.43e-08	-235.689
4010	2.43e-08	-240.314
4020	2.43e-08	-272.975
4030	2.43e-08	-216.755
4040	2.43e-08	-219.364
4050	2.43e-08	-231.225
4060	2.43e-08	-319.063
4070	2.43e-08	-238.671
4080	2.43e-08	-244.824
4090	2.43e-08	-252.891
4100	2.43e-08	-276.813
4110	2.43e-08	-273.783
4120	2.43e-08	-238.983
4130	2.43e-08	-226.931
4140	2.43e-08	-228.467
4150	2.43e-08	-220.204
4160	2.43e-08	-306.264
4170	2.43e-08	-253.718
4180	2.43e-08	-254.016
4190	2.43e-08	-226.346
4200	2.43e-08	-226.744
4210	2.43e-08	-288.09
4220	2.43e-08	-295.906
4230	2.43e-08	-333.062
4240	2.43e-08	-272.815
4250	2.43e-08	-273.474
4260	2.43e-08	-240.406
4270	2.43e-08	-251.152
4280	2.43e-08	-241.874
4290	2.43e-08	-302.406
4300	2.43e-08	-243.317
4310	2.43e-08	-246.222
4320	2.43e-08	-254.57
4330	2.43e-08	-237.402
4340	2.43e-08	-217.976
4350	2.43e-08	-262.541
4360	2.43e-08	-334.398
4370	2.43e-08	-265.346
4380	2.43e-08	-224.744
4390	2.43e-08	-286.08
4400	2.43e-08	-278.675
4410	2.43e-08	-231.623
4420	2.43e-08	-245.943
4430	2.43e-08	-233.821
4440	2.43e-08	-232.696
4450	2.43e-08	-225.346
4460	2.43e-08	-237.429
4470	2.43e-08	-232.066
4480	2.43e-08	-238.452
4490	2.43e-08	-237.859
4500	2.43e-08	-244.213
4510	2.43e-08	-223.542
4520	2.43e-08	-241.072
4530	2.43e-08	-265.021
4540	2.43e-08	-232.844
4550	2.43e-08	-221.135
4560	2.43e-08	-311.083
4570	2.43e-08	-237.44
4580	2.43e-08	-233.267
4590	2.43e-08	-236.583
4600	2.43e-08	-241.218
4610	2.43e-08	-259.358
4620	2.43e-08	-222.736
4630	2.43e-08	-227.016
4640	2.43e-08	-257.527
4650	2.43e-08	-275.487
4660	2.43e-08	-221.195
