Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.03599	0	3.03599	0.03240925
1	1	2.169578	0	2.169578	0.05156254
2	0	3.27971	0	3.27971	0.02072832
3	1	3.279543	0	3.279543	0.0206952
4	0	3.164704	0	3.164704	0.02852382
5	1	0.3576323	0	0.3576323	0.08888024
6	0	3.267273	0	3.267273	0.01944653
7	1	3.247371	0	3.247371	0.02503625
8	0	2.594333	0	2.594333	0.01078527
9	1	2.443705	0	2.443705	0.01003868
10	0	2.563686	0	2.563686	0.04340789
11	1	2.861316	0	2.861316	0.03679318
12	0	3.263204	0	3.263204	0.02402844
13	1	-3.272829	0	-3.272829	0.1801107
14	0	3.207719	0	3.207719	0.01713538
15	1	3.122494	0	3.122494	0.02990688
16	0	3.16764	0	3.16764	0.02842158
17	1	3.156332	0	3.156332	0.01600494
18	0	3.278961	0	3.278961	0.02059018
19	1	2.534379	0	2.534379	0.01047268
20	0	1.654515	0	1.654515	0.06195629
21	1	2.482031	0	2.482031	0.04513213
22	0	3.281287	0	3.281287	0.02174617
23	1	3.026784	0	3.026784	0.03265798
24	0	2.488711	0	2.488711	0.044992
25	1	2.707372	0	2.707372	0.01144284
26	0	3.281233	0	3.281233	0.02177639
27	1	3.275108	0	3.275108	0.02009172
28	0	2.363352	0	2.363352	0.04759929
29	1	2.291152	0	2.291152	0.00939439
30	0	2.193954	0	2.193954	0.05106711
31	1	0.7762072	0	0.7762072	0.07997301
32	0	3.267823	0	3.267823	0.01948417
33	1	3.266565	0	3.266565	0.01939926
34	0	3.273127	0	3.273127	0.01990005
35	1	3.20396	0	3.20396	0.01703839
36	0	2.177086	0	2.177086	0.05141003
37	1	3.276321	0	3.276321	0.02279862
38	0	3.003069	0	3.003069	0.03328717
39	1	2.784991	0	2.784991	0.03855857
40	0	3.270106	0	3.270106	0.01964993
41	1	3.206226	0	3.206226	0.02697097
42	0	3.06571	0	3.06571	0.03158642
43	1	1.653487	0	1.653487	0.06197704
44	0	3.044583	0	3.044583	0.01433148
45	1	2.900593	0	2.900593	0.03585661
46	0	2.032879	0	2.032879	0.05433021
47	1	3.106277	0	3.106277	0.03040387
48	0	2.415422	0	2.415422	0.009911716
49	1	3.104885	0	3.104885	0.01514525
50	0	3.251122	0	3.251122	0.02481996
51	1	3.186911	0	3.186911	0.0166316
52	0	1.170271	0	1.170271	0.07179814
53	1	3.229031	0	3.229031	0.02597499
54	0	3.108478	0	3.108478	0.0151994
55	1	2.915526	0	2.915526	0.0354945
56	0	3.271457	0	3.271457	0.01975669
57	1	2.254236	0	2.254236	0.04983855
58	0	3.01698	0	3.01698	0.03292003
59	1	2.60027	0	2.60027	0.0426263
60	0	3.092691	0	3.092691	0.03080873
61	1	1.693741	0	1.693741	0.06116518
62	0	2.588836	0	2.588836	0.04287126
63	1	2.852539	0	2.852539	0.03699959
64	0	3.279013	0	3.279013	0.02238507
65	1	3.277165	0	3.277165	0.02032822
66	0	3.274855	0	3.274855	0.02298
67	1	3.205794	0	3.205794	0.01708536
68	0	3.224462	0	3.224462	0.02618653
69	1	3.037355	0	3.037355	0.03237213
70	0	3.196147	0	3.196147	0.01684572
71	1	3.208256	0	3.208256	0.02688764
72	0	2.523631	0	2.523631	0.0442569
73	1	1.610668	0	1.610668	0.06284128
74	0	1.374828	0	1.374828	0.06761938
75	1	3.096773	0	3.096773	0.0306881
76	0	1.851271	0	1.851271	0.05799141
77	1	3.249361	0	3.249361	0.02492281
78	0	3.256876	0	3.256876	0.02446444
79	1	1.949953	0	1.949953	0.05600322
80	0	3.260755	0	3.260755	0.01905096
81	1	1.536184	0	1.536184	0.06434668
82	0	3.209144	0	3.209144	0.02685093
83	1	1.584088	0	1.584088	0.06337817
84	0	3.047951	0	3.047951	0.0320819
85	1	3.279234	0	3.279234	0.02234315
86	0	0.8190955	0	0.8190955	0.07907415
87	1	2.47472	0	2.47472	0.0452853
88	0	2.546967	0	2.546967	0.04376309
89	1	3.239221	0	3.239221	0.02547415
90	0	2.895363	0	2.895363	0.0359826
91	1	3.161474	0	3.161474	0.01610286
92	0	2.589785	0	2.589785	0.04285096
93	1	3.211965	0	3.211965	0.02673307
94	0	1.544332	0	1.544332	0.06418186
