Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.03599	0	3.03599	0.03240925
10	3.27971	0	3.27971	0.02072832
20	3.164704	0	3.164704	0.02852382
30	3.267273	0	3.267273	0.01944653
40	2.594333	0	2.594333	0.01078527
50	2.563686	0	2.563686	0.04340789
60	3.263204	0	3.263204	0.02402844
70	3.207719	0	3.207719	0.01713538
80	3.16764	0	3.16764	0.02842158
90	3.278961	0	3.278961	0.02059018
100	1.654515	0	1.654515	0.06195629
110	3.281287	0	3.281287	0.02174617
120	2.488711	0	2.488711	0.044992
130	3.281233	0	3.281233	0.02177639
140	2.363352	0	2.363352	0.04759929
150	2.193954	0	2.193954	0.05106711
160	3.267823	0	3.267823	0.01948417
170	3.273127	0	3.273127	0.01990005
180	2.177086	0	2.177086	0.05141003
190	3.003069	0	3.003069	0.03328717
200	3.270106	0	3.270106	0.01964993
210	3.06571	0	3.06571	0.03158642
220	3.044583	0	3.044583	0.01433148
230	2.032879	0	2.032879	0.05433021
240	2.415422	0	2.415422	0.009911716
250	3.251122	0	3.251122	0.02481996
260	1.170271	0	1.170271	0.07179814
270	3.108478	0	3.108478	0.0151994
280	3.271457	0	3.271457	0.01975669
290	3.01698	0	3.01698	0.03292003
300	3.092691	0	3.092691	0.03080873
310	2.588836	0	2.588836	0.04287126
320	3.279013	0	3.279013	0.02238507
330	3.274855	0	3.274855	0.02298
340	3.224462	0	3.224462	0.02618653
350	3.196147	0	3.196147	0.01684572
360	2.523631	0	2.523631	0.0442569
370	1.374828	0	1.374828	0.06761938
380	1.851271	0	1.851271	0.05799141
390	3.256876	0	3.256876	0.02446444
400	3.260755	0	3.260755	0.01905096
410	3.209144	0	3.209144	0.02685093
420	3.047951	0	3.047951	0.0320819
430	0.8190955	0	0.8190955	0.07907415
440	2.546967	0	2.546967	0.04376309
450	2.895363	0	2.895363	0.0359826
460	2.589785	0	2.589785	0.04285096
470	1.544332	0	1.544332	0.06418186
480	3.280386	0	3.280386	0.02208191
490	2.691821	0	2.691821	0.04063943
500	2.912511	0	2.912511	0.03556791
510	3.25736	0	3.25736	0.02443299
520	3.141749	0	3.141749	0.02929409
530	3.220186	0	3.220186	0.02637844
540	2.464925	0	2.464925	0.04549027
550	2.958729	0	2.958729	0.01339458
560	3.179038	0	3.179038	0.0280153
570	3.147947	0	3.147947	0.0290908
580	1.886837	0	1.886837	0.05727503
590	3.266134	0	3.266134	0.02380397
600	3.241631	0	3.241631	0.0181907
610	3.261736	0	3.261736	0.02413483
620	3.213435	0	3.213435	0.02667092
630	0.8511403	0	0.8511403	0.0784041
640	2.48699	0	2.48699	0.04502811
650	3.274782	0	3.274782	0.02298854
660	3.253002	0	3.253002	0.02470723
670	2.604292	0	2.604292	0.01083943
680	0.3810687	0	0.3810687	0.08837468
690	3.049557	0	3.049557	0.01439276
700	3.170634	0	3.170634	0.02831634
710	2.971132	0	2.971132	0.03411129
720	0.6395804	0	0.6395804	0.08285288
730	3.12744	0	3.12744	0.02975199
740	3.259403	0	3.259403	0.01897803
750	3.186709	0	3.186709	0.01662707
760	2.424731	0	2.424731	0.04632823
770	3.263566	0	3.263566	0.01921158
780	3.194819	0	3.194819	0.01681406
790	3.047318	0	3.047318	0.01436507
800	3.177247	0	3.177247	0.01642116
810	3.000517	0	3.000517	0.03335395
820	3.1734	0	3.1734	0.0282182
830	2.974762	0	2.974762	0.03401882
840	0.9782664	0	0.9782664	0.07575852
850	1.206895	0	1.206895	0.07104715
860	2.041958	0	2.041958	0.05414684
870	3.045791	0	3.045791	0.01434627
880	3.267228	0	3.267228	0.01944354
890	0.2817532	0	0.2817532	0.09052296
900	2.935849	0	2.935849	0.0349957
910	2.97174	0	2.97174	0.03409581
920	3.185396	0	3.185396	0.02778146
930	1.333811	0	1.333811	0.06845435
940	3.166712	0	3.166712	0.01620541
950	3.11548	0	3.11548	0.03012379
960	3.192776	0	3.192776	0.0275027
970	1.691175	0	1.691175	0.06121692
