Iteration	Posterior	Likelihood	Prior	birth_rate
0	-211.37	-214.6154	3.245383	0.01833672
10	-212.1287	-215.41	3.281323	0.0217237
20	-214.9353	-217.6196	2.684267	0.01130023
30	-211.3642	-214.5919	3.227681	0.01770893
40	-211.3628	-214.6027	3.239921	0.0181268
50	-211.4368	-214.6981	3.261357	0.01908428
60	-211.6948	-214.9724	3.277601	0.02038562
70	-211.9845	-215.2659	3.281452	0.02132981
80	-211.4432	-214.6377	3.194506	0.01680666
90	-211.9005	-215.004	3.103538	0.01512514
100	-211.6943	-214.8338	3.139551	0.01570243
110	-211.3647	-214.5919	3.227176	0.01769296
120	-211.7142	-214.8501	3.135871	0.01563928
130	-211.3661	-214.592	3.225826	0.01765071
140	-211.3971	-214.6515	3.254395	0.01872778
150	-211.4415	-214.7035	3.261995	0.0191202
160	-211.831	-215.1114	3.280312	0.02086282
170	-211.3637	-214.6047	3.24096	0.01816541
180	-211.4177	-214.6762	3.258457	0.01892845
190	-211.4636	-214.6525	3.188889	0.0166763
200	-211.3668	-214.5921	3.225234	0.01763239
210	-212.034	-215.1159	3.081919	0.01481562
220	-211.4674	-214.6553	3.187898	0.01665383
230	-211.4013	-214.6566	3.255335	0.01877262
240	-211.4276	-214.6267	3.199118	0.01691765
250	-212.858	-216.1293	3.271348	0.02334987
260	-212.672	-215.6592	2.987207	0.01368295
270	-211.3848	-214.636	3.251175	0.0185805
280	-211.6537	-214.8009	3.147223	0.01583766
290	-212.5011	-215.5128	3.011651	0.0139471
300	-211.9444	-215.2257	3.281303	0.02121341
310	-211.4595	-214.6495	3.189991	0.01670148
320	-211.4409	-214.6361	3.195143	0.01682177
330	-211.3872	-214.6009	3.21364	0.01729448
340	-211.363	-214.6032	3.240159	0.01813558
350	-212.0519	-215.3334	3.281511	0.02151844
360	-212.7263	-216.0002	3.27391	0.02308711
370	-211.8206	-215.1007	3.280171	0.02082861
380	-211.7562	-214.8845	3.128288	0.01551236
390	-211.4681	-214.7332	3.265079	0.01930394
400	-213.7769	-217.0255	3.248566	0.02496847
410	-211.7152	-214.9933	3.278143	0.02046181
420	-211.3608	-214.5953	3.234456	0.01793232
430	-211.5501	-214.8217	3.271546	0.01976405
440	-211.704	-214.8418	3.137743	0.01567127
450	-211.56	-214.8321	3.272122	0.01981216
460	-212.0665	-215.348	3.281495	0.02155829
470	-212.9696	-215.9152	2.945604	0.01326794
480	-211.3617	-214.6	3.238292	0.01806732
490	-211.4434	-214.7056	3.26223	0.01913365
500	-214.7291	-217.9489	3.219757	0.02639736
510	-211.3626	-214.5923	3.229644	0.01777185
520	-211.7666	-215.0458	3.279281	0.02064613
530	-212.1844	-215.243	3.058565	0.01450613
540	-211.6622	-214.9388	3.276604	0.0202587
550	-211.5674	-214.732	3.164613	0.01616396
560	-213.1201	-216.3857	3.265609	0.02384549
570	-211.4869	-214.7538	3.266899	0.01942141
580	-211.3622	-214.6014	3.239155	0.01809864
590	-211.3643	-214.5919	3.227592	0.01770611
600	-212.2382	-215.5189	3.280663	0.02200128
610	-212.4706	-215.7486	3.278088	0.0225439
620	-212.2916	-215.334	3.0424	0.01430487
630	-211.6667	-214.8115	3.144731	0.01579319
640	-211.3667	-214.5921	3.225352	0.01763601
650	-212.2512	-215.5317	3.280559	0.02203294
660	-211.4983	-214.6785	3.180144	0.0164829
670	-211.5642	-214.8366	3.272362	0.01983269
680	-211.5443	-214.7139	3.169598	0.01626322
690	-212.0127	-215.098	3.085309	0.0148626
700	-211.7242	-214.8582	3.134051	0.01560842
710	-212.4116	-215.4363	3.024664	0.01409478
720	-211.3618	-214.6004	3.238543	0.01807638
730	-211.7017	-214.9795	3.27779	0.02041146
740	-212.9455	-216.215	3.26952	0.02351905
750	-211.4198	-214.6214	3.201588	0.01697867
760	-211.8855	-214.9915	3.106033	0.01516247
770	-211.911	-215.1921	3.281104	0.02111347
780	-211.5005	-214.7686	3.268061	0.01950071
790	-211.4488	-214.7117	3.262907	0.01917273
800	-212.1825	-215.4635	3.281052	0.02186202
810	-211.4738	-214.7395	3.265662	0.01934072
820	-211.6326	-214.9082	3.275543	0.02013797
830	-212.5165	-215.794	3.277427	0.02264522
840	-211.4357	-214.6969	3.261208	0.01907596
850	-211.4278	-214.6269	3.199052	0.01691604
860	-211.4973	-214.6777	3.180382	0.01648803
870	-211.4912	-214.6731	3.181878	0.01652039
880	-211.578	-214.7404	3.162367	0.01612012
890	-211.4377	-214.6338	3.196083	0.01684418
900	-211.5749	-214.7379	3.163019	0.0161328
910	-212.6816	-215.6675	2.985843	0.01366868
920	-211.8305	-215.1108	3.280305	0.02086119
930	-211.4171	-214.6196	3.202456	0.0170004
940	-211.3611	-214.5979	3.236817	0.01801461
950	-211.3663	-214.6094	3.243116	0.01824747
960	-212.2389	-215.2892	3.0503	0.01440199
970	-211.6275	-214.7798	3.152324	0.01593039
980	-211.4341	-214.6951	3.260986	0.0190637
990	-212.5763	-215.8528	3.276504	0.02277445
1000	-211.7989	-215.0788	3.279848	0.02075677
1010	-211.6923	-214.9698	3.277529	0.02037594
1020	-211.361	-214.5974	3.236416	0.01800044
1030	-211.3665	-214.592	3.22548	0.01763999
1040	-211.4608	-214.7251	3.264299	0.01925578
1050	-211.8308	-214.946	3.115276	0.01530395
1060	-212.8272	-216.0991	3.271969	0.02328929
1070	-212.3029	-215.3436	3.040708	0.01428436
1080	-211.7119	-214.8482	3.136293	0.01564647
1090	-211.9652	-215.0581	3.09294	0.0149704
1100	-212.4475	-215.7259	3.278403	0.02249247
1110	-215.6246	-218.2192	2.594531	0.01078635
1120	-211.3809	-214.5975	3.216573	0.01737645
1130	-211.4131	-214.6169	3.203774	0.01703367
1140	-211.4124	-214.6165	3.204011	0.01703969
1150	-211.4074	-214.664	3.256578	0.01883333
1160	-211.3632	-214.6035	3.240349	0.01814262
1170	-211.6611	-214.8069	3.145812	0.01581242
1180	-211.9105	-215.0124	3.101881	0.01510054
1190	-211.575	-214.738	3.163009	0.01613261
1200	-211.3643	-214.6057	3.241472	0.01818469
1210	-213.8221	-217.0694	3.247288	0.02504091
1220	-214.4652	-217.6933	3.228087	0.02601929
1230	-211.4	-214.6084	3.208459	0.01715483
1240	-211.3609	-214.5948	3.233907	0.01791352
1250	-211.6751	-214.8183	3.14314	0.01576508
1260	-211.8853	-215.1662	3.280901	0.02103495
1270	-211.4261	-214.6257	3.199573	0.01692879
1280	-211.5421	-214.8132	3.271053	0.01972402
1290	-211.9091	-215.0112	3.102114	0.01510399
1300	-212.7763	-215.7488	2.9725	0.0135316
1310	-212.2239	-215.5047	3.280773	0.02196581
1320	-213.9321	-217.1762	3.244137	0.02521477
1330	-211.3705	-214.593	3.222534	0.01755019
1340	-211.3613	-214.5987	3.237402	0.01803539
1350	-211.9456	-215.0417	3.096126	0.01501628
1360	-211.6183	-214.7725	3.154145	0.01596406
1370	-212.5824	-215.8588	3.276406	0.0227875
1380	-211.5553	-214.7225	3.167203	0.0162152
1390	-212.7001	-215.9745	3.274389	0.02303367
1400	-211.5129	-214.782	3.26904	0.01957047
1410	-212.4095	-215.6884	3.278896	0.02240645
1420	-211.472	-214.6587	3.18669	0.01662663
1430	-211.7597	-215.0389	3.279147	0.02062229
1440	-212.1007	-215.3821	3.281421	0.02164989
1450	-211.629	-214.9044	3.275401	0.02012268
1460	-211.7104	-214.9885	3.278022	0.02044429
1470	-212.6647	-215.9397	3.275021	0.02296052
1480	-213.6525	-216.5055	2.853074	0.01246678
1490	-211.3626	-214.5923	3.229751	0.01777532
1500	-211.8602	-215.1409	3.280657	0.0209564
1510	-211.4923	-214.7597	3.267372	0.01945326
1520	-211.3706	-214.6162	3.245675	0.01834845
1530	-211.3608	-214.5964	3.235551	0.01797017
1540	-211.3651	-214.6073	3.242209	0.01821263
1550	-211.3822	-214.5982	3.215938	0.01735852
1560	-213.8013	-217.0492	3.247877	0.02500765
1570	-211.3682	-214.6125	3.244347	0.01829556
1580	-212.6591	-215.9342	3.275119	0.0229489
1590	-212.5508	-215.8277	3.276906	0.02271962
1600	-212.0458	-215.3273	3.281515	0.02150181
1610	-212.5592	-215.5625	3.003288	0.01385485
1620	-211.3666	-214.61	3.24334	0.01825618
1630	-211.8514	-214.9631	3.111772	0.0152497
1640	-211.5823	-214.8557	3.27332	0.01991762
1650	-211.5409	-214.8119	3.270977	0.01971796
1660	-211.8785	-215.1593	3.280839	0.02101378
1670	-211.8869	-214.9927	3.105795	0.01515889
1680	-211.4988	-214.7667	3.267923	0.01949115
1690	-211.5293	-214.7995	3.270211	0.019658
1700	-211.362	-214.6008	3.238815	0.01808625
1710	-211.49	-214.6722	3.182164	0.01652661
1720	-211.494	-214.7615	3.26752	0.01946333
1730	-211.7038	-214.9816	3.277847	0.02041947
1740	-211.4357	-214.6324	3.196661	0.01685805
1750	-211.37	-214.6153	3.245354	0.01833556
1760	-213.8441	-217.0907	3.246664	0.02507587
1770	-213.1525	-216.073	2.92049	0.01303551
1780	-211.6744	-214.9514	3.276997	0.02030696
1790	-211.4857	-214.6689	3.183238	0.01655009
1800	-211.6498	-214.7978	3.147968	0.01585107
1810	-211.7805	-215.0601	3.279538	0.02069433
1820	-211.7499	-214.8793	3.129412	0.01553091
1830	-215.5275	-218.721	3.193445	0.02747702
1840	-211.4865	-214.7533	3.266855	0.01941848
1850	-211.3788	-214.5964	3.217667	0.01740759
1860	-211.6633	-214.8087	3.145383	0.01580479
1870	-212.2446	-215.5252	3.280613	0.02201684
1880	-211.8037	-215.0836	3.279922	0.02077263
1890	-211.5208	-214.7904	3.269618	0.01961312
1900	-213.0873	-216.0167	2.929414	0.01311667
1910	-211.377	-214.6255	3.248519	0.01846566
1920	-211.9591	-215.2405	3.281368	0.02125649
1930	-212.4661	-215.4828	3.016727	0.01400408
1940	-213.9683	-217.2114	3.243084	0.02527145
1950	-211.803	-215.0829	3.279911	0.02077024
1960	-211.517	-214.6927	3.175746	0.01638961
1970	-213.0732	-216.3399	3.266691	0.02375917
1980	-211.6607	-214.9372	3.276553	0.02025257
1990	-211.5595	-214.8316	3.272094	0.01980973
2000	-211.74	-214.8712	3.131188	0.01556039
2010	-211.4245	-214.684	3.259559	0.01898632
2020	-213.5017	-216.7578	3.256084	0.02451535
2030	-211.4493	-214.642	3.192782	0.0167661
2040	-211.6652	-214.9419	3.276702	0.02027055
2050	-211.5148	-214.784	3.269181	0.0195808
2060	-211.5927	-214.8666	3.27383	0.01996499
2070	-211.4134	-214.6171	3.20369	0.01703154
2080	-211.4256	-214.6853	3.259728	0.01899534
2090	-211.7815	-215.061	3.279555	0.02069752
2100	-211.4055	-214.6617	3.256214	0.01881535
2110	-211.5163	-214.7856	3.26929	0.01958878
2120	-215.1824	-218.3874	3.204997	0.02702097
2130	-211.3619	-214.6005	3.238632	0.01807961
2140	-211.5511	-214.8227	3.271604	0.01976876
2150	-212.5911	-215.8673	3.276266	0.02280592
2160	-211.6501	-214.9263	3.276187	0.0202098
2170	-211.5209	-214.7905	3.269626	0.01961371
2180	-213.8869	-217.1324	3.245438	0.02514377
2190	-211.5644	-214.7297	3.165236	0.01617623
2200	-212.1272	-215.4086	3.281329	0.02171985
2210	-211.458	-214.722	3.263988	0.01923689
2220	-211.9053	-215.1864	3.281063	0.02109637
2230	-212.2977	-215.5779	3.280141	0.02214563
2240	-211.7927	-215.0725	3.279747	0.02073576
2250	-211.3994	-214.6081	3.208673	0.01716049
2260	-212.1501	-215.4313	3.281228	0.02177915
2270	-211.6798	-214.8221	3.142251	0.01574947
2280	-212.6475	-215.6382	2.990678	0.01371947
2290	-212.2947	-215.3366	3.04194	0.01429928
2300	-212.0631	-215.1404	3.077335	0.01475298
2310	-211.3766	-214.6249	3.248349	0.01845851
2320	-211.3654	-214.6079	3.242452	0.01822195
2330	-212.6813	-215.956	3.274728	0.02299486
2340	-211.7754	-214.9003	3.12488	0.01545667
