Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-210.1421	-216.1673	6.025219	0.01887306	0.003728439	0.01514462	0.003728439
10	-210.1164	-216.1475	6.031134	0.0189878	0.003706668	0.01528113	0.003706668
20	-211.3202	-217.4099	6.089644	0.02045322	0.006750313	0.0137029	0.006750313
30	-210.7928	-216.9023	6.109526	0.01981099	0.005515013	0.01429597	0.005515013
40	-211.3441	-217.6509	6.30676	0.02397313	0.0069299	0.01704323	0.0069299
50	-216.344	-222.402	6.057952	0.03289439	0.003681318	0.02921307	0.003681318
60	-209.9147	-215.7991	5.884394	0.018419	0.002838434	0.01558057	0.002838434
70	-210.3276	-215.6962	5.368517	0.02170404	0.001431246	0.02027279	0.001431246
80	-211.5277	-217.8716	6.343913	0.02578349	0.005496834	0.02028665	0.005496834
90	-211.5191	-217.7639	6.244782	0.0233024	0.007612141	0.01569026	0.007612141
100	-210.1807	-215.8115	5.630776	0.02179733	0.001810474	0.01998686	0.001810474
110	-209.9665	-215.2014	5.234892	0.0195056	0.001322203	0.0181834	0.001322203
120	-211.6653	-217.9539	6.288641	0.0243158	0.007774497	0.0165413	0.007774497
130	-209.9556	-215.9837	6.028143	0.02117318	0.002982223	0.01819096	0.002982223
140	-210.316	-216.512	6.196006	0.02245909	0.003923286	0.0185358	0.003923286
150	-210.7619	-217.0459	6.284053	0.0228788	0.0055251	0.0173537	0.0055251
160	-210.3237	-216.4471	6.123435	0.02278421	0.003323412	0.01946079	0.003323412
170	-209.9997	-215.9279	5.928175	0.01839142	0.003109571	0.01528185	0.003109571
180	-210.6901	-216.9276	6.237497	0.02179381	0.005599545	0.01619427	0.005599545
190	-210.2559	-216.4268	6.170946	0.02074386	0.004426203	0.01631766	0.004426203
200	-215.7811	-222.129	6.347898	0.03359135	0.008480901	0.02511045	0.008480901
210	-210.1816	-216.3585	6.176866	0.02139935	0.004055945	0.0173434	0.004055945
220	-210.9914	-216.9022	5.910826	0.01743069	0.004592031	0.01283865	0.004592031
230	-210.1157	-215.7599	5.644283	0.02158884	0.001838988	0.01974985	0.001838988
240	-209.8049	-215.4679	5.663063	0.01997064	0.001937536	0.01803311	0.001937536
250	-209.8626	-215.2331	5.370528	0.01825432	0.001541895	0.01671242	0.001541895
260	-213.2813	-219.5089	6.227569	0.02757012	0.01119585	0.01637427	0.01119585
270	-210.1129	-216.1095	5.996615	0.01865161	0.003556669	0.01509494	0.003556669
280	-210.5459	-216.1751	5.6292	0.01600257	0.002519664	0.01348291	0.002519664
290	-211.6173	-217.9235	6.306225	0.02449605	0.007548696	0.01694735	0.007548696
300	-210.435	-216.5758	6.140818	0.02006074	0.004816559	0.01524418	0.004816559
