Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-209.9975	-216.0701	6.072624	0.02127081	0.003209369	0.01806144	0.003209369
10	-210.2412	-216.3105	6.069294	0.02252651	0.003049856	0.01947666	0.003049856
20	-210.1239	-216.2764	6.152504	0.0215086	0.003749211	0.01775939	0.003749211
30	-209.8643	-215.8544	5.990076	0.02045526	0.002900833	0.01755443	0.002900833
40	-210.8437	-216.8709	6.027277	0.02424675	0.002813937	0.02143281	0.002813937
50	-210.0402	-216.1413	6.101169	0.02140612	0.003366519	0.0180396	0.003366519
60	-211.0016	-217.2171	6.215539	0.02178324	0.00638983	0.01539341	0.00638983
70	-211.7284	-217.3071	5.578757	0.02536103	0.001733053	0.02362797	0.001733053
80	-210.1135	-216.0405	5.926976	0.01808599	0.00326071	0.01482528	0.00326071
90	-210.085	-216.0645	5.979551	0.0219239	0.002701888	0.01922201	0.002701888
100	-210.8561	-216.9457	6.089557	0.01959785	0.005557582	0.01404027	0.005557582
110	-209.9289	-215.9772	6.048296	0.02005407	0.003331319	0.01672275	0.003331319
120	-212.4807	-215.8307	3.349984	0.0139639	0.0004917948	0.0134721	0.0004917948
130	-210.7379	-215.1985	4.460585	0.0160654	0.0008440941	0.01522131	0.0008440941
140	-210.2257	-215.7454	5.519724	0.02171395	0.001632049	0.0200819	0.001632049
150	-209.9133	-215.7611	5.847758	0.02103803	0.002322129	0.0187159	0.002322129
160	-210.014	-215.6723	5.658246	0.01724746	0.002241867	0.0150056	0.002241867
170	-211.2509	-217.4508	6.199883	0.02200629	0.006980418	0.01502587	0.006980418
180	-210.7059	-216.4908	5.784894	0.02357695	0.002100132	0.02147682	0.002100132
190	-210.7077	-216.8572	6.149524	0.02031931	0.005495833	0.01482348	0.005495833
200	-211.1719	-217.1635	5.991658	0.01868113	0.005672847	0.01300828	0.005672847
210	-210.9861	-215.9674	4.981338	0.01478304	0.001348776	0.01343427	0.001348776
220	-210.471	-215.9681	5.497132	0.02243189	0.001592257	0.02083963	0.001592257
230	-210.5575	-216.2758	5.71834	0.01627905	0.002858096	0.01342095	0.002858096
240	-210.4018	-216.3457	5.94386	0.01779456	0.003754385	0.01404018	0.003754385
250	-209.8162	-215.7456	5.92936	0.01948487	0.00279042	0.01669445	0.00279042
260	-211.4354	-217.0997	5.66427	0.0249524	0.001870492	0.02308191	0.001870492
270	-209.8923	-215.7248	5.832481	0.02090334	0.0022873	0.01861604	0.0022873
280	-215.6807	-221.4136	5.732866	0.02946554	0.0169578	0.01250774	0.0169578
290	-212.2677	-218.4281	6.160396	0.02400897	0.009359107	0.01464986	0.009359107
300	-210.1093	-215.4035	5.294195	0.01679113	0.00154539	0.01524574	0.00154539
310	-210.2547	-216.0674	5.812744	0.01714782	0.002951334	0.01419648	0.002951334
320	-209.8713	-215.7708	5.899496	0.02079699	0.00249959	0.0182974	0.00249959
330	-213.5732	-219.2748	5.701525	0.02218692	0.0111085	0.01107842	0.0111085
340	-214.7356	-220.5968	5.861213	0.02785449	0.01485637	0.01299812	0.01485637
350	-210.2336	-216.3505	6.116972	0.01985871	0.004271349	0.01558736	0.004271349
360	-210.1505	-216.2944	6.143913	0.02187962	0.003585903	0.01829372	0.003585903
370	-213.3295	-219.2573	5.927741	0.02422694	0.0115145	0.01271244	0.0115145
380	-210.1803	-215.3886	5.208301	0.01661086	0.001443289	0.01516757	0.001443289
390	-210.6532	-215.9757	5.322516	0.0225658	0.001373492	0.02119231	0.001373492
400	-211.1239	-215.1236	3.999683	0.01592911	0.0006414238	0.01528769	0.0006414238
410	-210.0087	-216.0078	5.999108	0.02155945	0.002807903	0.01875155	0.002807903
