Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-243.4741	-221.5311	-21.9431	0.02645216	0.01708608	0.009366082	0.01708608
10	-244.5946	-227.2172	-17.37739	0.04485932	0.02905513	0.01580419	0.02905513
20	-244.9194	-228.5225	-16.39688	0.04768188	0.03442342	0.01325846	0.03442342
30	-243.1664	-223.3693	-19.79709	0.03300468	0.02223419	0.01077049	0.02223419
40	-243.0022	-221.9934	-21.00888	0.03238572	0.01739095	0.01499477	0.01739095
50	-242.8533	-222.0957	-20.75764	0.03149135	0.01849508	0.01299626	0.01849508
60	-243.0405	-223.3486	-19.69192	0.03433461	0.02166294	0.01267167	0.02166294
70	-243.4278	-224.4591	-18.96865	0.0357768	0.02510347	0.01067333	0.02510347
80	-243.1491	-220.9548	-22.19424	0.02648994	0.01581085	0.01067909	0.01581085
90	-243.1811	-219.526	-23.65518	0.02641969	0.01197703	0.01444266	0.01197703
100	-244.6058	-217.6525	-26.95329	0.02176839	0.007486062	0.01428233	0.007486062
110	-242.9736	-220.7503	-22.22334	0.02950067	0.01463397	0.0148667	0.01463397
120	-243.1043	-219.6857	-23.41852	0.02584903	0.01258286	0.01326617	0.01258286
130	-243.766	-218.4753	-25.29074	0.02426685	0.009438413	0.01482844	0.009438413
140	-244.8119	-228.0961	-16.71574	0.04685791	0.03234826	0.01450965	0.03234826
150	-243.0228	-219.9219	-23.10087	0.02680648	0.01308223	0.01372425	0.01308223
160	-242.9004	-220.583	-22.31741	0.02852173	0.01459587	0.01392586	0.01459587
170	-242.9064	-221.2432	-21.66326	0.03041164	0.01591986	0.01449178	0.01591986
180	-245.1634	-227.6748	-17.48863	0.04240131	0.03447347	0.007927839	0.03447347
190	-242.9032	-220.5448	-22.3584	0.02750308	0.01477051	0.01273257	0.01477051
200	-243.323	-224.4601	-18.86284	0.03717387	0.02432234	0.01285153	0.02432234
210	-242.9953	-220.3617	-22.63355	0.02649856	0.01435263	0.01214593	0.01435263
220	-242.8368	-221.0669	-21.7699	0.02926269	0.01591206	0.01335063	0.01591206
230	-243.5796	-219.4538	-24.12583	0.02753874	0.0109913	0.01654744	0.0109913
240	-244.3883	-227.3467	-17.04168	0.04396221	0.03232859	0.01163363	0.03232859
250	-243.9583	-226.3288	-17.62959	0.04170666	0.02920345	0.01250321	0.02920345
260	-243.4163	-218.974	-24.44232	0.02485823	0.01074281	0.01411542	0.01074281
270	-243.7578	-218.4766	-25.28128	0.02417867	0.009462331	0.01471634	0.009462331
280	-244.6185	-222.3193	-22.29928	0.02524819	0.01814762	0.007100563	0.01814762
290	-245.6272	-225.3105	-20.31662	0.04036937	0.01869685	0.02167252	0.01869685
300	-242.8683	-222.2477	-20.62053	0.03187617	0.01885414	0.01302203	0.01885414
310	-243.0808	-221.7819	-21.29884	0.03216915	0.01659444	0.0155747	0.01659444
320	-242.9682	-220.2766	-22.6916	0.02671173	0.01411583	0.0125959	0.01411583
330	-245.0218	-223.17	-21.85177	0.03606064	0.01500787	0.02105277	0.01500787
340	-243.0621	-221.9303	-21.13182	0.03242981	0.01702079	0.01540902	0.01702079
350	-242.9468	-222.7875	-20.15932	0.03331509	0.02007328	0.01324181	0.02007328
360	-245.8879	-222.297	-23.59091	0.03426413	0.01170563	0.0225585	0.01170563
370	-243.6842	-220.9412	-22.74305	0.03116663	0.01330221	0.01786442	0.01330221
380	-243.023	-222.7246	-20.2984	0.03162915	0.02050835	0.0111208	0.02050835
390	-244.3715	-224.1389	-20.23256	0.03806963	0.01897733	0.0190923	0.01897733
400	-243.0669	-222.512	-20.55491	0.03067469	0.01999486	0.01067983	0.01999486
410	-243.0431	-223.2772	-19.76595	0.03365864	0.02174159	0.01191705	0.02174159
420	-243.4153	-224.2946	-19.12077	0.03516413	0.02471886	0.01044526	0.02471886
430	-243.0425	-219.8506	-23.1919	0.02658163	0.01292478	0.01365685	0.01292478
440	-243.9233	-224.5105	-19.41278	0.03393725	0.02543333	0.008503919	0.02543333
450	-244.2061	-226.9459	-17.26016	0.04331818	0.03076673	0.01255145	0.03076673
460	-243.0477	-220.2106	-22.8371	0.02603076	0.01396143	0.01206933	0.01396143
470	-243.5233	-220.53	-22.99326	0.0243936	0.01437923	0.01001437	0.01437923
480	-243.1206	-221.359	-21.76168	0.02741474	0.01689584	0.0105189	0.01689584
490	-242.8754	-221.0726	-21.80276	0.02979743	0.01567261	0.01412481	0.01567261
500	-245.4933	-228.6791	-16.81422	0.04850801	0.03118955	0.01731846	0.03118955
510	-243.5301	-220.2211	-23.30894	0.0294042	0.01231387	0.01709033	0.01231387
520	-244.0016	-218.1932	-25.80834	0.02290631	0.00884137	0.01406494	0.00884137
530	-243.746	-225.432	-18.314	0.03820455	0.02771836	0.01048619	0.02771836
540	-243.1615	-222.9477	-20.21379	0.03464363	0.01945152	0.01519211	0.01945152
550	-243.1882	-222.8248	-20.36333	0.03447806	0.01898761	0.01549045	0.01898761
560	-243.9111	-226.0995	-17.81155	0.04044074	0.02922979	0.01121095	0.02922979
570	-243.9614	-218.898	-25.06338	0.02658098	0.009585282	0.0169957	0.009585282
580	-244.2944	-218.2844	-26.01	0.02125573	0.008802284	0.01245345	0.008802284
590	-243.0742	-219.7524	-23.32176	0.02643859	0.01266705	0.01377154	0.01266705
600	-243.2226	-222.8658	-20.35679	0.03462794	0.01897972	0.01564821	0.01897972
610	-243.4934	-219.8463	-23.64713	0.02369788	0.01275197	0.01094591	0.01275197
620	-242.8945	-220.5183	-22.3762	0.02772688	0.01465011	0.01307677	0.01465011
630	-243.3572	-220.2139	-23.14334	0.02455369	0.01375965	0.01079404	0.01375965
640	-243.5653	-223.8666	-19.69865	0.03709424	0.02074495	0.01634929	0.02074495
650	-243.2264	-223.319	-19.90744	0.03547475	0.0203343	0.01514044	0.0203343
660	-246.452	-221.31	-25.14203	0.01910107	0.01258678	0.006514289	0.01258678
670	-243.3713	-222.8436	-20.52777	0.03031547	0.02085377	0.009461706	0.02085377
680	-244.3962	-224.3812	-20.01501	0.03858631	0.01958265	0.01900366	0.01958265
690	-244.014	-226.4631	-17.55094	0.04183023	0.02980336	0.01202686	0.02980336
700	-244.5568	-226.8621	-17.69472	0.04406846	0.02763262	0.01643585	0.02763262
710	-243.2312	-220.0169	-23.21433	0.02835567	0.01259496	0.01576071	0.01259496
720	-245.9936	-216.8103	-29.18331	0.02142573	0.005349946	0.01607578	0.005349946
730	-242.8563	-221.8666	-20.98971	0.03033458	0.01814721	0.01218738	0.01814721
740	-243.5729	-221.1625	-22.41038	0.03154572	0.01396903	0.0175767	0.01396903
750	-243.5087	-224.6716	-18.83715	0.03844847	0.02383334	0.01461514	0.02383334
760	-244.3476	-227.0349	-17.31268	0.04415975	0.02971388	0.01444587	0.02971388
770	-243.2299	-223.6069	-19.62304	0.03596849	0.02127672	0.01469176	0.02127672
780	-243.4202	-219.5581	-23.86214	0.02751193	0.01145309	0.01605884	0.01145309
790	-243.5499	-223.9051	-19.64473	0.03311199	0.0237777	0.009334289	0.0237777
800	-244.2665	-218.7296	-25.5369	0.0264992	0.008930814	0.01756839	0.008930814
810	-243.0975	-222.9212	-20.17628	0.03182397	0.02106421	0.01075976	0.02106421
820	-244.9044	-228.2049	-16.69947	0.04720477	0.03228061	0.01492417	0.03228061
830	-242.8341	-221.3619	-21.4722	0.02937634	0.01682042	0.01255592	0.01682042
840	-243.3089	-223.8569	-19.45204	0.03402291	0.02356133	0.01046158	0.02356133
850	-243.7973	-219.537	-24.26029	0.02807287	0.01073232	0.01734055	0.01073232
860	-245.4635	-217.5113	-27.95223	0.02409312	0.006316292	0.01777683	0.006316292
870	-242.8672	-221.6066	-21.26062	0.03097223	0.01696203	0.01401019	0.01696203
880	-242.9906	-220.2023	-22.78827	0.02648882	0.01393127	0.01255755	0.01393127
890	-244.4266	-227.3974	-17.02924	0.04393341	0.03263293	0.01130048	0.03263293
900	-243.5585	-224.4107	-19.14776	0.03812306	0.02259248	0.01553059	0.02259248
910	-244.0234	-226.3431	-17.68028	0.04092992	0.02997677	0.01095314	0.02997677
920	-243.0986	-220.2846	-22.81394	0.02870866	0.01338865	0.01532	0.01338865
930	-243.4251	-223.8964	-19.52869	0.03694307	0.02138752	0.01555555	0.02138752
940	-244.6637	-222.0313	-22.63244	0.03378374	0.01342786	0.02035587	0.01342786
950	-242.995	-223.1036	-19.89137	0.03352906	0.02117133	0.01235773	0.02117133
960	-244.5972	-227.7994	-16.79787	0.04582712	0.03243129	0.01339582	0.03243129
970	-244.6839	-218.6965	-25.98738	0.02006807	0.009123749	0.01094432	0.009123749
980	-243.8702	-221.2108	-22.65948	0.02455843	0.01578572	0.00877271	0.01578572
990	-244.1097	-223.167	-20.94274	0.02896892	0.0212966	0.007672326	0.0212966
1000	-243.7394	-225.2671	-18.47236	0.03751652	0.02736502	0.0101515	0.02736502
1010	-245.2241	-228.7262	-16.49786	0.04860539	0.03302566	0.01557973	0.03302566
1020	-244.1332	-223.3214	-20.81179	0.02938138	0.02175066	0.007630727	0.02175066
1030	-242.8279	-221.4777	-21.35015	0.02977274	0.01707457	0.01269817	0.01707457
1040	-243.8938	-221.3535	-22.54026	0.02478808	0.01615284	0.008635237	0.01615284
