Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-214.3271	-220.7001	6.372982	0.03128149	0.009252852	0.02202863	0.009252852
10	-209.8658	-215.8468	5.980965	0.01954782	0.00304139	0.01650643	0.00304139
20	-220.0561	-226.1656	6.109428	0.0416418	0.01788876	0.02375305	0.01788876
30	-213.6228	-219.9989	6.376089	0.02989117	0.009019859	0.02087131	0.009019859
40	-212.545	-217.9819	5.436846	0.01407796	0.003606959	0.010471	0.003606959
50	-227.4091	-233.1226	5.71344	0.05469482	0.02716889	0.02752593	0.02716889
60	-213.2428	-219.6207	6.377855	0.02932274	0.00672063	0.02260211	0.00672063
70	-214.0346	-220.0684	6.033778	0.02755814	0.01328825	0.01426989	0.01328825
80	-217.6682	-223.8597	6.191542	0.03741738	0.01591183	0.02150555	0.01591183
90	-213.0893	-219.4649	6.37565	0.0290392	0.006536255	0.02250295	0.006536255
100	-215.8552	-221.9932	6.137936	0.03250553	0.004125273	0.02838026	0.004125273
110	-216.8055	-222.0892	5.283713	0.02903294	0.01885194	0.010181	0.01885194
120	-212.4803	-218.6449	6.164557	0.02465407	0.009836403	0.01481767	0.009836403
130	-228.084	-233.8133	5.729254	0.05455378	0.02492732	0.02962646	0.02492732
140	-211.8563	-217.8678	6.011529	0.02630101	0.002798666	0.02350235	0.002798666
150	-221.1248	-226.9741	5.849284	0.04433253	0.02522679	0.01910574	0.02522679
160	-220.646	-226.7558	6.109752	0.04237707	0.01728872	0.02508835	0.01728872
170	-233.8428	-239.2184	5.375613	0.06514134	0.03330358	0.03183775	0.03330358
180	-219.0532	-225.0989	6.045714	0.04010427	0.019972	0.02013227	0.019972
190	-211.8323	-217.7387	5.906436	0.01895846	0.006859565	0.0120989	0.006859565
200	-213.0061	-219.3442	6.33807	0.02812419	0.009564634	0.01855956	0.009564634
210	-209.897	-215.5825	5.685516	0.01775765	0.00222459	0.01553306	0.00222459
220	-213.4236	-219.6706	6.246978	0.02934051	0.004414929	0.02492558	0.004414929
230	-220.8196	-226.7172	5.89767	0.04369717	0.02406093	0.01963624	0.02406093
240	-219.0587	-225.2858	6.227034	0.03915071	0.01313688	0.02601383	0.01313688
250	-215.1165	-220.5638	5.447351	0.0248628	0.01458958	0.01027322	0.01458958
260	-211.7789	-218.1128	6.333902	0.02530028	0.007581954	0.01771832	0.007581954
270	-220.5662	-226.6626	6.096441	0.0424292	0.01798934	0.02443986	0.01798934
280	-211.6807	-217.8894	6.208759	0.02623856	0.00379956	0.022439	0.00379956
290	-214.2576	-219.3141	5.056411	0.01238983	0.003361384	0.009028443	0.003361384
300	-221.4374	-227.591	6.153646	0.04199051	0.01272931	0.0292612	0.01272931
310	-214.4611	-220.7333	6.272188	0.03092121	0.01236097	0.01856024	0.01236097
320	-222.9367	-229.0453	6.108524	0.04238956	0.009594463	0.0327951	0.009594463
330	-210.9325	-217.245	6.312568	0.02395492	0.005368049	0.01858687	0.005368049
340	-210.3661	-216.5793	6.21319	0.02257275	0.00407856	0.01849419	0.00407856
350	-221.4959	-227.576	6.08003	0.04363932	0.01761878	0.02602053	0.01761878
360	-212.9549	-219.2565	6.301651	0.02758091	0.01002371	0.0175572	0.01002371
370	-211.6422	-217.686	6.043814	0.02056324	0.007363989	0.01319925	0.007363989
380	-210.405	-216.6332	6.228142	0.02178359	0.00474003	0.01704356	0.00474003
390	-220.8439	-225.2132	4.369294	0.0353569	0.02739352	0.007963379	0.02739352
400	-223.6772	-229.5122	5.834999	0.04908386	0.02599956	0.0230843	0.02599956
410	-212.3924	-218.7646	6.37212	0.02767603	0.006208644	0.02146739	0.006208644
420	-222.9283	-228.8635	5.93528	0.04705506	0.0226106	0.02444446	0.0226106
430	-210.8701	-217.128	6.257847	0.02431619	0.004260366	0.02005583	0.004260366
440	-226.8247	-232.538	5.713266	0.05431663	0.02813243	0.0261842	0.02813243
450	-224.9519	-230.6634	5.711505	0.05210361	0.02983606	0.02226755	0.02983606
460	-210.8854	-216.4341	5.548643	0.02358952	0.001666287	0.02192323	0.001666287
470	-214.0011	-219.318	5.31689	0.01787966	0.008763029	0.009116627	0.008763029
480	-211.5999	-216.2768	4.676933	0.02346325	0.0008703375	0.02259291	0.0008703375
490	-212.8447	-218.4863	5.641578	0.01814576	0.007666682	0.01047908	0.007666682
500	-213.3278	-219.4263	6.098502	0.02624408	0.01172516	0.01451892	0.01172516
510	-215.4662	-221.5606	6.094368	0.03199818	0.01562734	0.01637083	0.01562734
520	-214.6156	-220.7778	6.162228	0.03038221	0.01381335	0.01656887	0.01381335
530	-212.1032	-217.7899	5.686726	0.01622092	0.005223219	0.0109977	0.005223219
540	-214.4693	-220.8324	6.363154	0.03151994	0.00987696	0.02164298	0.00987696
550	-211.5952	-217.2937	5.69846	0.01569242	0.004070307	0.01162211	0.004070307
560	-212.8296	-219.1864	6.35684	0.02855157	0.005833938	0.02271763	0.005833938
570	-226.7796	-232.6857	5.906109	0.04947702	0.01680499	0.03267203	0.01680499
580	-215.607	-220.4063	4.799237	0.01272211	0.005024406	0.007697701	0.005024406
590	-212.0085	-218.251	6.242511	0.0244515	0.008692865	0.01575863	0.008692865
600	-213.5392	-218.9516	5.412407	0.01700586	0.007550841	0.009455023	0.007550841
610	-217.3779	-223.362	5.984036	0.03395342	0.003465689	0.03048774	0.003465689
620	-213.3251	-219.6838	6.358704	0.02944293	0.006084527	0.0233584	0.006084527
