Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-190.5874	-165.5024	-25.08505	0.180801	0.126324	0.102509	0.115855	0.103267	0.188015	0.144757	0.169197	0.176632	0.22035	0.113703	0.3420776	-1.71036	-2.06891	-2.2778	-2.15541	-2.27044	-1.67124	-1.9327	-1.77669	-1.73369	-1.51254	-2.17417	-6.4347	-5.81335	-4.95816	-3.19925	-1.79108	-1.73843	-1.80188	-0.462466	-1.20696	-2.25549	-2.36833	0.00160489	0.0029874	0.00702582	0.0407926	0.16678	0.175796	0.164988	0.629729	0.299106	0.104822	0.0936367	0.7814397
10	-207.8338	-168.2063	-39.6275	0.0722535	0.0677038	0.132335	0.137555	0.148265	0.115458	0.0620687	0.0599196	0.105404	0.041832	0.125365	0.4173526	-2.62757	-2.69261	-2.02242	-1.98373	-1.90875	-2.15885	-2.77951	-2.81475	-2.24995	-3.17409	-2.07653	-9.72536	-7.37962	-5.16424	-4.17533	-1.85695	-2.57957	-2.36423	-0.684618	-0.752254	-3.81649	-2.81293	5.97489e-05	0.000623841	0.00571738	0.0153701	0.156148	0.0758068	0.0940217	0.504283	0.471303	0.0220049	0.0600289	2.511434
20	-200.0999	-167.5622	-32.53771	0.104032	0.0639548	0.0811094	0.130156	0.158489	0.197059	0.111032	0.0613532	0.151928	0.11206	0.125335	0.7466091	-2.26306	-2.74958	-2.51196	-2.03903	-1.84207	-1.62425	-2.19793	-2.79111	-1.88435	-2.18873	-2.07676	-8.44966	-6.7351	-5.57341	-4.39685	-2.22242	-1.68168	-1.9173	-0.572732	-1.80253	-2.61413	-2.96193	0.000213973	0.00118846	0.00379751	0.0123161	0.108346	0.186062	0.147003	0.563983	0.164881	0.0732312	0.0517187	1.018468
30	-197.0866	-167.6987	-29.38794	0.105799	0.0969473	0.108282	0.102956	0.13488	0.14666	0.114424	0.115693	0.10285	0.141066	0.0985888	0.3195304	-2.24621	-2.33359	-2.22302	-2.27346	-2.00337	-1.91964	-2.16784	-2.15682	-2.27448	-1.95853	-2.3168	-7.64201	-9.64619	-9.86278	-6.74513	-2.93301	-1.23134	-2.29335	-0.509305	-1.31392	-2.35948	-2.63652	0.000479864	6.46713e-05	5.20774e-05	0.0011766	0.0532366	0.291901	0.100928	0.600913	0.268765	0.0944693	0.0716101	2.282304
40	-192.4468	-167.4988	-24.94798	0.171207	0.112283	0.0988327	0.0891462	0.140409	0.125041	0.129645	0.145658	0.1024	0.0860065	0.0947202	0.2229148	-1.76488	-2.18673	-2.31433	-2.41748	-1.96319	-2.07912	-2.04296	-1.92649	-2.27887	-2.45333	-2.35683	-6.06836	-6.6114	-5.2878	-4.92604	-1.73899	-1.92064	-1.97746	-0.410885	-1.10854	-2.5225	-1.9442	0.00231497	0.00134495	0.00505286	0.00725519	0.175697	0.146513	0.138421	0.663063	0.33004	0.0802589	0.143101	1.118005
50	-201.5309	-167.4373	-34.09351	0.154155	0.104535	0.111594	0.165355	0.241616	0.129811	0.134483	0.0861252	0.119558	0.0666697	0.102944	0.4187199	-1.8698	-2.25823	-2.19289	-1.79966	-1.42041	-2.04168	-2.00632	-2.45195	-2.12395	-2.70801	-2.27357	-5.37784	-6.20384	-3.96177	-2.89765	-1.89385	-1.29222	-1.39044	-0.722346	-1.09296	-5.62698	-3.04955	0.00461781	0.00202164	0.0190294	0.0551527	0.150492	0.274661	0.248966	0.485612	0.335223	0.00359941	0.0473802	1.722046
60	-201.8523	-172.8606	-28.99168	0.0871769	0.14268	0.150847	0.273703	0.461742	0.279732	0.276406	0.139201	0.138139	0.143541	0.0962705	0.5046102	-2.43982	-1.94715	-1.89149	-1.29571	-0.772749	-1.27392	-1.28589	-1.97184	-1.97949	-1.94114	-2.34059	-4.40173	-5.19085	-4.16265	-3.78251	-1.29847	-0.897876	-0.603085	-0.446311	-1.32026	-2.9459	-4.17204	0.0122562	0.00556729	0.0155663	0.0227654	0.27295	0.407434	0.547121	0.639985	0.267065	0.0525546	0.0154208	1.120976
70	-209.1868	-169.2113	-39.97549	0.132154	0.315635	0.136657	0.134535	0.419502	0.507901	0.217295	0.0320882	0.0804806	0.0782432	0.0587479	1.425743	-2.02379	-1.15317	-1.99028	-2.00593	-0.868687	-0.677468	-1.5265	-3.43927	-2.51974	-2.54793	-2.8345	-5.44872	-4.81363	-5.00637	-2.12428	-0.708718	-1.11859	-0.662735	-0.682469	-2.05151	-1.68377	-2.89428	0.00430182	0.00811835	0.00669514	0.119519	0.492275	0.326739	0.51544	0.505367	0.128541	0.185673	0.055339	0.930725
80	-210.4873	-164.92	-45.56735	0.13925	0.506543	0.376896	0.3333	0.189784	0.424657	0.359334	0.0673246	0.526569	0.0426553	0.0391004	1.427741	-1.97149	-0.680146	-0.975785	-1.09871	-1.66187	-0.856474	-1.0235	-2.69823	-0.641372	-3.1546	-3.24162	-7.31056	-4.4368	-3.28931	-2.32719	-0.228436	-0.759249	-0.518914	-0.560676	-1.36197	-3.03762	-1.82584	0.00066844	0.0118338	0.0372797	0.0975692	0.795777	0.468018	0.595167	0.570823	0.256155	0.0479488	0.161082	0.9026151
90	-202.5105	-163.3628	-39.14764	0.197152	0.695715	0.55143	0.170592	0.258165	0.62896	0.10742	0.0460292	0.0752099	0.349137	0.240688	0.6819147	-1.62378	-0.362815	-0.595241	-1.76848	-1.35416	-0.463687	-2.23101	-3.07848	-2.58747	-1.05229	-1.42425	-5.25673	-4.84682	-3.13089	-1.42842	0.154934	-0.861781	-1.10494	-0.575137	-1.23798	-1.96398	-1.44312	0.00521231	0.00785334	0.0436787	0.239687	1.16758	0.422409	0.331231	0.562628	0.289969	0.140299	0.236189	1.018774
