Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-190.5874	-165.5024	-25.08505	0.180801	0.126324	0.102509	0.115855	0.103267	0.188015	0.144757	0.169197	0.176632	0.22035	0.113703
10	-207.8338	-168.2063	-39.6275	0.0722535	0.0677038	0.132335	0.137555	0.148265	0.115458	0.0620687	0.0599196	0.105404	0.041832	0.125365
20	-200.0999	-167.5622	-32.53771	0.104032	0.0639548	0.0811094	0.130156	0.158489	0.197059	0.111032	0.0613532	0.151928	0.11206	0.125335
30	-197.0866	-167.6987	-29.38794	0.105799	0.0969473	0.108282	0.102956	0.13488	0.14666	0.114424	0.115693	0.10285	0.141066	0.0985888
40	-192.4468	-167.4988	-24.94798	0.171207	0.112283	0.0988327	0.0891462	0.140409	0.125041	0.129645	0.145658	0.1024	0.0860065	0.0947202
50	-201.5309	-167.4373	-34.09351	0.154155	0.104535	0.111594	0.165355	0.241616	0.129811	0.134483	0.0861252	0.119558	0.0666697	0.102944
60	-201.8523	-172.8606	-28.99168	0.0871769	0.14268	0.150847	0.273703	0.461742	0.279732	0.276406	0.139201	0.138139	0.143541	0.0962705
70	-209.1868	-169.2113	-39.97549	0.132154	0.315635	0.136657	0.134535	0.419502	0.507901	0.217295	0.0320882	0.0804806	0.0782432	0.0587479
80	-210.4873	-164.92	-45.56735	0.13925	0.506543	0.376896	0.3333	0.189784	0.424657	0.359334	0.0673246	0.526569	0.0426553	0.0391004
90	-202.5105	-163.3628	-39.14764	0.197152	0.695715	0.55143	0.170592	0.258165	0.62896	0.10742	0.0460292	0.0752099	0.349137	0.240688
100	-209.7327	-168.9078	-40.82483	0.154205	0.975481	0.310515	0.0822076	0.395413	0.430072	0.0937697	0.0201023	0.0847259	0.0885139	0.0668583
110	-215.0582	-168.5304	-46.52774	0.279354	0.901056	0.235907	0.00954874	0.333835	0.516835	0.268401	0.0346306	0.22232	0.0791221	0.182085
120	-204.4822	-161.8674	-42.61478	0.171038	1.09036	0.0181125	0.0776586	0.133015	0.550192	0.554661	0.0521703	0.334711	0.34835	0.062423
130	-207.0716	-163.7787	-43.29297	0.264204	1.00899	0.0683934	0.0598461	0.307174	0.598545	0.785381	0.0534456	0.350035	0.127885	0.144053
140	-205.7342	-164.3942	-41.34003	0.623206	1.08168	0.0809607	0.0498572	0.380028	0.483663	0.926557	0.104396	0.45386	0.236029	0.0521552
150	-203.7309	-159.9441	-43.78681	0.683612	1.11125	0.0291674	0.0237541	0.0533192	0.606434	0.913973	0.194184	0.240081	0.490147	0.0682644
160	-198.9994	-161.8953	-37.10404	0.597751	0.963955	0.192563	0.0295165	0.029295	0.571799	0.677698	0.292494	0.337087	0.372298	0.050995
170	-204.5578	-169.9874	-34.57035	0.670214	0.992426	0.380839	0.26675	0.270844	0.290858	0.689904	0.413228	0.363054	0.128597	0.0625305
180	-200.7613	-161.5412	-39.22016	0.672086	0.902481	0.204168	0.120568	0.13693	0.295159	0.916598	0.314378	0.649075	0.23319	0.162337
190	-191.3278	-163.2747	-28.05306	0.420464	0.799885	0.325676	0.148093	0.269854	0.525829	0.792047	0.719046	0.702949	0.501288	0.482441
200	-195.2969	-162.2952	-33.00165	0.804389	0.529562	0.162282	0.123555	0.330535	0.749854	0.798708	0.468336	0.503781	0.295505	0.413363
210	-199.5341	-160.7614	-38.77269	0.581531	0.568443	0.147635	0.140508	0.119138	0.561385	0.66486	0.564023	0.948536	0.936477	0.0578105
220	-207.501	-161.8125	-45.68849	0.627174	0.700203	0.123142	0.0160497	0.0620078	0.526113	0.702202	0.0972617	0.602647	1.04978	0.222871
230	-205.9873	-165.7825	-40.20481	0.518868	0.746022	0.10978	0.00780367	0.00887823	0.188045	0.462067	0.0241322	0.118439	0.430714	0.176249
240	-204.7043	-162.8171	-41.88725	0.48628	0.713953	0.031523	0.00768483	0.0191108	0.414334	0.518944	0.0234748	0.722503	0.24195	0.298196
250	-202.3192	-160.2693	-42.04993	0.407127	0.670188	0.0880807	0.0197075	0.0243943	0.393079	0.195327	0.0397052	0.678341	0.471356	0.0222919
260	-207.4646	-166.764	-40.70053	0.38574	0.280397	0.0796574	0.0251798	0.103839	0.559871	0.146088	0.0563638	0.42611	0.681067	0.0299114
270	-205.1699	-158.5723	-46.59756	0.340053	0.489277	0.111496	0.0122831	0.165044	0.712888	0.0881817	0.175649	0.647515	1.83466	0.0280399
280	-203.381	-158.9177	-44.46335	0.443941	0.723819	0.0177103	0.0102529	0.0604356	0.829433	0.124892	0.163124	1.37654	2.19913	0.0295288
290	-204.3167	-158.1896	-46.12713	0.377334	0.793388	0.0289274	0.0214826	0.0642529	0.830065	0.40591	0.0395738	2.14479	2.71095	0.051879
300	-203.7954	-159.9371	-43.85821	0.399542	0.748575	0.0296601	0.0119602	0.168279	0.749941	0.148873	0.0379203	1.79047	1.14383	0.451575
310	-205.7786	-157.5629	-48.21575	0.455925	0.755464	0.0396115	0.0216281	0.0144365	1.04759	0.165131	0.128121	1.01631	2.52386	0.355389
320	-204.1222	-159.0673	-45.05487	0.587651	0.807779	0.100327	0.0135244	0.0259434	1.18168	0.126799	0.0222065	1.7836	1.70699	0.675532
330	-203.1599	-159.9804	-43.17951	0.322864	0.798245	0.143203	0.0108945	0.0657728	1.21352	0.176076	0.0891598	1.11086	0.971957	0.561054
340	-210.2262	-162.9816	-47.24461	0.186412	1.13319	0.188843	0.0606332	0.0361696	1.22616	0.207273	0.0934372	1.85686	0.74582	0.352383
350	-207.2056	-160.7847	-46.42089	0.242329	0.980599	0.0515332	0.0256796	0.0287072	1.12861	0.179958	0.0727459	1.85246	0.239826	0.0968885
360	-213.171	-160.8919	-52.27915	0.162425	0.983467	0.0526153	0.00696044	0.0620868	1.14201	0.204611	0.0104462	1.06544	0.985457	0.198946
370	-214.9848	-168.6467	-46.33809	0.099264	1.19479	0.02286	0.0818594	0.0573813	1.17195	0.211477	0.0155541	0.657636	1.09134	0.340471
380	-207.5879	-161.5817	-46.00622	0.216265	1.18393	0.0624357	0.0230481	0.0510158	0.978932	0.165669	0.0224928	0.758556	0.716032	0.202522
390	-210.6214	-164.1884	-46.43298	0.332391	1.2454	0.290101	0.0219734	0.0512788	0.823744	0.154015	0.0519393	0.528148	1.30287	0.0167858
400	-212.3356	-161.7668	-50.56881	0.150062	0.883298	0.249158	0.0132777	0.0113494	0.445985	0.18535	0.00648322	0.760808	0.811854	0.0861566
410	-207.0893	-167.3255	-39.76379	0.157659	0.94404	0.145235	0.00516893	0.0149673	0.235619	0.413748	0.116506	0.654262	0.759129	0.0471238
420	-206.8804	-160.6322	-46.24813	0.0840953	1.11925	0.0396285	0.0353961	0.0362451	0.234624	0.758174	0.25873	0.270593	0.710057	0.178722
430	-211.5247	-166.1551	-45.36955	0.131825	0.897764	0.0251428	0.0229869	0.1442	0.283314	0.628964	0.18526	0.532478	0.745963	0.412804
440	-203.5697	-164.1173	-39.45238	0.0518539	1.03738	0.0441093	0.0434309	0.107767	0.535553	0.358623	0.398701	0.734914	1.03408	0.173136
450	-205.4911	-161.2716	-44.21944	0.18146	1.02371	0.0271658	0.00571781	0.124391	0.662732	0.198468	0.14584	0.956392	1.13535	0.397532
460	-205.8494	-158.5911	-47.2583	0.135412	0.779815	0.0523658	0.000926652	0.0390701	0.470242	0.136884	0.0574146	0.945966	0.924562	0.395499
470	-202.8211	-163.3326	-39.4885	0.131254	0.860237	0.138024	0.00563154	0.0315241	0.445625	0.237715	0.0606309	0.763602	0.743961	0.604865
480	-206.1391	-167.535	-38.60406	0.336115	0.79455	0.109143	0.0310991	0.00249627	0.360191	0.267796	0.115791	0.898661	1.22171	0.161228
490	-203.9993	-161.9363	-42.06308	0.308808	0.938506	0.0383196	0.0691592	0.0240268	0.407834	0.206423	0.165393	1.37344	1.48659	0.407387
500	-203.4457	-162.2118	-41.2339	0.336034	0.989064	0.068444	0.0457006	0.0169612	0.118413	0.297307	0.0812586	1.39443	0.614298	0.718284
510	-203.4066	-161.0777	-42.32882	0.404535	0.949924	0.350257	0.0476091	0.0577511	0.276271	0.133707	0.228639	1.25393	1.08884	0.238146
520	-211.0207	-166.9119	-44.10879	0.420906	0.70443	0.228526	0.0333112	0.0903208	0.226349	0.120778	0.113415	0.557531	1.02202	0.128596
530	-205.5453	-166.2611	-39.28421	0.302004	0.717098	0.118344	0.0156413	0.0308126	0.179377	0.208537	0.0995871	0.475555	0.136642	0.191475
