Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-190.5874	-165.5024	-25.08505	0.00160489	0.0029874	0.00702582	0.0407926	0.16678	0.175796	0.164988	0.629729	0.299106	0.104822	0.0936367
10	-207.8338	-168.2063	-39.6275	5.97489e-05	0.000623841	0.00571738	0.0153701	0.156148	0.0758068	0.0940217	0.504283	0.471303	0.0220049	0.0600289
20	-200.0999	-167.5622	-32.53771	0.000213973	0.00118846	0.00379751	0.0123161	0.108346	0.186062	0.147003	0.563983	0.164881	0.0732312	0.0517187
30	-197.0866	-167.6987	-29.38794	0.000479864	6.46713e-05	5.20774e-05	0.0011766	0.0532366	0.291901	0.100928	0.600913	0.268765	0.0944693	0.0716101
40	-192.4468	-167.4988	-24.94798	0.00231497	0.00134495	0.00505286	0.00725519	0.175697	0.146513	0.138421	0.663063	0.33004	0.0802589	0.143101
50	-201.5309	-167.4373	-34.09351	0.00461781	0.00202164	0.0190294	0.0551527	0.150492	0.274661	0.248966	0.485612	0.335223	0.00359941	0.0473802
60	-201.8523	-172.8606	-28.99168	0.0122562	0.00556729	0.0155663	0.0227654	0.27295	0.407434	0.547121	0.639985	0.267065	0.0525546	0.0154208
70	-209.1868	-169.2113	-39.97549	0.00430182	0.00811835	0.00669514	0.119519	0.492275	0.326739	0.51544	0.505367	0.128541	0.185673	0.055339
80	-210.4873	-164.92	-45.56735	0.00066844	0.0118338	0.0372797	0.0975692	0.795777	0.468018	0.595167	0.570823	0.256155	0.0479488	0.161082
90	-202.5105	-163.3628	-39.14764	0.00521231	0.00785334	0.0436787	0.239687	1.16758	0.422409	0.331231	0.562628	0.289969	0.140299	0.236189
100	-209.7327	-168.9078	-40.82483	0.0201229	0.131108	0.0885517	0.0755786	1.04876	0.524599	0.224651	0.457319	0.220729	0.116751	0.0811393
110	-215.0582	-168.5304	-46.52774	0.0267761	0.248595	0.0731046	0.157429	0.824378	0.530403	0.334912	0.471376	0.553196	0.141265	0.10049
120	-204.4822	-161.8674	-42.61478	0.00718218	0.0110675	0.068012	0.199708	0.661878	0.590557	0.496206	0.720985	0.395849	0.296454	0.128194
130	-207.0716	-163.7787	-43.29297	0.00389722	0.0141105	0.040792	0.173358	0.885792	0.566661	0.661237	0.970008	0.359447	0.0495653	0.104359
140	-205.7342	-164.3942	-41.34003	0.0157615	0.0105969	0.118814	0.389351	0.929222	0.724703	0.760842	0.90048	0.559913	0.241986	0.0710862
