state	power	likelihood
2510	1	-216.359
2520	1	-218.538
2530	1	-216.487
2540	1	-220.636
2550	1	-219.59
2560	1	-217.264
2570	1	-216.697
2580	1	-216.097
2590	1	-216.657
2600	1	-216.618
2610	1	-217.183
2620	1	-215.59
2630	1	-215.153
2640	1	-217.035
2650	1	-216.353
2660	1	-218.425
2670	1	-216.378
2680	1	-217.636
2690	1	-217.164
2700	1	-217.413
2710	1	-217.847
2720	1	-217.915
2730	1	-217.047
2740	1	-215.371
2750	1	-215.775
2760	1	-216.05
2770	1	-217.746
2780	1	-218.741
2790	1	-216.423
2800	1	-215.152
2810	1	-215.763
2820	1	-216.425
2830	1	-217.833
2840	1	-216.311
2850	1	-217.474
2860	1	-216.806
2870	1	-215.359
2880	1	-215.147
2890	1	-215.36
2900	1	-215.979
2910	1	-216.073
2920	1	-217.465
2930	1	-217.317
2940	1	-216.442
2950	1	-218.506
2960	1	-215.394
2970	1	-216.221
2980	1	-215.675
2990	1	-217.886
3000	1	-215.678
3010	1	-218.127
3020	1	-220.363
3030	1	-215.276
3040	1	-216.057
3050	1	-216.06
3060	1	-215.972
3070	1	-215.599
3080	1	-216.405
3090	1	-217.134
3100	1	-215.764
3110	1	-216.304
3120	1	-216.963
3130	1	-215.701
3140	1	-216.339
3150	1	-216.921
3160	1	-219.429
3170	1	-217.147
3180	1	-215.861
3190	1	-217.214
3200	1	-214.817
3210	1	-216.969
3220	1	-216.26
3230	1	-216.119
3240	1	-217.313
3250	1	-217.904
3260	1	-215.974
3270	1	-220.665
3280	1	-216.509
3290	1	-216.604
3300	1	-215.319
3310	1	-216.341
3320	1	-215.698
3330	1	-216.048
3340	1	-216.219
3350	1	-217.361
3360	1	-216.483
3370	1	-216.446
3380	1	-216.031
3390	1	-215.71
3400	1	-216.651
3410	1	-216.856
3420	1	-216.042
3430	1	-215.649
3440	1	-217.491
3450	1	-215.672
3460	1	-217.779
3470	1	-217.488
3480	1	-216.496
3490	1	-215.386
3500	1	-215.422
3510	1	-216.076
3520	1	-214.997
3530	1	-215.701
3540	1	-216.706
3550	1	-215.655
3560	1	-216.481
3570	1	-215.7
3580	1	-216.765
3590	1	-215.937
3600	1	-221.316
3610	1	-215.708
3620	1	-217.385
3630	1	-217.094
3640	1	-215.442
3650	1	-216.983
3660	1	-216.215
3670	1	-215.82
3680	1	-215.472
3690	1	-218.297
3700	1	-217.317
3710	1	-218.594
3720	1	-215.833
3730	1	-216.707
3740	1	-215.719
3750	1	-215.867
3760	1	-218.118
3770	1	-217.074
3780	1	-216.598
3790	1	-216.899
3800	1	-215.47
3810	1	-218.126
3820	1	-215.364
3830	1	-219.944
3840	1	-218.07
3850	1	-215.759
3860	1	-216.799
3870	1	-216.112
3880	1	-217.938
3890	1	-217.1
3900	1	-215.847
3910	1	-217.138
3920	1	-216.731
3930	1	-216.508
3940	1	-217.713
3950	1	-217.664
3960	1	-217.829
3970	1	-216.249
3980	1	-216.512
3990	1	-215.178
4000	1	-215.229
4010	1	-215.648
4020	1	-215.547
4030	1	-216.256
4040	1	-216.258
4050	1	-216.147
4060	1	-217.524
4070	1	-215.721
4080	1	-216.157
4090	1	-215.641
4100	1	-216.822
4110	1	-216.944
4120	1	-216.222
4130	1	-216.375
4140	1	-217.197
4150	1	-215.483
4160	1	-215.099
4170	1	-215.585
4180	1	-216.038
4190	1	-215.949
4200	1	-215.742
4210	1	-217.155
4220	1	-216.335
4230	1	-215.349
4240	1	-215.211
4250	1	-216.067
4260	1	-217.525
4270	1	-216.211
4280	1	-217.749
4290	1	-216.573
4300	1	-217.138
4310	1	-215.776
4320	1	-218.8
4330	1	-217.262
4340	1	-215.315
4350	1	-216.097
4360	1	-216.114
4370	1	-217.272
4380	1	-220.044
4390	1	-216.715
4400	1	-220.604
4410	1	-216.306
4420	1	-215.237
4430	1	-215.742
4440	1	-216.043
4450	1	-219.075
4460	1	-218.138
4470	1	-217.203
4480	1	-215.275
4490	1	-215.301
4500	1	-218.776
4510	1	-216.326
4520	1	-215.987
4530	1	-215.969
4540	1	-217.278
4550	1	-217.354
4560	1	-216.012
4570	1	-218.142
4580	1	-219.198
4590	1	-218.784
4600	1	-216.201
4610	1	-219.826
4620	1	-217.097
4630	1	-216.879
4640	1	-215.946
4650	1	-219.83
4660	1	-217.08
4670	1	-217.021
4680	1	-217.177
4690	1	-216.171
4700	1	-217.291
4710	1	-218.98
4720	1	-216.854
4730	1	-216.425
4740	1	-217.338
4750	1	-216.187
4760	1	-216.939
4770	1	-216.045
4780	1	-216.253
4790	1	-216.089
4800	1	-215.685
4810	1	-216.433
4820	1	-218.549
4830	1	-220.26
4840	1	-215.421
4850	1	-215.799
4860	1	-218.303
4870	1	-215.411
4880	1	-216.477
4890	1	-215.157
4900	1	-216.127
4910	1	-216.711
4920	1	-216.069
4930	1	-217.642
4940	1	-216.237
4950	1	-218.159
4960	1	-216.021
4970	1	-216.823
4980	1	-215.582
4990	1	-215.925
5000	1	-216.568
5010	1	-216.327
5020	1	-217.975
5030	1	-216.154
5040	1	-216.024
5050	1	-217.558
5060	1	-215.651
5070	1	-217.002
5080	1	-215.877
5090	1	-216.85
5100	1	-216.605
5110	1	-217.071
5120	1	-221.227
5130	1	-216.522
5140	1	-215.589
5150	1	-218.642
5160	1	-215.555
5170	1	-217.601
5180	1	-216.886
5190	1	-217.751
5200	1	-216.463
5210	1	-217.519
5220	1	-215.74
5230	1	-216.88
5240	1	-215.936
5250	1	-215.921
5260	1	-220.957
5270	1	-216.358
5280	1	-217.346
5290	1	-217.706
5300	1	-218.415
5310	1	-216.026
5320	1	-214.949
5330	1	-217.421
5340	1	-215.29
5350	1	-216.179
5360	1	-216.725
5370	1	-217.304
5380	1	-216.9
5390	1	-217.896
5400	1	-217.665
5410	1	-215.465
5420	1	-215.734
5430	1	-215.868
5440	1	-215.903
5450	1	-215.176
5460	1	-216.711
5470	1	-215.306
5480	1	-215.551
5490	1	-216.535
5500	1	-218.418
5510	1	-216.074
5520	1	-216.938
5530	1	-215.517
5540	1	-215.93
5550	1	-216.01
5560	1	-216.478
5570	1	-215.999
5580	1	-216.091
5590	1	-216.677
5600	1	-217.183
5610	1	-215.715
5620	1	-216.191
5630	1	-218.027
5640	1	-215.415
5650	1	-216.293
5660	1	-215.274
5670	1	-216.678
5680	1	-216.903
5690	1	-215.358
5700	1	-218.639
5710	1	-215.517
5720	1	-215.584
