state	power	likelihood
2510	0.443705	-216.155
2520	0.443705	-219.834
2530	0.443705	-218.184
2540	0.443705	-218.163
2550	0.443705	-218.036
2560	0.443705	-218.117
2570	0.443705	-218.216
2580	0.443705	-217.941
2590	0.443705	-218.835
2600	0.443705	-220.909
2610	0.443705	-218.92
2620	0.443705	-216.962
2630	0.443705	-221.415
2640	0.443705	-215.991
2650	0.443705	-220.186
2660	0.443705	-218.41
2670	0.443705	-217.125
2680	0.443705	-218.185
2690	0.443705	-217.779
2700	0.443705	-216.389
2710	0.443705	-217.957
2720	0.443705	-217.503
2730	0.443705	-219.508
2740	0.443705	-217.084
2750	0.443705	-216.992
2760	0.443705	-221.702
2770	0.443705	-216.748
2780	0.443705	-216.532
2790	0.443705	-218.072
2800	0.443705	-216.433
2810	0.443705	-220.784
2820	0.443705	-219.204
2830	0.443705	-217.046
2840	0.443705	-215.875
2850	0.443705	-219.506
2860	0.443705	-221.867
2870	0.443705	-219.183
2880	0.443705	-222.285
2890	0.443705	-222.084
2900	0.443705	-224.929
2910	0.443705	-217.17
2920	0.443705	-222.531
2930	0.443705	-221.26
2940	0.443705	-218.882
2950	0.443705	-216.24
2960	0.443705	-216.837
2970	0.443705	-218.771
2980	0.443705	-217.829
2990	0.443705	-217.326
3000	0.443705	-216.277
3010	0.443705	-216.172
3020	0.443705	-215.417
3030	0.443705	-216.946
3040	0.443705	-216.436
3050	0.443705	-216.458
3060	0.443705	-215.061
3070	0.443705	-218.852
3080	0.443705	-215.51
3090	0.443705	-220.003
3100	0.443705	-215.938
3110	0.443705	-219.693
3120	0.443705	-216.548
3130	0.443705	-216.365
3140	0.443705	-216.783
3150	0.443705	-215.712
3160	0.443705	-220.283
3170	0.443705	-218.194
3180	0.443705	-217.575
3190	0.443705	-217.306
3200	0.443705	-222.873
3210	0.443705	-216.338
3220	0.443705	-216.382
3230	0.443705	-218.144
3240	0.443705	-217.116
3250	0.443705	-216.053
3260	0.443705	-218.856
3270	0.443705	-219.234
3280	0.443705	-220.552
3290	0.443705	-222.256
3300	0.443705	-218.728
3310	0.443705	-215.626
3320	0.443705	-218.866
3330	0.443705	-218.517
3340	0.443705	-217.223
3350	0.443705	-218.79
3360	0.443705	-220.609
3370	0.443705	-216.638
3380	0.443705	-218.161
3390	0.443705	-217.873
3400	0.443705	-220.376
3410	0.443705	-220.447
3420	0.443705	-226.99
3430	0.443705	-219.543
3440	0.443705	-222.485
3450	0.443705	-217.474
3460	0.443705	-220.381
3470	0.443705	-220.008
3480	0.443705	-221.767
3490	0.443705	-218.859
3500	0.443705	-229.346
3510	0.443705	-215.492
3520	0.443705	-218.942
3530	0.443705	-217.695
3540	0.443705	-218.263
3550	0.443705	-222.108
3560	0.443705	-219.482
3570	0.443705	-218.725
3580	0.443705	-217.808
3590	0.443705	-216.24
3600	0.443705	-215.054
3610	0.443705	-215.117
3620	0.443705	-223.181
3630	0.443705	-219.137
3640	0.443705	-217.496
3650	0.443705	-221.526
3660	0.443705	-216.447
3670	0.443705	-217.258
3680	0.443705	-220.142
3690	0.443705	-216.493
3700	0.443705	-221.44
3710	0.443705	-220.812
3720	0.443705	-217.989
3730	0.443705	-219.849
3740	0.443705	-216.588
3750	0.443705	-216.016
