state	power	likelihood
2510	0.393904	-216.768
2520	0.393904	-217.332
2530	0.393904	-217.18
2540	0.393904	-218.401
2550	0.393904	-220.688
2560	0.393904	-217.069
2570	0.393904	-227.911
2580	0.393904	-219.844
2590	0.393904	-228.434
2600	0.393904	-219.418
2610	0.393904	-219.641
2620	0.393904	-225.057
2630	0.393904	-217.57
2640	0.393904	-217.42
2650	0.393904	-216.748
2660	0.393904	-218.225
2670	0.393904	-215.874
2680	0.393904	-215.021
2690	0.393904	-217.825
2700	0.393904	-220.294
2710	0.393904	-215.625
2720	0.393904	-232.389
2730	0.393904	-222.823
2740	0.393904	-224.031
2750	0.393904	-218.294
2760	0.393904	-222.574
2770	0.393904	-215.811
2780	0.393904	-220.271
2790	0.393904	-220.283
2800	0.393904	-226.851
2810	0.393904	-217.291
2820	0.393904	-215.884
2830	0.393904	-214.99
2840	0.393904	-220.188
2850	0.393904	-218.873
2860	0.393904	-217.121
2870	0.393904	-221.559
2880	0.393904	-218.854
2890	0.393904	-218.437
2900	0.393904	-219.975
2910	0.393904	-220.647
2920	0.393904	-217.602
2930	0.393904	-217.47
2940	0.393904	-218.125
2950	0.393904	-215.611
2960	0.393904	-216.431
2970	0.393904	-227.329
2980	0.393904	-219.04
2990	0.393904	-217.541
3000	0.393904	-219.86
3010	0.393904	-217.113
3020	0.393904	-218.084
3030	0.393904	-217.646
3040	0.393904	-217.56
3050	0.393904	-222.908
3060	0.393904	-215.586
3070	0.393904	-219.746
3080	0.393904	-216.522
3090	0.393904	-218.772
3100	0.393904	-218.031
3110	0.393904	-221.231
3120	0.393904	-216.152
3130	0.393904	-220.62
3140	0.393904	-216.248
3150	0.393904	-215.49
3160	0.393904	-217.993
3170	0.393904	-215.415
3180	0.393904	-216.751
3190	0.393904	-215.745
3200	0.393904	-224.187
3210	0.393904	-215.521
3220	0.393904	-216.242
3230	0.393904	-219.968
3240	0.393904	-217.727
3250	0.393904	-216.701
3260	0.393904	-216.787
3270	0.393904	-220.247
3280	0.393904	-219.023
3290	0.393904	-217.183
3300	0.393904	-218.277
3310	0.393904	-215.886
3320	0.393904	-217.597
3330	0.393904	-216.197
3340	0.393904	-218.999
3350	0.393904	-221.675
3360	0.393904	-221.031
3370	0.393904	-217.505
3380	0.393904	-219.268
3390	0.393904	-218.98
3400	0.393904	-227.954
3410	0.393904	-216.589
3420	0.393904	-217.582
3430	0.393904	-217.735
3440	0.393904	-217.978
3450	0.393904	-221.055
3460	0.393904	-216.413
3470	0.393904	-218.471
3480	0.393904	-216.739
3490	0.393904	-220.958
3500	0.393904	-216.561
3510	0.393904	-216.361
3520	0.393904	-219.509
3530	0.393904	-218.506
3540	0.393904	-216.826
3550	0.393904	-219.83
3560	0.393904	-222.257
3570	0.393904	-222.556
3580	0.393904	-217.246
3590	0.393904	-220.354
3600	0.393904	-225.145
3610	0.393904	-215.786
3620	0.393904	-221.981
3630	0.393904	-217.229
3640	0.393904	-216.681
3650	0.393904	-222.245
3660	0.393904	-221.117
3670	0.393904	-220.086
3680	0.393904	-222.346
3690	0.393904	-218.175
3700	0.393904	-217.659
3710	0.393904	-216.343
3720	0.393904	-216.53
3730	0.393904	-217.663
3740	0.393904	-217.268
3750	0.393904	-217.054
3760	0.393904	-220.297
3770	0.393904	-217.14
3780	0.393904	-216.468
3790	0.393904	-216.902
3800	0.393904	-226.496
3810	0.393904	-220.86
3820	0.393904	-217.209
3830	0.393904	-220.646
3840	0.393904	-228.441
3850	0.393904	-217.112
3860	0.393904	-216.416
3870	0.393904	-217.173
3880	0.393904	-216.608
3890	0.393904	-221.737
3900	0.393904	-219.997
3910	0.393904	-216.945
3920	0.393904	-220.797
3930	0.393904	-216.632
3940	0.393904	-217.144
3950	0.393904	-229.158
3960	0.393904	-217.21
3970	0.393904	-218.618
3980	0.393904	-217.273
3990	0.393904	-218.933
4000	0.393904	-220.418
4010	0.393904	-218.492
4020	0.393904	-221.996
4030	0.393904	-222.492
4040	0.393904	-219.999
4050	0.393904	-216.786
4060	0.393904	-218.78
4070	0.393904	-216.846
4080	0.393904	-217.581
4090	0.393904	-216.381
4100	0.393904	-220.694
4110	0.393904	-219.632
4120	0.393904	-216.768
4130	0.393904	-217.608
4140	0.393904	-219.064
4150	0.393904	-219.522
4160	0.393904	-215.366
4170	0.393904	-216.454
4180	0.393904	-222.52
4190	0.393904	-220.496
4200	0.393904	-218.592
4210	0.393904	-218.465
4220	0.393904	-218.413
4230	0.393904	-215.64
4240	0.393904	-224.347
4250	0.393904	-218.67
4260	0.393904	-219.673
4270	0.393904	-218.584
4280	0.393904	-220.25
4290	0.393904	-215.763
4300	0.393904	-217.091
4310	0.393904	-218.551
4320	0.393904	-218.704
4330	0.393904	-219.826
4340	0.393904	-217.625
4350	0.393904	-219.098
4360	0.393904	-215.705
4370	0.393904	-217.532
4380	0.393904	-217.749
4390	0.393904	-219.09
4400	0.393904	-217.74
4410	0.393904	-216.797
4420	0.393904	-219.039
4430	0.393904	-218.74
4440	0.393904	-215.637
4450	0.393904	-214.973
4460	0.393904	-228.12
4470	0.393904	-216.55
4480	0.393904	-219.259
4490	0.393904	-218.541
