Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	2.406114	0	2.406114	0.04671504
1	1	3.218237	0	3.218237	0.02646392
2	0	2.717864	0	2.717864	0.04006479
3	1	2.978808	0	2.978808	0.01359611
4	0	3.271588	0	3.271588	0.02332587
5	1	3.247103	0	3.247103	0.01840725
6	0	2.669974	0	2.669974	0.04111828
7	1	3.137831	0	3.137831	0.02942099
8	0	3.187512	0	3.187512	0.01664553
9	1	3.276385	0	3.276385	0.02023417
10	0	2.462167	0	2.462167	0.04554818
11	1	1.917958	0	1.917958	0.05664843
12	0	3.279192	0	3.279192	0.02234948
13	1	2.509359	0	2.509359	0.04455814
14	0	3.107543	0	3.107543	0.03036564
15	1	3.22816	0	3.22816	0.02601568
16	0	1.179886	0	1.179886	0.0716014
17	1	1.924271	0	1.924271	0.05652122
18	0	3.195371	0	3.195371	0.02740251
19	1	3.280903	0	3.280903	0.02103964
20	0	3.059967	0	3.059967	0.01452435
21	1	1.704662	0	1.704662	0.06094544
22	0	3.260568	0	3.260568	0.01904149
23	1	3.254236	0	3.254236	0.01872098
24	0	3.25357	0	3.25357	0.01868981
25	1	3.244509	0	3.244509	0.02519426
26	0	3.02476	0	3.02476	0.01409615
27	1	3.239733	0	3.239733	0.02544746
28	0	-2.802635	0	-2.802635	0.1666468
29	1	3.276587	0	3.276587	0.02276213
30	0	2.779912	0	2.779912	0.03867407
31	1	1.265341	0	1.265341	0.06985185
32	0	2.724601	0	2.724601	0.03991529
33	1	3.263754	0	3.263754	0.02398705
34	0	3.012424	0	3.012424	0.03304093
35	1	3.278945	0	3.278945	0.02058947
36	0	3.255662	0	3.255662	0.01878913
37	1	2.80566	0	2.80566	0.03808689
38	0	3.141919	0	3.141919	0.015744
39	1	2.960056	0	2.960056	0.03439173
40	0	2.928771	0	2.928771	0.01311101
41	1	3.280799	0	3.280799	0.02100405
42	0	3.045734	0	3.045734	0.03214299
43	1	3.069001	0	3.069001	0.03149329
44	0	3.125695	0	3.125695	0.02980683
45	1	3.205993	0	3.205993	0.0269803
46	0	3.263228	0	3.263228	0.02402611
47	1	3.140911	0	3.140911	0.02932131
48	0	2.983372	0	2.983372	0.0337984
49	1	2.961609	0	2.961609	0.03435259
50	0	2.705133	0	2.705133	0.011429
51	1	2.048867	0	2.048867	0.05400761
52	0	3.254913	0	3.254913	0.01875309
53	1	2.457663	0	2.457663	0.04564228
54	0	2.50651	0	2.50651	0.04461811
55	1	3.281475	0	3.281475	0.0213731
56	0	1.823283	0	1.823283	0.05855553
57	1	2.99408	0	2.99408	0.03352173
58	0	2.565016	0	2.565016	0.04337983
59	1	1.437045	0	1.437045	0.006949185
60	0	3.191175	0	3.191175	0.01672917
61	1	2.734881	0	2.734881	0.01161904
62	0	1.553387	0	1.553387	0.0639992
63	1	2.866058	0	2.866058	0.03668138
64	0	3.249553	0	3.249553	0.02491139
65	1	0.1510763	0	0.1510763	0.09337429
66	0	2.221349	0	2.221349	0.05050976
67	1	3.280906	0	3.280906	0.02104072
68	0	3.188009	0	3.188009	0.01665676
69	1	3.201488	0	3.201488	0.02716196
70	0	3.126931	0	3.126931	0.02976798
71	1	3.082063	0	3.082063	0.031119
72	0	3.273592	0	3.273592	0.02312082
73	1	3.107969	0	3.107969	0.03035274
74	0	3.115899	0	3.115899	0.03011092
75	1	2.67205	0	2.67205	0.04107294
76	0	2.832796	0	2.832796	0.03746064
77	1	1.362525	0	1.362525	0.06787019
78	0	3.176186	0	3.176186	0.02811835
79	1	3.244469	0	3.244469	0.02519639
80	0	2.907803	0	2.907803	0.01292289
81	1	2.653588	0	2.653588	0.04147532
82	0	3.117945	0	3.117945	0.01534613
83	1	3.02782	0	3.02782	0.03263019
84	0	2.954428	0	2.954428	0.01335291
85	1	3.183071	0	3.183071	0.02786752
86	0	3.03553	0	3.03553	0.0142225
87	1	2.915608	0	2.915608	0.03549263
88	0	1.194527	0	1.194527	0.07130115
89	1	2.94849	0	2.94849	0.03468179
90	0	2.945801	0	2.945801	0.03474885
91	1	2.118559	0	2.118559	0.05259773
92	0	2.609569	0	2.609569	0.04242683
93	1	2.699354	0	2.699354	0.04047384
94	0	3.175155	0	3.175155	0.01637766
95	1	0.7078604	0	0.7078604	0.08141111
96	0	3.106341	0	3.106341	0.03040195
97	1	2.809102	0	2.809102	0.03800789
98	0	0.8979681	0	0.8979681	0.07742788
99	1	2.297837	0	2.297837	0.04894677
100	0	3.281192	0	3.281192	0.02179268
101	1	1.975648	0	1.975648	0.05548552
102	0	2.741339	0	2.741339	0.03954234
103	1	3.277239	0	3.277239	0.02033934
104	0	3.259031	0	3.259031	0.01895917
105	1	3.27654	0	3.27654	0.02276843
106	0	2.419308	0	2.419308	0.04644118
107	1	3.271415	0	3.271415	0.01975434
108	0	2.285277	0	2.285277	0.04920409
109	1	2.447803	0	2.447803	0.04584808
110	0	3.28055	0	3.28055	0.02203271
111	1	1.403238	0	1.403238	0.06704232
112	0	2.085011	0	2.085011	0.05327687
113	1	0.6147012	0	0.6147012	0.08338073
114	0	3.17104	0	3.17104	0.02830192
115	1	2.738226	0	2.738226	0.03961188
116	0	3.119904	0	3.119904	0.02998734
117	1	2.752939	0	2.752939	0.03928258
118	0	2.547376	0	2.547376	0.04375464
119	1	3.168646	0	3.168646	0.01624444
120	0	0.9976401	0	0.9976401	0.07535763
121	1	3.246806	0	3.246806	0.01839503
122	0	2.764315	0	2.764315	0.0390267
123	1	2.374807	0	2.374807	0.04736306
124	0	2.781074	0	2.781074	0.0386477
125	1	1.596607	0	1.596607	0.06312571
126	0	1.44681	0	1.44681	0.06615771
127	1	1.662433	0	1.662433	0.06179701
128	0	2.347221	0	2.347221	0.04793211
129	1	3.165958	0	3.165958	0.02848019
130	0	3.281497	0	3.281497	0.02153091
131	1	3.051249	0	3.051249	0.01441411
132	0	1.717096	0	1.717096	0.00759734
133	1	2.38783	0	2.38783	0.009791499
134	0	3.23612	0	3.23612	0.02563111
135	1	2.937832	0	2.937832	0.03494676
136	0	3.265614	0	3.265614	0.02384452
