Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.218237	0	3.218237	0.02646392
10	2.978808	0	2.978808	0.01359611
20	3.247103	0	3.247103	0.01840725
30	3.137831	0	3.137831	0.02942099
40	3.276385	0	3.276385	0.02023417
50	1.917958	0	1.917958	0.05664843
60	2.509359	0	2.509359	0.04455814
70	3.22816	0	3.22816	0.02601568
80	1.924271	0	1.924271	0.05652122
90	3.280903	0	3.280903	0.02103964
100	1.704662	0	1.704662	0.06094544
110	3.254236	0	3.254236	0.01872098
120	3.244509	0	3.244509	0.02519426
130	3.239733	0	3.239733	0.02544746
140	3.276587	0	3.276587	0.02276213
150	1.265341	0	1.265341	0.06985185
160	3.263754	0	3.263754	0.02398705
170	3.278945	0	3.278945	0.02058947
180	2.80566	0	2.80566	0.03808689
190	2.960056	0	2.960056	0.03439173
200	3.280799	0	3.280799	0.02100405
210	3.069001	0	3.069001	0.03149329
220	3.205993	0	3.205993	0.0269803
230	3.140911	0	3.140911	0.02932131
240	2.961609	0	2.961609	0.03435259
250	2.048867	0	2.048867	0.05400761
260	2.457663	0	2.457663	0.04564228
270	3.281475	0	3.281475	0.0213731
280	2.99408	0	2.99408	0.03352173
290	1.437045	0	1.437045	0.006949185
300	2.734881	0	2.734881	0.01161904
310	2.866058	0	2.866058	0.03668138
320	0.1510763	0	0.1510763	0.09337429
330	3.280906	0	3.280906	0.02104072
340	3.201488	0	3.201488	0.02716196
350	3.082063	0	3.082063	0.031119
360	3.107969	0	3.107969	0.03035274
370	2.67205	0	2.67205	0.04107294
380	1.362525	0	1.362525	0.06787019
390	3.244469	0	3.244469	0.02519639
400	2.653588	0	2.653588	0.04147532
410	3.02782	0	3.02782	0.03263019
420	3.183071	0	3.183071	0.02786752
430	2.915608	0	2.915608	0.03549263
440	2.94849	0	2.94849	0.03468179
450	2.118559	0	2.118559	0.05259773
460	2.699354	0	2.699354	0.04047384
470	0.7078604	0	0.7078604	0.08141111
480	2.809102	0	2.809102	0.03800789
490	2.297837	0	2.297837	0.04894677
500	1.975648	0	1.975648	0.05548552
510	3.277239	0	3.277239	0.02033934
520	3.27654	0	3.27654	0.02276843
530	3.271415	0	3.271415	0.01975434
540	2.447803	0	2.447803	0.04584808
550	1.403238	0	1.403238	0.06704232
560	0.6147012	0	0.6147012	0.08338073
570	2.738226	0	2.738226	0.03961188
580	2.752939	0	2.752939	0.03928258
590	3.168646	0	3.168646	0.01624444
600	3.246806	0	3.246806	0.01839503
610	2.374807	0	2.374807	0.04736306
620	1.596607	0	1.596607	0.06312571
630	1.662433	0	1.662433	0.06179701
640	3.165958	0	3.165958	0.02848019
650	3.051249	0	3.051249	0.01441411
660	2.38783	0	2.38783	0.009791499
670	2.937832	0	2.937832	0.03494676
680	3.231417	0	3.231417	0.02586133
690	3.157215	0	3.157215	0.01602192
700	1.782718	0	1.782718	0.05937258
710	2.904035	0	2.904035	0.03577358
720	3.265468	0	3.265468	0.0193293
730	2.867425	0	2.867425	0.03664904
740	3.009749	0	3.009749	0.01392621
750	2.014896	0	2.014896	0.05469365
760	3.262809	0	3.262809	0.01916788
770	2.234914	0	2.234914	0.05023322
780	3.27963	0	3.27963	0.02226068
790	3.223639	0	3.223639	0.01758405
800	2.024527	0	2.024527	0.008461018
810	3.219382	0	3.219382	0.0264137
820	-2.244933	0	-2.244933	0.151367
830	2.461282	0	2.461282	0.04556667
840	3.252096	0	3.252096	0.02476157
850	3.028094	0	3.028094	0.03262283
860	1.000879	0	1.000879	0.07529056
870	2.585573	0	2.585573	0.04294129
880	0.8790037	0	0.8790037	0.07782315
890	3.277824	0	3.277824	0.02041791
900	3.270787	0	3.270787	0.01970391
910	3.225075	0	3.225075	0.02615837
920	3.145611	0	3.145611	0.0158092
930	3.262114	0	3.262114	0.0191278
940	3.280256	0	3.280256	0.02085176
950	3.182435	0	3.182435	0.01653294
960	1.42664	0	1.42664	0.06656703
970	3.005958	0	3.005958	0.01388435
980	2.379862	0	2.379862	0.04725858
990	3.175484	0	3.175484	0.01638452
1000	2.178673	0	2.178673	0.05137811
1010	2.922978	0	2.922978	0.03531255
1020	2.348518	0	2.348518	0.0479054
1030	1.902747	0	1.902747	0.05695492
1040	2.798366	0	2.798366	0.03825388
1050	3.196125	0	3.196125	0.02737323
1060	3.248345	0	3.248345	0.01845898
1070	1.488947	0	1.488947	0.06530346
1080	2.572464	0	2.572464	0.01066882
1090	0.8950595	0	0.8950595	0.07748847
1100	2.877297	0	2.877297	0.03641485
1110	3.260234	0	3.260234	0.02423969
1120	3.110942	0	3.110942	0.0152373
1130	0.7581668	0	0.7581668	0.08035246
1140	3.228172	0	3.228172	0.01772505
1150	3.10366	0	3.10366	0.01512727
1160	2.513849	0	2.513849	0.01037072
1170	3.274567	0	3.274567	0.02301242
1180	2.38226	0	2.38226	0.04720901
1190	3.273378	0	3.273378	0.02314382
1200	3.123336	0	3.123336	0.01543205
1210	3.235546	0	3.235546	0.02565972
1220	3.115627	0	3.115627	0.03011927
1230	3.243477	0	3.243477	0.02525007
1240	3.179244	0	3.179244	0.01646401
1250	3.140833	0	3.140833	0.02932385
1260	2.869312	0	2.869312	0.03660437
1270	2.583144	0	2.583144	0.01072539
1280	2.629792	0	2.629792	0.04199102
1290	-0.1128301	0	-0.1128301	0.09921773
1300	0.2844222	0	0.2844222	0.09046575
1310	2.634522	0	2.634522	0.04188878
1320	1.776427	0	1.776427	0.05949931
1330	3.245316	0	3.245316	0.02515015
1340	0.7421176	0	0.7421176	0.08068983
1350	2.926199	0	2.926199	0.03523357
1360	3.057231	0	3.057231	0.03182451
1370	2.434445	0	2.434445	0.04612642
1380	3.071557	0	3.071557	0.03142065
1390	3.084228	0	3.084228	0.01484787
1400	0.8843089	0	0.8843089	0.07771253
1410	-1.671442	0	-1.671442	0.1364018
1420	2.484727	0	2.484727	0.04507583
1430	2.62426	0	2.62426	0.04211045
1440	1.981853	0	1.981853	0.05536038
1450	0.8640921	0	0.8640921	0.07813426
1460	3.109368	0	3.109368	0.03031034
1470	-0.3472002	0	-0.3472002	0.104509
1480	2.544531	0	2.544531	0.04381497
1490	3.281277	0	3.281277	0.02174602
1500	2.557076	0	2.557076	0.01058858
1510	2.195353	0	2.195353	0.05103898
1520	3.278976	0	3.278976	0.02059464
1530	3.256492	0	3.256492	0.01882977
1540	3.266365	0	3.266365	0.02378487
1550	1.990399	0	1.990399	0.05518799
1560	0.7686226	0	0.7686226	0.08013285
1570	3.167356	0	3.167356	0.01621862
1580	3.280492	0	3.280492	0.02091281
1590	2.648743	0	2.648743	0.04158058
1600	-0.01568894	0	-0.01568894	0.09705303
1610	2.827265	0	2.827265	0.01226741
1620	3.177748	0	3.177748	0.01643217
1630	2.722393	0	2.722393	0.03996432
1640	3.019854	0	3.019854	0.01403985
1650	2.976774	0	2.976774	0.03396753
1660	2.474035	0	2.474035	0.01017925
1670	-0.255687	0	-0.255687	0.004501742
1680	2.823811	0	2.823811	0.03766889
1690	3.271441	0	3.271441	0.01975649
1700	3.271471	0	3.271471	0.02333726
1710	3.192966	0	3.192966	0.02749529
1720	1.926639	0	1.926639	0.0564735
1730	1.913413	0	1.913413	0.008126875
1740	2.983992	0	2.983992	0.03378246
1750	1.028101	0	1.028101	0.006170693
1760	2.886486	0	2.886486	0.03619565
1770	3.019474	0	3.019474	0.01403552
1780	2.950732	0	2.950732	0.03462578
1790	3.246717	0	3.246717	0.01839138
1800	2.678707	0	2.678707	0.01126678
1810	2.603927	0	2.603927	0.04254805
1820	3.229486	0	3.229486	0.02595332
1830	3.20203	0	3.20203	0.01699018
1840	2.768581	0	2.768581	0.03893048
1850	2.97511	0	2.97511	0.01355832
1860	3.175551	0	3.175551	0.02814117
1870	2.78699	0	2.78699	0.03851329
1880	3.131813	0	3.131813	0.02961364
1890	2.910212	0	2.910212	0.0129441
1900	3.103769	0	3.103769	0.01512889
1910	2.083946	0	2.083946	0.05329841
1920	2.333522	0	2.333522	0.04821407
1930	3.032071	0	3.032071	0.01418151
1940	2.040134	0	2.040134	0.05418403
1950	1.804332	0	1.804332	0.05893723
1960	2.745244	0	2.745244	0.03945503
1970	2.755036	0	2.755036	0.0117526
1980	3.25584	0	3.25584	0.02453048
1990	2.600211	0	2.600211	0.04262781
2000	3.28107	0	3.28107	0.02110383
2010	3.157	0	3.157	0.02878776
2020	3.162023	0	3.162023	0.01611384
2030	2.716571	0	2.716571	0.04009344
2040	3.207738	0	3.207738	0.02690885
2050	3.214588	0	3.214588	0.02662162
2060	3.248909	0	3.248909	0.02494852
2070	3.230672	0	3.230672	0.02589697
2080	2.14872	0	2.14872	0.05198628
