Iteration	Posterior	Likelihood	Prior	birth_rate
0	-211.9716	-215.0682	3.096594	0.01502338
10	-211.841	-215.1209	3.279821	0.02075362
20	-213.8342	-217.0827	3.248451	0.0249747
30	-213.0082	-216.2774	3.269237	0.0235434
40	-211.4433	-214.6484	3.205041	0.01706644
50	-211.6636	-214.8149	3.151338	0.01591265
60	-211.4467	-214.6506	3.203866	0.01703647
70	-213.0664	-216.3344	3.267968	0.023653
80	-211.537	-214.7157	3.17863	0.0164509
90	-211.421	-214.6717	3.250719	0.01856107
100	-212.9903	-215.9364	2.946162	0.01327349
110	-211.561	-214.734	3.173016	0.01633332
120	-211.4674	-214.6646	3.19718	0.01687098
130	-212.0306	-215.1176	3.087009	0.01488666
140	-211.5388	-214.717	3.178205	0.01644185
150	-212.4097	-215.4385	3.028878	0.01414402
160	-211.7817	-215.0604	3.278703	0.02054947
170	-211.7981	-215.0772	3.27905	0.02060733
180	-211.8916	-215.1721	3.280511	0.02091801
190	-211.5931	-214.8648	3.271674	0.01977566
200	-211.4443	-214.7006	3.256305	0.01882055
210	-212.2444	-215.5253	3.280941	0.02190244
220	-211.4071	-214.6524	3.24536	0.01833643
230	-211.571	-214.8413	3.270289	0.01966506
240	-211.4568	-214.6573	3.20049	0.01695186
250	-211.4125	-214.6307	3.218245	0.01742468
260	-211.7103	-214.8526	3.142295	0.0157506
270	-211.397	-214.6325	3.235482	0.01796832
280	-211.4222	-214.6356	3.213428	0.01728911
290	-211.6638	-214.939	3.275125	0.02009484
300	-211.3983	-214.628	3.22963	0.0177719
310	-212.8577	-215.8223	2.964624	0.01345295
320	-212.9186	-215.8747	2.956125	0.0133694
330	-211.6924	-214.8381	3.145712	0.015811
340	-213.0884	-216.3559	3.267478	0.02369404
350	-211.4547	-214.7128	3.258181	0.01891497
360	-211.4404	-214.6465	3.206101	0.01709373
370	-211.401	-214.6425	3.241477	0.01818546
380	-211.4276	-214.6802	3.252574	0.01864401
390	-211.6116	-214.8843	3.272704	0.01986351
400	-211.4212	-214.6351	3.213883	0.01730168
410	-211.45	-214.7074	3.257368	0.01887354
420	-211.505	-214.6916	3.186657	0.0166263
430	-212.8011	-215.7737	2.97257	0.01353256
440	-212.0732	-215.1534	3.080201	0.01479234
450	-211.5633	-214.7358	3.17249	0.01632249
460	-212.4119	-215.6913	3.27942	0.02230421
470	-211.6735	-214.8229	3.149383	0.015877
480	-211.6316	-214.9053	3.273713	0.01995514
490	-211.4064	-214.6284	3.221937	0.01753282
500	-211.929	-215.2099	3.28089	0.02103492
510	-211.4535	-214.6551	3.201573	0.01697876
520	-211.44	-214.6955	3.255442	0.01877847
530	-213.5765	-216.8319	3.255485	0.02455298
540	-211.5857	-214.7532	3.167503	0.01622155
550	-211.4953	-214.7591	3.263759	0.01922399
560	-211.4216	-214.6353	3.213687	0.01729626
570	-212.0316	-215.313	3.281448	0.02133739
580	-211.4018	-214.6439	3.24211	0.01820947
590	-211.5217	-214.7041	3.182379	0.01653171
600	-211.4554	-214.6563	3.200968	0.01696371
610	-211.6012	-214.7653	3.164162	0.0161555
620	-211.5469	-214.8155	3.268562	0.019537
