Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-214.9364	-221.2078	6.271458	0.03192368	0.01278714	0.01913654	0.01278714
10	-247.8207	-252.8753	5.054574	0.06903518	0.01941335	0.04962183	0.01941335
20	-217.6424	-223.9414	6.299073	0.03631254	0.009580379	0.02673217	0.009580379
30	-252.3876	-256.654	4.266417	0.1000522	0.05918321	0.04086899	0.05918321
40	-226.1645	-230.8398	4.675327	0.05332663	0.04232539	0.01100123	0.04232539
50	-216.4127	-222.0984	5.685772	0.03113785	0.0185635	0.01257435	0.0185635
60	-230.5809	-235.036	4.455107	0.06623939	0.0545167	0.01172269	0.0545167
70	-270.9399	-274.9035	3.963624	0.07265679	0.002664232	0.06999256	0.002664232
80	-236.7286	-241.7438	5.015213	0.07758434	0.05034819	0.02723616	0.05034819
90	-283.0985	-287.094	3.995434	0.08865724	0.01351717	0.07514007	0.01351717
100	-216.5765	-222.3497	5.77318	0.03232705	0.01887367	0.01345338	0.01887367
110	-248.9004	-254.03	5.129606	0.06188499	0.007376789	0.0545082	0.007376789
120	-215.8802	-222.0587	6.178533	0.03259612	0.00447051	0.02812561	0.00447051
130	-235.8638	-238.1124	2.248555	0.07498156	0.06902222	0.005959339	0.06902222
140	-251.2395	-255.2895	4.050023	0.1170879	0.08513732	0.03195058	0.08513732
150	-228.4383	-234.3351	5.896843	0.04720806	0.009015594	0.03819247	0.009015594
160	-254.1436	-257.6159	3.472258	0.1517886	0.1301044	0.02168419	0.1301044
170	-220.7947	-226.7087	5.91399	0.04356802	0.02367836	0.01988966	0.02367836
180	-238.3485	-243.2045	4.855974	0.0835214	0.05740856	0.02611284	0.05740856
190	-263.5837	-268.1482	4.564482	0.07790264	0.01601366	0.06188898	0.01601366
200	-214.2956	-220.6704	6.374785	0.03114374	0.009133128	0.02201061	0.009133128
210	-223.8474	-229.9184	6.070945	0.0428773	0.008798601	0.0340787	0.008798601
220	-222.8528	-228.5965	5.74373	0.04797767	0.02850833	0.01946935	0.02850833
230	-233.0148	-238.006	4.991191	0.07340035	0.05383924	0.01956111	0.05383924
240	-244.5943	-249.7117	5.117405	0.06866821	0.02272905	0.04593916	0.02272905
250	-220.1834	-224.6513	4.467889	0.03381472	0.02573293	0.008081797	0.02573293
260	-224.611	-229.4599	4.848933	0.04951413	0.03821609	0.01129803	0.03821609
270	-240.6838	-244.9424	4.25857	0.09950987	0.08243714	0.01707273	0.08243714
280	-244.8387	-249.5796	4.74094	0.08432408	0.04662025	0.03770383	0.04662025
290	-215.1753	-221.5132	6.337963	0.03272784	0.01103032	0.02169752	0.01103032
300	-258.4221	-261.5809	3.158804	0.1731166	0.1508167	0.02229984	0.1508167
310	-212.7656	-219.1462	6.380552	0.0283167	0.006652537	0.02166417	0.006652537
