Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-212.0434	-218.4064	6.363054	0.02685052	0.005913672	0.02093685	0.005913672
10	-212.1468	-217.9232	5.776429	0.01772509	0.006445946	0.01127915	0.006445946
20	-212.099	-217.5078	5.408867	0.01397399	0.002841832	0.01113216	0.002841832
30	-210.8367	-216.8145	5.977816	0.01807736	0.004705066	0.0133723	0.004705066
40	-210.6254	-216.2333	5.607916	0.01586674	0.002485829	0.01338091	0.002485829
50	-211.189	-217.4269	6.237904	0.02243142	0.006770526	0.0156609	0.006770526
60	-210.1451	-216.2958	6.150776	0.02126474	0.003810819	0.01745392	0.003810819
70	-210.5979	-215.3828	4.784944	0.01593821	0.001062704	0.0148755	0.001062704
80	-210.2039	-216.3627	6.158782	0.02077698	0.004155615	0.01662137	0.004155615
90	-209.8522	-215.3252	5.47302	0.01920571	0.001639812	0.0175659	0.001639812
100	-211.0343	-217.1117	6.077426	0.0196406	0.005855644	0.01378495	0.005855644
110	-211.155	-217.2888	6.133863	0.02071512	0.006465115	0.01425001	0.006465115
120	-209.9361	-215.9677	6.031669	0.02006265	0.003214242	0.01684841	0.003214242
130	-209.8469	-215.781	5.93409	0.01967341	0.002775757	0.01689765	0.002775757
140	-210.0728	-215.6027	5.529844	0.02098766	0.001661305	0.01932635	0.001661305
150	-210.8087	-216.8569	6.048244	0.01893861	0.005121925	0.01381669	0.005121925
160	-210.6945	-216.9736	6.279106	0.02294626	0.005098611	0.01784765	0.005098611
170	-210.6536	-216.1583	5.504703	0.0228268	0.001601418	0.02122538	0.001601418
180	-209.9295	-215.9542	6.024701	0.02050705	0.0030706	0.01743645	0.0030706
190	-213.9231	-219.8699	5.946808	0.02621255	0.01296922	0.01324333	0.01296922
200	-210.3748	-216.528	6.153129	0.0202954	0.004633966	0.01566144	0.004633966
210	-209.9514	-215.8507	5.899307	0.01848978	0.002895622	0.01559416	0.002895622
220	-210.8614	-215.9426	5.081176	0.01502625	0.001445658	0.01358059	0.001445658
230	-210.0453	-215.8756	5.830313	0.01778335	0.002770633	0.01501272	0.002770633
240	-211.4249	-217.7723	6.347381	0.02519578	0.00592658	0.0192692	0.00592658
250	-212.1573	-218.0156	5.85831	0.01913511	0.007398073	0.01173704	0.007398073
260	-213.3803	-218.7672	5.386893	0.01510293	0.005613901	0.009489031	0.005613901
270	-210.9124	-217.2131	6.300721	0.02334682	0.005669534	0.01767728	0.005669534
280	-210.7578	-216.1887	5.430899	0.01533702	0.002057682	0.01327933	0.002057682
290	-209.8606	-215.8172	5.956606	0.01987489	0.002842005	0.01703289	0.002842005
300	-210.4066	-216.4904	6.083778	0.01928188	0.00444631	0.01483557	0.00444631
310	-210.2061	-216.013	5.806867	0.01727276	0.002850217	0.01442255	0.002850217
320	-210.8031	-217.0833	6.280241	0.02381221	0.004655115	0.0191571	0.004655115
330	-213.1099	-218.8375	5.727554	0.02065647	0.009611318	0.01104515	0.009611318
340	-210.1521	-215.7439	5.591788	0.01680482	0.002140698	0.01466412	0.002140698
