Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-242.854	-221.3351	-21.51892	0.02973398	0.01653105	0.01320293	0.01653105
10	-242.8704	-221.6318	-21.23868	0.03072538	0.01710317	0.0136222	0.01710317
20	-243.0115	-220.1029	-22.90866	0.02714312	0.01345354	0.01368958	0.01345354
30	-242.9881	-222.7996	-20.18846	0.03347798	0.01988888	0.0135891	0.01988888
40	-244.1962	-225.6888	-18.50735	0.04125853	0.02454945	0.01670908	0.02454945
50	-243.2536	-219.5175	-23.73612	0.02655061	0.01179911	0.0147515	0.01179911
60	-243.5179	-224.9463	-18.57165	0.0374934	0.02609488	0.01139852	0.02609488
70	-244.023	-225.5865	-18.4365	0.04090507	0.02492625	0.01597883	0.02492625
80	-244.0979	-225.779	-18.31893	0.04136715	0.02534079	0.01602636	0.02534079
90	-243.9598	-221.7776	-22.18213	0.03299433	0.01437393	0.0186204	0.01437393
100	-243.277	-220.2755	-23.00144	0.02501627	0.01394144	0.01107484	0.01394144
110	-243.3381	-220.774	-22.56417	0.03029651	0.01374344	0.01655307	0.01374344
120	-243.2431	-221.5606	-21.68253	0.03188856	0.01562283	0.01626573	0.01562283
130	-242.9983	-221.0667	-21.93164	0.02753501	0.01611603	0.01141898	0.01611603
140	-242.8603	-221.6513	-21.20904	0.03060304	0.01723959	0.01336345	0.01723959
150	-242.9197	-221.9794	-20.94031	0.03180085	0.01774905	0.0140518	0.01774905
160	-243.184	-222.6388	-20.54517	0.03051428	0.02027879	0.01023548	0.02027879
170	-244.7178	-225.9977	-18.72015	0.04206834	0.02361496	0.01845339	0.02361496
180	-243.0706	-220.2316	-22.83902	0.02822761	0.01340566	0.01482194	0.01340566
190	-242.8534	-221.3517	-21.50166	0.02975517	0.01657867	0.0131765	0.01657867
200	-243.3777	-220.197	-23.18069	0.0245239	0.013662	0.0108619	0.013662
210	-243.0028	-222.276	-20.72673	0.03276613	0.01818728	0.01457885	0.01818728
220	-242.897	-221.8234	-21.07354	0.02995828	0.01801929	0.01193898	0.01801929
230	-243.9436	-218.5261	-25.4175	0.02510126	0.009177654	0.0159236	0.009177654
240	-243.9435	-218.455	-25.48852	0.02249716	0.009378473	0.01311868	0.009378473
250	-244.3059	-225.7909	-18.51503	0.04153464	0.02447104	0.0170636	0.02447104
260	-244.7504	-227.9416	-16.80884	0.04488717	0.03445578	0.01043139	0.03445578
270	-243.0202	-221.4575	-21.56266	0.02819364	0.01713942	0.01105421	0.01713942
280	-243.1765	-221.568	-21.60852	0.03178589	0.0158249	0.01596098	0.0158249
290	-243.4676	-224.2178	-19.24979	0.0346193	0.02451042	0.01010889	0.02451042
