Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-261.6422	-266.1489	4.506629	0.08089639	0.02206041	0.05883598	0.02206041
10	-236.6403	-241.4056	4.765321	0.08365958	0.06316108	0.02049849	0.06316108
20	-255.5472	-259.0089	3.46173	0.1536683	0.1294871	0.02418121	0.1294871
30	-230.5507	-235.7191	5.168457	0.06664437	0.04722668	0.01941768	0.04722668
40	-261.73	-265.1998	3.469742	0.1383223	0.09873722	0.0395851	0.09873722
50	-215.1046	-221.4125	6.307819	0.03248878	0.01205859	0.02043019	0.01205859
60	-234.1639	-239.7667	5.602768	0.05702229	0.01794333	0.03907896	0.01794333
70	-273.8009	-276.0283	2.227385	0.2377367	0.2058804	0.03185636	0.2058804
80	-235.3912	-240.9364	5.545255	0.05844638	0.01855419	0.03989219	0.01855419
90	-295.004	-295.309	0.3050398	0.4647318	0.4347853	0.02994653	0.4347853
100	-215.9163	-222.2316	6.315304	0.03407982	0.01185253	0.02222729	0.01185253
110	-234.8223	-239.3601	4.537762	0.08012619	0.06509273	0.01503346	0.06509273
120	-230.1454	-235.6669	5.52144	0.06053228	0.03285702	0.02767526	0.03285702
130	-219.3941	-224.8414	5.447225	0.03790245	0.02534911	0.01255334	0.02534911
140	-243.788	-248.1907	4.402722	0.1026605	0.07771444	0.02494602	0.07771444
150	-253.8886	-257.3915	3.50285	0.1500706	0.1281467	0.02192392	0.1281467
160	-239.4835	-244.673	5.189573	0.0692197	0.03065253	0.03856717	0.03065253
170	-213.3159	-219.5221	6.206226	0.02733906	0.01132352	0.01601555	0.01132352
180	-232.5231	-237.6741	5.150969	0.07054646	0.04832097	0.02222549	0.04832097
190	-231.4464	-237.222	5.775625	0.05165556	0.01247007	0.03918549	0.01247007
200	-253.1343	-257.4241	4.289844	0.09750332	0.05460686	0.04289645	0.05460686
210	-237.8364	-242.0434	4.20699	0.09021857	0.07617926	0.01403931	0.07617926
220	-223.3926	-229.2879	5.895316	0.04033378	0.004412259	0.03592152	0.004412259
