Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-204.1515	-172.453	-31.69853	0.000258544	0.000229764	0.000333879	0.000139687	0.000197143	0.000498235	0.000939336	0.00105697	0.000410467	0.000207202	0.000130546	0.5425163	-8.26045	-8.37846	-8.00473	-8.87611	-8.53158	-7.60444	-6.97034	-6.85235	-7.79822	-8.48181	-8.94378	-8.48933	-6.9088	-6.60921	-6.44578	-5.8374	-5.48365	-4.16048	-2.25808	-1.83506	-2.97421	-3.77445	0.000205652	0.000998952	0.0013479	0.0015872	0.00291641	0.00415413	0.0156001	0.104551	0.159605	0.0510877	0.0229498	1.013008
10	-191.2876	-176.4321	-14.85551	0.00559958	0.00511026	0.00471661	0.00485221	0.00422827	0.00453503	0.00578643	0.00633188	0.00679048	0.00632766	0.00701639	0.1383335	-5.18506	-5.2765	-5.35666	-5.32832	-5.46596	-5.39592	-5.15224	-5.06216	-4.99223	-5.06282	-4.95951	-8.53935	-7.62164	-6.80615	-6.2853	-5.01607	-4.28502	-4.73361	-2.35461	-2.55064	-2.819	-4.11889	0.000195617	0.000489739	0.00110695	0.0018635	0.00663053	0.0137733	0.00879468	0.0949303	0.0780316	0.0596656	0.0162626	1.058415
20	-210.8595	-172.7294	-38.1301	0.000112746	7.90671e-05	2.29583e-05	1.81319e-05	1.89452e-05	3.33932e-05	2.5438e-05	0.000100855	0.000226006	0.000286256	0.000375041	1.355681	-9.09038	-9.44521	-10.6818	-10.9178	-10.874	-10.3072	-10.5793	-9.20183	-8.39495	-8.15862	-7.88847	-8.71122	-7.84852	-7.46304	-7.77383	-6.0408	-5.4849	-4.64893	-2.39587	-2.06866	-3.47238	-4.39713	0.000164726	0.000390329	0.000573906	0.000420599	0.00237967	0.00414896	0.00957183	0.0910932	0.126355	0.0310431	0.0123126	0.8716808
30	-197.7643	-172.2629	-25.50144	0.000172224	0.000190144	0.000227847	0.000279385	0.000248919	0.000319274	0.000286818	0.000284221	0.000327816	0.000436066	0.000439297	0.2242652	-8.66671	-8.56773	-8.38684	-8.18292	-8.29838	-8.04946	-8.15666	-8.16576	-8.02306	-7.73772	-7.73033	-8.67541	-8.52521	-9.46927	-7.16408	-5.7289	-4.82502	-3.57759	-2.09328	-1.79492	-4.26244	-4.91495	0.000170733	0.000198403	7.71875e-05	0.000773892	0.00325065	0.00802643	0.0279429	0.123283	0.16614	0.0140879	0.00733608	2.479714
40	-194.9888	-173.4528	-21.53606	0.000260568	0.000273893	0.00031418	0.00033409	0.000328811	0.000234726	0.000273027	0.000354988	0.000436117	0.000532516	0.000658534	0.237435	-8.25265	-8.20277	-8.06555	-8.0041	-8.02003	-8.35709	-8.20594	-7.94343	-7.7376	-7.5379	-7.32549	-9.33148	-8.96611	-7.13451	-7.09141	-5.63057	-5.26621	-3.86575	-2.56504	-1.93196	-3.34845	-3.13977	8.85912e-05	0.000127664	0.00079712	0.000832223	0.00358653	0.00516314	0.0209473	0.0769165	0.144864	0.0351389	0.0432926	1.485669
50	-195.2815	-173.4014	-21.88012	0.00355274	0.00229774	0.00309751	0.00397383	0.00518094	0.00582817	0.00617476	0.00542911	0.00394924	0.00314412	0.0036199	0.3435543	-5.64004	-6.07583	-5.77716	-5.52803	-5.26277	-5.14505	-5.08728	-5.21598	-5.53423	-5.76222	-5.62131	-7.7064	-6.81837	-6.99946	-6.07975	-5.66494	-4.71799	-3.55975	-2.26296	-1.91158	-3.23629	-4.08298	0.000449938	0.0010935	0.000912378	0.00228874	0.00346537	0.0089331	0.0284459	0.104042	0.147846	0.0393094	0.0168572	1.019192
60	-206.2402	-174.868	-31.37217	0.00146886	0.00100624	0.000623607	0.000896027	0.00135296	0.00104013	0.000986622	0.00141492	0.00154844	0.00123406	0.000877631	0.4135119	-6.52327	-6.90153	-7.37999	-7.01754	-6.60546	-6.8684	-6.92122	-6.56068	-6.47051	-6.69744	-7.03828	-6.99474	-8.33846	-7.43555	-4.41728	-5.60656	-4.95197	-3.98314	-2.49034	-1.17266	-3.80943	-6.14464	0.000916688	0.00023914	0.000589903	0.012067	0.00367368	0.00706947	0.018627	0.082882	0.309542	0.0221608	0.00214494	1.694469
70	-216.6656	-171.3485	-45.31715	4.63044e-05	5.55963e-05	1.1875e-05	5.47842e-06	1.73936e-05	0.000237363	0.000353185	0.000213093	0.000253372	0.000240984	0.000289595	1.33909	-9.98027	-9.79739	-11.3411	-12.1147	-10.9594	-8.34592	-7.94852	-8.45378	-8.28065	-8.33078	-8.14703	-7.01923	-6.60192	-5.56572	-6.73655	-3.92262	-5.52827	-3.88906	-2.1522	-1.36506	-5.24499	-3.91824	0.000894517	0.00135776	0.00382683	0.00118673	0.0197892	0.00397284	0.0204646	0.116228	0.255365	0.0052739	0.0198761	1.568813
80	-203.0989	-171.928	-31.17084	6.24033e-05	0.000125343	0.000111264	0.000134726	0.000184736	0.000373604	0.000244277	0.000222818	0.000194638	9.28624e-05	0.00012055	0.423087	-9.68189	-8.98446	-9.1036	-8.91226	-8.59658	-7.89231	-8.31721	-8.40915	-8.54437	-9.28439	-9.02345	-8.64558	-7.80047	-7.60467	-6.28393	-5.46341	-4.18454	-4.55202	-2.36525	-1.74636	-4.54913	-5.48024	0.000175903	0.000409544	0.000498119	0.00186605	0.00423907	0.0152292	0.0105459	0.0939262	0.174408	0.0105765	0.00416831	1.349372
90	-206.2263	-175.8541	-30.37218	0.000216845	0.000220273	0.000498682	0.000377239	0.000526804	0.000353791	0.000512767	0.00018214	0.00015437	0.000101041	0.000144962	0.3955924	-8.43633	-8.42064	-7.60354	-7.88263	-7.54868	-7.9468	-7.57569	-8.61073	-8.77616	-9.19999	-8.83904	-7.56611	-7.17165	-6.28608	-5.64227	-4.61028	-3.88455	-3.38179	-2.67278	-1.65655	-3.21489	-4.24981	0.000517701	0.000768051	0.00186204	0.00354481	0.00994899	0.0205572	0.0339865	0.0690596	0.190796	0.0401599	0.0142669	1.36655
