Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-204.1515	-172.453	-31.69853	0.000258544	0.000229764	0.000333879	0.000139687	0.000197143	0.000498235	0.000939336	0.00105697	0.000410467	0.000207202	0.000130546
10	-191.2876	-176.4321	-14.85551	0.00559958	0.00511026	0.00471661	0.00485221	0.00422827	0.00453503	0.00578643	0.00633188	0.00679048	0.00632766	0.00701639
20	-210.8595	-172.7294	-38.1301	0.000112746	7.90671e-05	2.29583e-05	1.81319e-05	1.89452e-05	3.33932e-05	2.5438e-05	0.000100855	0.000226006	0.000286256	0.000375041
30	-197.7643	-172.2629	-25.50144	0.000172224	0.000190144	0.000227847	0.000279385	0.000248919	0.000319274	0.000286818	0.000284221	0.000327816	0.000436066	0.000439297
40	-194.9888	-173.4528	-21.53606	0.000260568	0.000273893	0.00031418	0.00033409	0.000328811	0.000234726	0.000273027	0.000354988	0.000436117	0.000532516	0.000658534
50	-195.2815	-173.4014	-21.88012	0.00355274	0.00229774	0.00309751	0.00397383	0.00518094	0.00582817	0.00617476	0.00542911	0.00394924	0.00314412	0.0036199
60	-206.2402	-174.868	-31.37217	0.00146886	0.00100624	0.000623607	0.000896027	0.00135296	0.00104013	0.000986622	0.00141492	0.00154844	0.00123406	0.000877631
70	-216.6656	-171.3485	-45.31715	4.63044e-05	5.55963e-05	1.1875e-05	5.47842e-06	1.73936e-05	0.000237363	0.000353185	0.000213093	0.000253372	0.000240984	0.000289595
80	-203.0989	-171.928	-31.17084	6.24033e-05	0.000125343	0.000111264	0.000134726	0.000184736	0.000373604	0.000244277	0.000222818	0.000194638	9.28624e-05	0.00012055
90	-206.2263	-175.8541	-30.37218	0.000216845	0.000220273	0.000498682	0.000377239	0.000526804	0.000353791	0.000512767	0.00018214	0.00015437	0.000101041	0.000144962
100	-209.6591	-173.5619	-36.09717	0.0836276	0.0723466	0.0324955	0.0123147	0.0130047	0.00838243	0.0134968	0.00631668	0.00527306	0.00565031	0.00267235
110	-203.1481	-170.9472	-32.20094	0.0846872	0.145954	0.117531	0.0595381	0.046323	0.046072	0.031335	0.0136038	0.0113721	0.0108287	0.00600929
120	-206.0999	-167.4691	-38.63078	0.154064	0.293031	0.109973	0.247705	0.153424	0.130086	0.0909667	0.0726229	0.0206647	0.0160882	0.0308046
130	-201.7163	-166.4146	-35.30169	0.177696	0.100149	0.0624423	0.145315	0.113736	0.158321	0.104271	0.0740701	0.0556368	0.0339175	0.0498961
140	-201.298	-167.7297	-33.56834	0.172675	0.113938	0.0997075	0.104618	0.107435	0.0580912	0.0382455	0.0483633	0.0615414	0.0318488	0.0329996
150	-209.2879	-165.9042	-43.38366	0.30963	0.127605	0.104837	0.268121	0.0859701	0.150598	0.12152	0.048137	0.0302694	0.0327734	0.0135767
160	-195.7956	-164.6869	-31.10868	0.316221	0.213114	0.150377	0.178126	0.162629	0.169085	0.123131	0.125567	0.125156	0.190412	0.171323
170	-180.6676	-164.5409	-16.1267	0.211337	0.208108	0.195885	0.189411	0.180244	0.188079	0.192393	0.169384	0.181551	0.18176	0.180614
180	-170.1103	-168.7209	-1.389375	0.228648	0.229542	0.225709	0.217168	0.223174	0.220419	0.220516	0.224797	0.218394	0.21329	0.214988
190	-187.0301	-169.7502	-17.27987	0.237927	0.240153	0.268522	0.22359	0.205905	0.175539	0.210238	0.217628	0.181639	0.159074	0.165755
200	-178.8039	-166.0339	-12.76997	0.221201	0.255358	0.239815	0.239021	0.191771	0.173297	0.186543	0.169358	0.190594	0.195544	0.203111
210	-188.0047	-171.0389	-16.96576	0.259275	0.262292	0.250022	0.204543	0.198864	0.165155	0.137984	0.155804	0.193893	0.21742	0.226522
220	-176.391	-165.6687	-10.72231	0.247759	0.248856	0.217508	0.216527	0.224343	0.212983	0.225039	0.20522	0.209284	0.199072	0.20892
230	-189.6901	-168.2092	-21.48088	0.33046	0.25013	0.279267	0.221049	0.220359	0.224688	0.199779	0.150365	0.18106	0.183429	0.208638
240	-195.2379	-172.6225	-22.61541	0.300501	0.248229	0.295303	0.176902	0.146441	0.157702	0.174727	0.152972	0.223021	0.394457	0.393037
250	-171.0284	-166.4984	-4.529983	0.234594	0.231456	0.227616	0.211991	0.211107	0.220092	0.218228	0.218442	0.229984	0.23454	0.233786
260	-134.7713	-165.164	30.39275	0.233536	0.233389	0.233539	0.233332	0.233448	0.233209	0.233235	0.233337	0.233405	0.233223	0.233457
270	-199.7075	-165.1005	-34.60702	0.163012	0.209214	0.24787	0.194042	0.156572	0.150352	0.17855	0.237718	0.397937	0.151577	0.0376303
280	-178.2193	-168.0602	-10.15909	0.130548	0.138211	0.130811	0.129366	0.122313	0.118446	0.122406	0.138762	0.131969	0.12277	0.128868
290	-193.573	-169.232	-24.34105	0.100289	0.109532	0.104139	0.0984316	0.0879023	0.0822563	0.0832354	0.077792	0.0990856	0.101466	0.120545
300	-203.3762	-166.3279	-37.04836	0.195759	0.170434	0.060771	0.11708	0.0447288	0.0361598	0.102215	0.0915623	0.326506	0.219757	0.158959
310	-208.1352	-169.5488	-38.58635	0.0324333	0.133114	0.154667	0.0454639	0.0283863	0.112939	0.23577	0.203241	0.421762	0.436652	0.3005
320	-201.0742	-166.0191	-35.05505	0.0221481	0.0618027	0.0319989	0.033148	0.135359	0.250726	0.0911072	0.0476873	0.39242	0.32586	0.208989
330	-203.5297	-162.3515	-41.17817	0.115855	0.0862831	0.0142142	0.0400832	0.122947	0.249635	0.285578	0.0937637	0.573095	0.485997	0.284605
