Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-204.1515	-172.453	-31.69853	0.000205652	0.000998952	0.0013479	0.0015872	0.00291641	0.00415413	0.0156001	0.104551	0.159605	0.0510877	0.0229498
10	-191.2876	-176.4321	-14.85551	0.000195617	0.000489739	0.00110695	0.0018635	0.00663053	0.0137733	0.00879468	0.0949303	0.0780316	0.0596656	0.0162626
20	-210.8595	-172.7294	-38.1301	0.000164726	0.000390329	0.000573906	0.000420599	0.00237967	0.00414896	0.00957183	0.0910932	0.126355	0.0310431	0.0123126
30	-197.7643	-172.2629	-25.50144	0.000170733	0.000198403	7.71875e-05	0.000773892	0.00325065	0.00802643	0.0279429	0.123283	0.16614	0.0140879	0.00733608
40	-194.9888	-173.4528	-21.53606	8.85912e-05	0.000127664	0.00079712	0.000832223	0.00358653	0.00516314	0.0209473	0.0769165	0.144864	0.0351389	0.0432926
50	-195.2815	-173.4014	-21.88012	0.000449938	0.0010935	0.000912378	0.00228874	0.00346537	0.0089331	0.0284459	0.104042	0.147846	0.0393094	0.0168572
60	-206.2402	-174.868	-31.37217	0.000916688	0.00023914	0.000589903	0.012067	0.00367368	0.00706947	0.018627	0.082882	0.309542	0.0221608	0.00214494
70	-216.6656	-171.3485	-45.31715	0.000894517	0.00135776	0.00382683	0.00118673	0.0197892	0.00397284	0.0204646	0.116228	0.255365	0.0052739	0.0198761
80	-203.0989	-171.928	-31.17084	0.000175903	0.000409544	0.000498119	0.00186605	0.00423907	0.0152292	0.0105459	0.0939262	0.174408	0.0105765	0.00416831
90	-206.2263	-175.8541	-30.37218	0.000517701	0.000768051	0.00186204	0.00354481	0.00994899	0.0205572	0.0339865	0.0690596	0.190796	0.0401599	0.0142669
100	-209.6591	-173.5619	-36.09717	0.000786764	0.0010556	0.000181436	0.00149161	0.0125658	0.0532747	0.0182614	0.239207	0.166038	0.10306	0.0730726
110	-203.1481	-170.9472	-32.20094	0.00549303	0.00443255	0.0035928	0.0430432	0.0578829	0.0303556	0.0458716	0.390714	0.153731	0.0113194	0.0354818
120	-206.0999	-167.4691	-38.63078	0.000919015	0.00390806	0.0167569	0.185095	0.242217	0.0742206	0.225312	0.546883	0.30559	0.0589701	0.0238931
130	-201.7163	-166.4146	-35.30169	0.00389449	0.00292821	0.000920979	0.0206358	0.237941	0.0407707	0.196995	0.492068	0.206024	0.0453868	0.0798944
140	-201.298	-167.7297	-33.56834	0.00242236	0.0101053	0.00147011	0.0042496	0.26213	0.0674041	0.106202	0.327114	0.319907	0.0395439	0.101932
150	-209.2879	-165.9042	-43.38366	0.000590713	0.00157953	0.0155463	0.00260143	0.49742	0.144844	0.0922609	0.561132	0.210472	0.0897451	0.0100498
