state	power	likelihood
2510	7.776e-07	-204.92
2520	7.776e-07	-200.037
2530	7.776e-07	-204.417
2540	7.776e-07	-201.16
2550	7.776e-07	-242.194
2560	7.776e-07	-225.677
2570	7.776e-07	-210.747
2580	7.776e-07	-201.116
2590	7.776e-07	-204.43
2600	7.776e-07	-200.477
2610	7.776e-07	-207.479
2620	7.776e-07	-216.493
2630	7.776e-07	-201.904
2640	7.776e-07	-219.576
2650	7.776e-07	-222.351
2660	7.776e-07	-209.626
2670	7.776e-07	-209.185
2680	7.776e-07	-279.968
2690	7.776e-07	-210.32
2700	7.776e-07	-254.706
2710	7.776e-07	-217.468
2720	7.776e-07	-233.477
2730	7.776e-07	-210.962
2740	7.776e-07	-234.082
2750	7.776e-07	-199.239
2760	7.776e-07	-199.843
2770	7.776e-07	-202.102
2780	7.776e-07	-235.233
2790	7.776e-07	-200.884
2800	7.776e-07	-201.095
2810	7.776e-07	-216.738
2820	7.776e-07	-226.329
2830	7.776e-07	-202.626
2840	7.776e-07	-217.049
2850	7.776e-07	-319.282
2860	7.776e-07	-210.746
2870	7.776e-07	-211.245
2880	7.776e-07	-210.767
2890	7.776e-07	-200.473
2900	7.776e-07	-208.109
2910	7.776e-07	-202.165
2920	7.776e-07	-243.951
2930	7.776e-07	-209.272
2940	7.776e-07	-239.311
2950	7.776e-07	-203.922
2960	7.776e-07	-237.68
2970	7.776e-07	-261.079
2980	7.776e-07	-261.184
2990	7.776e-07	-212.197
3000	7.776e-07	-262.243
3010	7.776e-07	-217.461
3020	7.776e-07	-209.548
3030	7.776e-07	-203.283
3040	7.776e-07	-341.487
3050	7.776e-07	-226.162
3060	7.776e-07	-241.355
3070	7.776e-07	-252.845
3080	7.776e-07	-228.3
3090	7.776e-07	-217.077
3100	7.776e-07	-228.656
3110	7.776e-07	-199.557
3120	7.776e-07	-212.595
3130	7.776e-07	-203.082
3140	7.776e-07	-226.241
3150	7.776e-07	-206.796
3160	7.776e-07	-213.104
3170	7.776e-07	-234.306
3180	7.776e-07	-203.406
3190	7.776e-07	-257.181
3200	7.776e-07	-208.282
3210	7.776e-07	-200.23
3220	7.776e-07	-205.143
3230	7.776e-07	-202.129
3240	7.776e-07	-199.673
3250	7.776e-07	-251.607
3260	7.776e-07	-272.32
3270	7.776e-07	-242.403
3280	7.776e-07	-258.944
3290	7.776e-07	-201.169
3300	7.776e-07	-206.217
3310	7.776e-07	-231.541
3320	7.776e-07	-246.562
3330	7.776e-07	-197.343
3340	7.776e-07	-210.818
3350	7.776e-07	-203.697
3360	7.776e-07	-206.071
3370	7.776e-07	-205.363
3380	7.776e-07	-208.968
3390	7.776e-07	-201.562
3400	7.776e-07	-208.685
3410	7.776e-07	-267.146
3420	7.776e-07	-259.489
3430	7.776e-07	-211.064
3440	7.776e-07	-253.818
3450	7.776e-07	-236.421
3460	7.776e-07	-199.614
3470	7.776e-07	-237.218
3480	7.776e-07	-200.547
3490	7.776e-07	-202.14
3500	7.776e-07	-200.262
3510	7.776e-07	-229.023
3520	7.776e-07	-206.659
3530	7.776e-07	-203.327
3540	7.776e-07	-209.284
3550	7.776e-07	-217.425
3560	7.776e-07	-200.341
3570	7.776e-07	-200.911
3580	7.776e-07	-204.665
3590	7.776e-07	-235.553
3600	7.776e-07	-215.523
3610	7.776e-07	-203.517
3620	7.776e-07	-237.638
3630	7.776e-07	-201.951
3640	7.776e-07	-202.283
3650	7.776e-07	-207.718
3660	7.776e-07	-207.283
3670	7.776e-07	-220.999
3680	7.776e-07	-211.973
3690	7.776e-07	-216.192
3700	7.776e-07	-239.858
3710	7.776e-07	-264
3720	7.776e-07	-243.54
3730	7.776e-07	-289.41
3740	7.776e-07	-223.865
3750	7.776e-07	-241.957
3760	7.776e-07	-238.06
3770	7.776e-07	-256.526
3780	7.776e-07	-203.335
3790	7.776e-07	-225.679
3800	7.776e-07	-200.62
3810	7.776e-07	-210.99
3820	7.776e-07	-207.459
3830	7.776e-07	-202.304
3840	7.776e-07	-200.334
3850	7.776e-07	-203.298
3860	7.776e-07	-200.106
3870	7.776e-07	-210.1
3880	7.776e-07	-214.825
3890	7.776e-07	-198.192
3900	7.776e-07	-229.612
3910	7.776e-07	-211.997
3920	7.776e-07	-216.378
3930	7.776e-07	-221.386
3940	7.776e-07	-220.162
3950	7.776e-07	-220.719
3960	7.776e-07	-222.642
3970	7.776e-07	-203.259
3980	7.776e-07	-240.167
3990	7.776e-07	-247.146
4000	7.776e-07	-204.179
4010	7.776e-07	-200.942
4020	7.776e-07	-201.025
4030	7.776e-07	-222.358
4040	7.776e-07	-208.403
4050	7.776e-07	-202.326
4060	7.776e-07	-211.863
4070	7.776e-07	-205.184
4080	7.776e-07	-208.054
4090	7.776e-07	-206.031
4100	7.776e-07	-217.236
4110	7.776e-07	-207.87
4120	7.776e-07	-257.054
4130	7.776e-07	-198.88
4140	7.776e-07	-239.407
4150	7.776e-07	-199.021
4160	7.776e-07	-213.522
4170	7.776e-07	-249.196
4180	7.776e-07	-200.105
4190	7.776e-07	-203.849
4200	7.776e-07	-242.993
4210	7.776e-07	-245.839
4220	7.776e-07	-199.92
4230	7.776e-07	-198.894
4240	7.776e-07	-252.144
4250	7.776e-07	-208.008
4260	7.776e-07	-261.615
4270	7.776e-07	-201.307
4280	7.776e-07	-206.245
4290	7.776e-07	-200.348
4300	7.776e-07	-226.601
4310	7.776e-07	-199.298
4320	7.776e-07	-214.09
4330	7.776e-07	-232.133
4340	7.776e-07	-212.659
4350	7.776e-07	-252.42
4360	7.776e-07	-201.576
4370	7.776e-07	-210.412
4380	7.776e-07	-200.761
4390	7.776e-07	-243.158
4400	7.776e-07	-198.992
4410	7.776e-07	-242.324
4420	7.776e-07	-198.655
4430	7.776e-07	-223.778
4440	7.776e-07	-229.022
4450	7.776e-07	-209.475
4460	7.776e-07	-212.183
4470	7.776e-07	-201.896
4480	7.776e-07	-241.47
4490	7.776e-07	-202.62
4500	7.776e-07	-202.618
4510	7.776e-07	-201.971
4520	7.776e-07	-255.507
4530	7.776e-07	-277.088
4540	7.776e-07	-198.483
4550	7.776e-07	-205.499
4560	7.776e-07	-229.904
4570	7.776e-07	-256.824
4580	7.776e-07	-201.509
