state	power	likelihood
2510	0.733904	-199.429
2520	0.733904	-198.848
2530	0.733904	-198.79
2540	0.733904	-198.41
2550	0.733904	-199.116
2560	0.733904	-197.753
2570	0.733904	-198.685
2580	0.733904	-197.843
2590	0.733904	-197.442
2600	0.733904	-201.261
2610	0.733904	-197.612
2620	0.733904	-200.165
2630	0.733904	-199.745
2640	0.733904	-201.804
2650	0.733904	-201.079
2660	0.733904	-200.167
2670	0.733904	-198.274
2680	0.733904	-197.629
2690	0.733904	-200.142
2700	0.733904	-198.586
2710	0.733904	-198.855
2720	0.733904	-198.312
2730	0.733904	-199.649
2740	0.733904	-198.17
2750	0.733904	-198.639
2760	0.733904	-199.43
2770	0.733904	-197.91
2780	0.733904	-198.782
2790	0.733904	-198.554
2800	0.733904	-200.388
2810	0.733904	-198.328
2820	0.733904	-199.865
2830	0.733904	-198.032
2840	0.733904	-197.997
2850	0.733904	-198.426
2860	0.733904	-198.475
2870	0.733904	-198.054
2880	0.733904	-199.728
2890	0.733904	-199.99
2900	0.733904	-203.198
2910	0.733904	-198.413
2920	0.733904	-197.921
2930	0.733904	-199.759
2940	0.733904	-201.345
2950	0.733904	-199.176
2960	0.733904	-198.597
2970	0.733904	-198.364
2980	0.733904	-202.825
2990	0.733904	-198.817
3000	0.733904	-199.673
3010	0.733904	-199.852
3020	0.733904	-200.41
3030	0.733904	-199.204
3040	0.733904	-199.147
3050	0.733904	-198.111
3060	0.733904	-197.803
3070	0.733904	-198.245
3080	0.733904	-201.008
3090	0.733904	-198.356
3100	0.733904	-199.362
3110	0.733904	-200.121
3120	0.733904	-197.761
3130	0.733904	-198.593
3140	0.733904	-198.476
3150	0.733904	-199.787
3160	0.733904	-197.329
3170	0.733904	-204.06
3180	0.733904	-199.669
3190	0.733904	-197.723
3200	0.733904	-199.574
3210	0.733904	-201.036
3220	0.733904	-199.38
3230	0.733904	-197.31
3240	0.733904	-199.056
3250	0.733904	-198.508
3260	0.733904	-198.958
3270	0.733904	-198.405
3280	0.733904	-202.53
3290	0.733904	-199.549
3300	0.733904	-199.54
3310	0.733904	-198.102
3320	0.733904	-199.259
3330	0.733904	-198.629
3340	0.733904	-198.881
3350	0.733904	-203.371
3360	0.733904	-199.957
3370	0.733904	-198.807
3380	0.733904	-197.6
3390	0.733904	-199.689
3400	0.733904	-198.707
3410	0.733904	-198.763
3420	0.733904	-199.446
3430	0.733904	-197.946
3440	0.733904	-198.119
