Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	2.25453	0	2.25453	0.0569707
1	1	2.927365	0	2.927365	0.03616176
2	0	3.026033	0	3.026033	0.02437854
3	1	1.94206	0	1.94206	0.06513559
4	0	3.03652	0	3.03652	0.02536854
5	1	3.026011	0	3.026011	0.02437684
6	0	1.802874	0	1.802874	0.06871111
7	1	2.814358	0	2.814358	0.04054636
8	0	3.043794	0	3.043794	0.02710873
9	1	2.965547	0	2.965547	0.02158698
10	0	2.58373	0	2.58373	0.04784599
11	1	3.043398	0	3.043398	0.02770703
12	0	3.026842	0	3.026842	0.0244407
13	1	2.858678	0	2.858678	0.01904993
14	0	1.646507	0	1.646507	0.07271042
15	1	2.287066	0	2.287066	0.01322163
16	0	-0.19166	0	-0.19166	0.1213594
17	1	1.715282	0	1.715282	0.07095272
18	0	1.502777	0	1.502777	0.00971108
19	1	3.04158	0	3.04158	0.02618395
20	0	2.91006	0	2.91006	0.03690455
21	1	1.864391	0	1.864391	0.06713344
22	0	2.701206	0	2.701206	0.04428998
23	1	2.375986	0	2.375986	0.05369839
24	0	3.043755	0	3.043755	0.0274258
25	1	3.007614	0	3.007614	0.03189946
26	0	3.016383	0	3.016383	0.0237337
27	1	3.041367	0	3.041367	0.02838025
28	0	-1.020669	0	-1.020669	0.1453701
29	1	2.542802	0	2.542802	0.0490341
30	0	2.928647	0	2.928647	0.02054427
31	1	2.864738	0	2.864738	0.01916262
32	0	2.657804	0	2.657804	0.04563336
33	1	2.993664	0	2.993664	0.03280439
34	0	3.009724	0	3.009724	0.02336187
35	1	2.672598	0	2.672598	0.0451799
36	0	2.802028	0	2.802028	0.04097644
37	1	3.032463	0	3.032463	0.02975683
38	0	2.853501	0	2.853501	0.01895561
39	1	2.837135	0	2.837135	0.03973292
40	0	3.035848	0	3.035848	0.02933284
41	1	2.403714	0	2.403714	0.05293901
42	0	2.930055	0	2.930055	0.02057982
43	1	2.98002	0	2.98002	0.02208002
44	0	3.033157	0	3.033157	0.02499575
45	1	2.591132	0	2.591132	0.04762873
46	0	2.64935	0	2.64935	0.04589057
47	1	2.61509	0	2.61509	0.04692007
48	0	1.121716	0	1.121716	0.08616085
49	1	3.038492	0	3.038492	0.02893858
50	0	2.280994	0	2.280994	0.05626424
51	1	2.97045	0	2.97045	0.03410804
52	0	0.31142	0	0.31142	0.1075206
53	1	1.825207	0	1.825207	0.06813876
54	0	-0.8893217	0	-0.8893217	0.1414576
55	1	2.904489	0	2.904489	0.0371364
56	0	2.61458	0	2.61458	0.04693523
57	1	2.729241	0	2.729241	0.04339916
58	0	1.666057	0	1.666057	0.0722109
59	1	2.621299	0	2.621299	0.04673494
60	0	2.462194	0	2.462194	0.05131861
61	1	3.01901	0	3.01901	0.03104293
62	0	1.85441	0	1.85441	0.01100696
63	1	2.942035	0	2.942035	0.03550049
64	0	3.043118	0	3.043118	0.02664006
65	1	2.923428	0	2.923428	0.02041491
66	0	3.026301	0	3.026301	0.02439896
67	1	2.945503	0	2.945503	0.03533918
68	0	2.776976	0	2.776976	0.04183095
69	1	1.720044	0	1.720044	0.07083096
70	0	2.832547	0	2.832547	0.0398989
71	1	3.041296	0	3.041296	0.02612072
72	0	1.077516	0	1.077516	0.08730282
73	1	2.463261	0	2.463261	0.05128879
74	0	1.836196	0	1.836196	0.06785698
75	1	3.021834	0	3.021834	0.03080575
76	0	2.778492	0	2.778492	0.01775388
77	1	1.878444	0	1.878444	0.0667725
78	0	0.07971121	0	0.07971121	0.1138317
79	1	2.220244	0	2.220244	0.05788141
80	0	3.043822	0	3.043822	0.02719183
81	1	2.79182	0	2.79182	0.04132759
82	0	2.003355	0	2.003355	0.01167151
83	1	2.527248	0	2.527248	0.01499095
84	0	2.906189	0	2.906189	0.03706599
85	1	2.328145	0	2.328145	0.05499699
86	0	2.634451	0	2.634451	0.04634076
87	1	2.288411	0	2.288411	0.05606565
88	0	2.261677	0	2.261677	0.05678022
89	1	2.864886	0	2.864886	0.03870283
90	0	2.861531	0	2.861531	0.01910266
91	1	3.026432	0	3.026432	0.03038861
92	0	1.543968	0	1.543968	0.009846766
93	1	-1.615257	0	-1.615257	0.1636292
94	0	2.597389	0	2.597389	0.01563418
95	1	2.894686	0	2.894686	0.01976078
96	0	0.7457767	0	0.7457767	0.007730713
97	1	1.263217	0	1.263217	0.00898905
98	0	2.749381	0	2.749381	0.04274615
99	1	2.780139	0	2.780139	0.04172441
100	0	1.077802	0	1.077802	0.08729543
101	1	1.525034	0	1.525034	0.07581363
102	0	2.848696	0	2.848696	0.01886964
103	1	1.060713	0	1.060713	0.08773749
104	0	0.4780767	0	0.4780767	0.1030431
105	1	2.547192	0	2.547192	0.04890766
106	0	1.336872	0	1.336872	0.009199745
107	1	0.643217	0	0.643217	0.09865342
108	0	2.297851	0	2.297851	0.01329013
109	1	2.220372	0	2.220372	0.05787801
110	0	2.74681	0	2.74681	0.04283016
111	1	2.471119	0	2.471119	0.01452463
112	0	2.999411	0	2.999411	0.02286115
113	1	1.380575	0	1.380575	0.07950819
114	0	3.037494	0	3.037494	0.02909619
115	1	2.950862	0	2.950862	0.03508573
116	0	3.038531	0	3.038531	0.02893218
117	1	2.941755	0	2.941755	0.02088662
118	0	3.002502	0	3.002502	0.02300337
119	1	2.403787	0	2.403787	0.052937
120	0	3.035921	0	3.035921	0.02529617
121	1	2.689783	0	2.689783	0.0446475
122	0	0.4135928	0	0.4135928	0.1047697
123	1	0.9923004	0	0.9923004	0.08951057
124	0	2.273237	0	2.273237	0.05647166
125	1	2.860163	0	2.860163	0.03888157
126	0	3.042045	0	3.042045	0.02629702
127	1	1.875594	0	1.875594	0.06684574
128	0	2.505034	0	2.505034	0.05011276
129	1	3.003834	0	3.003834	0.03215715
130	0	1.738811	0	1.738811	0.07035099
131	1	2.749344	0	2.749344	0.04274735
132	0	2.958059	0	2.958059	0.03473654
133	1	3.032756	0	3.032756	0.02495589
134	0	2.415965	0	2.415965	0.05260176
135	1	1.372475	0	1.372475	0.07971562
136	0	2.849625	0	2.849625	0.01888614
137	1	2.616103	0	2.616103	0.04688991
138	0	2.765584	0	2.765584	0.04221185
139	1	2.997446	0	2.997446	0.02277376
140	0	2.608161	0	2.608161	0.04712591
141	1	2.927994	0	2.927994	0.03613405
142	0	3.043199	0	3.043199	0.02667488
143	1	2.051615	0	2.051615	0.01190592
144	0	2.815164	0	2.815164	0.04051801
145	1	2.272197	0	2.272197	0.05649945
146	0	2.826987	0	2.826987	0.04009857
147	1	3.036071	0	3.036071	0.02531402
148	0	3.042462	0	3.042462	0.02641263
149	1	1.678778	0	1.678778	0.07188582
150	0	1.338909	0	1.338909	0.08057563
151	1	2.683784	0	2.683784	0.04483407
152	0	2.482971	0	2.482971	0.05073597
153	1	1.712426	0	1.712426	0.07102575
154	0	2.566552	0	2.566552	0.01534225
155	1	2.825814	0	2.825814	0.01847899
156	0	2.516723	0	2.516723	0.04978058
157	1	3.042269	0	3.042269	0.02635707
158	0	2.924725	0	2.924725	0.02044671
159	1	-0.1098949	0	-0.1098949	0.1190752
160	0	3.043775	0	3.043775	0.02707469
161	1	3.025851	0	3.025851	0.03044382
162	0	2.597304	0	2.597304	0.01563336
163	1	2.997835	0	2.997835	0.02279088
164	0	1.734142	0	1.734142	0.07047041
165	1	3.04382	0	3.04382	0.02728819
166	0	2.632598	0	2.632598	0.04639648
167	1	2.988609	0	2.988609	0.03310594
168	0	3.001695	0	3.001695	0.02296567
169	1	2.767019	0	2.767019	0.04216412
170	0	-2.350675	0	-2.350675	0.1875295
171	1	2.920231	0	2.920231	0.03647241
172	0	1.69439	0	1.69439	0.07148681
173	1	2.175805	0	2.175805	0.05905493
174	0	0.05268052	0	0.05268052	0.1145747
175	1	1.276381	0	1.276381	0.08217965
176	0	2.357752	0	2.357752	0.01368679
177	1	-1.493416	0	-1.493416	0.1598126
178	0	2.105201	0	2.105201	0.01217872
179	1	3.035827	0	3.035827	0.0293356
180	0	3.042144	0	3.042144	0.0281789
181	1	1.679444	0	1.679444	0.0718688
182	0	3.039129	0	3.039129	0.0257281
183	1	3.043771	0	3.043771	0.02706844
184	0	-0.1016113	0	-0.1016113	0.1188446
185	1	3.043039	0	3.043039	0.02787706
186	0	1.866906	0	1.866906	0.06706885
187	1	0.9695403	0	0.9695403	0.09010167
188	0	2.424715	0	2.424715	0.05236022
189	1	2.809379	0	2.809379	0.04072082
190	0	-5.028545	0	-5.028545	0.2885111
191	1	2.946733	0	2.946733	0.02102396
192	0	2.849299	0	2.849299	0.01888034
193	1	-0.9877811	0	-0.9877811	0.1443864
194	0	2.689598	0	2.689598	0.01661146
195	1	1.009063	0	1.009063	0.08907562
196	0	2.9191	0	2.9191	0.02031034
197	1	2.367014	0	2.367014	0.05394299
198	0	2.222008	0	2.222008	0.05783467
199	1	3.025133	0	3.025133	0.02431116
200	0	2.928662	0	2.928662	0.02054466
201	1	2.557044	0	2.557044	0.04862306
202	0	1.867932	0	1.867932	0.06704251
203	1	3.00155	0	3.00155	0.02295892
204	0	3.011011	0	3.011011	0.02343028
205	1	2.738132	0	2.738132	0.04311232
206	0	2.716531	0	2.716531	0.04380552
207	1	3.043757	0	3.043757	0.02704922
208	0	1.998486	0	1.998486	0.06367865
209	1	2.961368	0	2.961368	0.03457233
210	0	3.042925	0	3.042925	0.02792237
211	1	2.66608	0	2.66608	0.04538022
212	0	3.042337	0	3.042337	0.02812227
213	1	3.020506	0	3.020506	0.03091886
214	0	3.014056	0	3.014056	0.0235984
215	1	3.039948	0	3.039948	0.02868108
216	0	3.011778	0	3.011778	0.0316021
217	1	3.031411	0	3.031411	0.02987631
218	0	2.334617	0	2.334617	0.0548221
219	1	0.7104733	0	0.7104733	0.09687823
220	0	1.165979	0	1.165979	0.08501928
221	1	2.960403	0	2.960403	0.02142534
222	0	3.04107	0	3.04107	0.02607306
223	1	3.043764	0	3.043764	0.02705942
224	0	2.94027	0	2.94027	0.03558179
225	1	0.7269915	0	0.7269915	0.0964433
226	0	2.664278	0	2.664278	0.04543544
227	1	2.279561	0	2.279561	0.05630259
228	0	2.217082	0	2.217082	0.05796515
229	1	3.026718	0	3.026718	0.02443112
230	0	2.969905	0	2.969905	0.02172911
231	1	2.139874	0	2.139874	0.05999879
232	0	2.987487	0	2.987487	0.03317133
233	1	2.7599	0	2.7599	0.04240023
234	0	3.024932	0	3.024932	0.03052951
235	1	2.598887	0	2.598887	0.04740028
236	0	1.043732	0	1.043732	0.08817711
237	1	2.972387	0	2.972387	0.02181236
238	0	2.895981	0	2.895981	0.01978839
239	1	1.616768	0	1.616768	0.01009601
240	0	2.905196	0	2.905196	0.03710715
241	1	1.959231	0	1.959231	0.06469278
242	0	1.132489	0	1.132489	0.08588285
243	1	1.456104	0	1.456104	0.07757555
244	0	2.501913	0	2.501913	0.01477566
245	1	3.021407	0	3.021407	0.02404987
246	0	2.660467	0	2.660467	0.04555206
247	1	0.5350997	0	0.5350997	0.1015222
248	0	1.467465	0	1.467465	0.07728504
249	1	0.9534453	0	0.9534453	0.09052006
250	0	2.240827	0	2.240827	0.01293716
251	1	2.700696	0	2.700696	0.01674164
252	0	3.033652	0	3.033652	0.02504622
253	1	1.455119	0	1.455119	0.07760073
254	0	1.988125	0	1.988125	0.01159961
255	1	0.7069552	0	0.7069552	0.09697091
256	0	2.850783	0	2.850783	0.03923223
