Iteration	Posterior	Likelihood	Prior	birth_rate
0	2.25453	0	2.25453	0.0569707
10	3.026033	0	3.026033	0.02437854
20	3.03652	0	3.03652	0.02536854
30	1.802874	0	1.802874	0.06871111
40	3.043794	0	3.043794	0.02710873
50	2.58373	0	2.58373	0.04784599
60	3.026842	0	3.026842	0.0244407
70	1.646507	0	1.646507	0.07271042
80	-0.19166	0	-0.19166	0.1213594
90	1.502777	0	1.502777	0.00971108
100	2.91006	0	2.91006	0.03690455
110	2.701206	0	2.701206	0.04428998
120	3.043755	0	3.043755	0.0274258
130	3.016383	0	3.016383	0.0237337
140	-1.020669	0	-1.020669	0.1453701
150	2.928647	0	2.928647	0.02054427
160	2.657804	0	2.657804	0.04563336
170	3.009724	0	3.009724	0.02336187
180	2.802028	0	2.802028	0.04097644
190	2.853501	0	2.853501	0.01895561
200	3.035848	0	3.035848	0.02933284
210	2.930055	0	2.930055	0.02057982
220	3.033157	0	3.033157	0.02499575
230	2.64935	0	2.64935	0.04589057
240	1.121716	0	1.121716	0.08616085
250	2.280994	0	2.280994	0.05626424
260	0.31142	0	0.31142	0.1075206
270	-0.8893217	0	-0.8893217	0.1414576
280	2.61458	0	2.61458	0.04693523
290	1.666057	0	1.666057	0.0722109
300	2.462194	0	2.462194	0.05131861
310	1.85441	0	1.85441	0.01100696
320	3.043118	0	3.043118	0.02664006
330	3.026301	0	3.026301	0.02439896
340	2.776976	0	2.776976	0.04183095
350	2.832547	0	2.832547	0.0398989
360	1.077516	0	1.077516	0.08730282
370	1.836196	0	1.836196	0.06785698
380	2.778492	0	2.778492	0.01775388
390	0.07971121	0	0.07971121	0.1138317
400	3.043822	0	3.043822	0.02719183
410	2.003355	0	2.003355	0.01167151
420	2.906189	0	2.906189	0.03706599
430	2.634451	0	2.634451	0.04634076
440	2.261677	0	2.261677	0.05678022
450	2.861531	0	2.861531	0.01910266
460	1.543968	0	1.543968	0.009846766
470	2.597389	0	2.597389	0.01563418
480	0.7457767	0	0.7457767	0.007730713
490	2.749381	0	2.749381	0.04274615
500	1.077802	0	1.077802	0.08729543
510	2.848696	0	2.848696	0.01886964
520	0.4780767	0	0.4780767	0.1030431
530	1.336872	0	1.336872	0.009199745
540	2.297851	0	2.297851	0.01329013
550	2.74681	0	2.74681	0.04283016
560	2.999411	0	2.999411	0.02286115
570	3.037494	0	3.037494	0.02909619
580	3.038531	0	3.038531	0.02893218
590	3.002502	0	3.002502	0.02300337
600	3.035921	0	3.035921	0.02529617
610	0.4135928	0	0.4135928	0.1047697
620	2.273237	0	2.273237	0.05647166
630	3.042045	0	3.042045	0.02629702
640	2.505034	0	2.505034	0.05011276
650	1.738811	0	1.738811	0.07035099
660	2.958059	0	2.958059	0.03473654
670	2.415965	0	2.415965	0.05260176
680	2.849625	0	2.849625	0.01888614
690	2.765584	0	2.765584	0.04221185
700	2.608161	0	2.608161	0.04712591
710	3.043199	0	3.043199	0.02667488
720	2.815164	0	2.815164	0.04051801
730	2.826987	0	2.826987	0.04009857
740	3.042462	0	3.042462	0.02641263
750	1.338909	0	1.338909	0.08057563
760	2.482971	0	2.482971	0.05073597
770	2.566552	0	2.566552	0.01534225
780	2.516723	0	2.516723	0.04978058
790	2.924725	0	2.924725	0.02044671
800	3.043775	0	3.043775	0.02707469
810	2.597304	0	2.597304	0.01563336
820	1.734142	0	1.734142	0.07047041
830	2.632598	0	2.632598	0.04639648
840	3.001695	0	3.001695	0.02296567
850	-2.350675	0	-2.350675	0.1875295
860	1.69439	0	1.69439	0.07148681
870	0.05268052	0	0.05268052	0.1145747
880	2.357752	0	2.357752	0.01368679
890	2.105201	0	2.105201	0.01217872
900	3.042144	0	3.042144	0.0281789
910	3.039129	0	3.039129	0.0257281
920	-0.1016113	0	-0.1016113	0.1188446
930	1.866906	0	1.866906	0.06706885
940	2.424715	0	2.424715	0.05236022
950	-5.028545	0	-5.028545	0.2885111
960	2.849299	0	2.849299	0.01888034
