Iteration	Posterior	Likelihood	Prior	birth_rate
0	-198.8618	-201.3684	2.506622	0.05006772
10	-194.9392	-197.9756	3.036403	0.02535418
20	-194.208	-197.2436	3.035535	0.02937513
30	-194.5466	-197.5902	3.043693	0.02697586
40	-194.556	-197.4738	2.917861	0.0365742
50	-194.135	-197.1595	3.024492	0.0305699
60	-194.678	-197.7203	3.042295	0.02636433
70	-194.5517	-197.4702	2.918464	0.03654835
80	-195.0494	-197.9048	2.855438	0.03905891
90	-194.1216	-197.1403	3.018639	0.03107325
100	-194.1608	-197.1505	2.989669	0.03304369
110	-196.1537	-198.8939	2.740224	0.04304451
120	-194.2519	-197.2906	3.038611	0.02891888
130	-194.188	-197.1701	2.982112	0.03347762
140	-195.4309	-198.4495	3.018637	0.02387112
150	-195.1403	-198.1702	3.029966	0.0246978
160	-194.2699	-197.234	2.964099	0.03443484
170	-194.2522	-197.2199	2.967627	0.03425462
180	-194.4873	-197.4151	2.927807	0.0361423
190	-194.1206	-197.1284	3.007791	0.03188709
200	-195.2414	-198.0751	2.833703	0.03985718
210	-194.6084	-197.6516	3.043203	0.02667671
220	-194.7993	-197.6849	2.885555	0.03790167
230	-194.4004	-197.3416	2.941217	0.03553822
240	-194.2675	-197.2321	2.964582	0.03441035
250	-194.1704	-197.2018	3.031442	0.02987293
260	-194.1459	-197.1732	3.027252	0.03030923
270	-194.3511	-197.3935	3.042338	0.02812176
280	-194.8043	-197.6892	2.88493	0.0379264
290	-194.2047	-197.1827	2.978013	0.03370418
300	-194.121	-197.1392	3.018199	0.03110884
310	-194.5643	-197.6079	3.043587	0.02688787
320	-195.5192	-198.323	2.803785	0.04091555
330	-194.2645	-197.3037	3.03928	0.02880396
340	-197.0316	-199.691	2.659399	0.04558467
350	-194.2124	-197.1886	2.976213	0.03380187
360	-194.199	-197.2337	3.034712	0.02948303
370	-194.5262	-197.4483	2.922109	0.03639126
380	-194.4404	-197.484	3.043632	0.02755137
390	-194.2797	-197.2419	2.962208	0.03453024
400	-194.8279	-197.8672	3.039321	0.02575832
410	-194.9576	-197.9934	3.035875	0.02529076
420	-194.2001	-197.1792	2.979115	0.03364379
430	-194.1311	-197.1543	3.023229	0.03068366
440	-194.6653	-197.7078	3.042485	0.02641942
450	-194.1238	-197.1289	3.005128	0.03207016
460	-194.285	-197.2462	2.961198	0.03458082
470	-194.2119	-197.2477	3.035861	0.02933102
480	-194.1994	-197.1786	2.979284	0.03363455
490	-194.4574	-197.5012	3.043734	0.02745241
500	-194.1187	-197.129	3.010352	0.03170566
510	-194.1367	-197.1617	3.024986	0.03052453
520	-194.1395	-197.1652	3.025733	0.03045491
530	-194.1323	-197.1326	3.000258	0.03239171
540	-195.6008	-198.3961	2.795281	0.041209
550	-195.4441	-198.2558	2.811726	0.04063874
560	-194.8612	-197.7391	2.877867	0.03820348
570	-194.3874	-197.3307	2.943322	0.03544088
580	-194.1582	-197.1878	3.029598	0.03007205
590	-195.2702	-198.1007	2.830527	0.03997163
600	-194.3773	-197.4201	3.042869	0.02794384
610	-194.1547	-197.1463	2.991605	0.03292866
620	-194.2643	-197.3036	3.039275	0.02880496
