Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-215.6027	-219.7237	4.120939	0.1024586	0.03500562	0.067453	0.03500562
10	-198.1728	-203.6329	5.460064	0.06175406	0.02177445	0.0399796	0.02177445
20	-195.9304	-201.3302	5.399726	0.04516231	0.02573649	0.01942582	0.02573649
30	-217.6011	-221.5304	3.929217	0.1095733	0.04161345	0.06795986	0.04161345
40	-193.7323	-199.3551	5.622806	0.02552353	0.004753976	0.02076956	0.004753976
50	-219.5039	-222.8008	3.296934	0.1713209	0.1395903	0.03173066	0.1395903
60	-231.1328	-231.9121	0.7792842	0.2731923	0.2621814	0.01101099	0.2621814
70	-197.2006	-202.0935	4.892868	0.04183159	0.02766568	0.01416591	0.02766568
80	-198.6673	-203.9943	5.326975	0.06457999	0.0335578	0.03102219	0.0335578
90	-203.5865	-208.3624	4.775922	0.08571323	0.05654066	0.02917257	0.05654066
100	-199.7612	-205.0154	5.25426	0.06878026	0.03380184	0.03497843	0.03380184
110	-212.4955	-216.4361	3.940637	0.1293548	0.09804659	0.03130819	0.09804659
120	-217.8408	-221.7118	3.870981	0.1127223	0.04621804	0.0665043	0.04621804
130	-206.1918	-210.668	4.476191	0.0981694	0.07082584	0.02734357	0.07082584
140	-238.2664	-241.0002	2.733786	0.1415841	0.04500295	0.09658119	0.04500295
150	-194.9507	-200.5106	5.559895	0.02964479	0.01268962	0.01695517	0.01268962
160	-199.5416	-204.261	4.719363	0.06018264	0.04373027	0.01645236	0.04373027
170	-226.3484	-229.0559	2.707475	0.2168379	0.1823713	0.03446658	0.1823713
180	-216.3419	-220.6117	4.26977	0.09275491	0.01631373	0.07644117	0.01631373
190	-196.4621	-202.066	5.603901	0.05603104	0.02076631	0.03526473	0.02076631
200	-199.5506	-204.739	5.188446	0.06795787	0.03967278	0.02828509	0.03967278
210	-201.2937	-206.2764	4.982613	0.07542171	0.04799387	0.02742784	0.04799387
220	-196.8449	-202.3553	5.510417	0.05684852	0.02740473	0.02944379	0.02740473
230	-194.3661	-199.5502	5.184089	0.02328837	0.002621315	0.02066705	0.002621315
240	-221.5257	-224.709	3.183255	0.1763439	0.1379969	0.03834695	0.1379969
250	-195.7558	-201.4304	5.674536	0.05334517	0.01781672	0.03552845	0.01781672
260	-212.9346	-216.8714	3.936726	0.1297535	0.09560785	0.03414562	0.09560785
270	-222.3356	-226.2386	3.902973	0.09571526	0.007760423	0.08795484	0.007760423
280	-213.4491	-217.3189	3.869769	0.08008634	0.003072381	0.07701396	0.003072381
290	-202.5211	-207.1352	4.614017	0.07871273	0.05843657	0.02027616	0.05843657
300	-200.8794	-206.1053	5.225883	0.06987756	0.02540696	0.0444706	0.02540696
310	-199.6752	-204.9438	5.268651	0.0683568	0.03285144	0.03550535	0.03285144
320	-223.9668	-227.8332	3.866372	0.1025733	0.01504484	0.08752845	0.01504484
330	-197.4591	-202.7522	5.293132	0.05505687	0.005648305	0.04940856	0.005648305
340	-215.7596	-219.4179	3.658242	0.1467436	0.1138058	0.03293779	0.1138058
350	-202.3757	-207.4203	5.044563	0.07694998	0.03567077	0.0412792	0.03567077
360	-201.0212	-205.809	4.787829	0.07151546	0.05110435	0.0204111	0.05110435
370	-197.7769	-202.6753	4.898421	0.05411952	0.003189749	0.05092977	0.003189749
380	-207.736	-212.1248	4.38883	0.1048814	0.07406967	0.03081173	0.07406967
390	-198.1329	-203.4742	5.341331	0.06184884	0.03390231	0.02794653	0.03390231
400	-227.9572	-231.6222	3.665045	0.1042703	0.00966064	0.09460968	0.00966064
410	-219.966	-222.9532	2.987167	0.1817126	0.1599649	0.02174768	0.1599649
420	-204.2286	-209.2244	4.995774	0.07028415	0.009970698	0.06031346	0.009970698
430	-220.3435	-223.9935	3.65005	0.1210885	0.05317328	0.06791519	0.05317328
440	-198.8758	-204.1053	5.22959	0.06462113	0.03812332	0.0264978	0.03812332
450	-209.2809	-213.4946	4.213701	0.1132102	0.08389561	0.02931459	0.08389561
460	-198.0276	-203.3946	5.366985	0.05718905	0.007538164	0.04965089	0.007538164
470	-205.4446	-210.3797	4.935047	0.07619774	0.01786147	0.05833628	0.01786147
480	-198.2362	-203.0318	4.795567	0.05096098	0.03579218	0.0151688	0.03579218
490	-199.3658	-204.2753	4.909523	0.06227826	0.04329616	0.0189821	0.04329616
500	-194.1099	-199.8335	5.723568	0.03224486	0.01273272	0.01951214	0.01273272
510	-203.4352	-208.5159	5.080719	0.07063598	0.01372711	0.05690887	0.01372711
520	-192.1477	-197.7855	5.637784	0.03448182	0.004162482	0.03031934	0.004162482
530	-193.4793	-199.1421	5.66273	0.04400209	0.005930091	0.038072	0.005930091
540	-197.6597	-202.9338	5.274133	0.05720059	0.03458181	0.02261878	0.03458181
