Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-192.4082	-198.291	5.882878	0.03510808	0.00730476	0.02780332	0.00730476
10	-193.625	-198.8121	5.187099	0.02501837	0.002474949	0.02254342	0.002474949
20	-192.4424	-197.4821	5.039743	0.03415225	0.002121051	0.0320312	0.002121051
30	-192.6456	-197.5255	4.879934	0.03024367	0.001792695	0.02845098	0.001792695
40	-192.8764	-198.7491	5.872692	0.03181483	0.00820184	0.02361299	0.00820184
50	-192.4312	-197.471	5.039821	0.03193545	0.00207232	0.02986313	0.00207232
60	-194.065	-199.8068	5.741768	0.03659281	0.01541403	0.02117878	0.01541403
70	-192.7706	-198.6726	5.901975	0.03431469	0.009131498	0.02518319	0.009131498
80	-192.6785	-198.5712	5.892663	0.03878898	0.008649729	0.03013926	0.008649729
90	-192.9449	-198.791	5.846112	0.04142468	0.008237688	0.03318699	0.008237688
100	-193.1735	-199.0437	5.870191	0.04225432	0.00999825	0.03225607	0.00999825
110	-193.4064	-199.2525	5.846091	0.03457101	0.01194623	0.02262478	0.01194623
120	-192.4778	-198.3013	5.823506	0.03140937	0.006021332	0.02538804	0.006021332
130	-195.6791	-201.0382	5.359115	0.03901026	0.02188083	0.01712943	0.02188083
140	-192.5342	-198.4311	5.89687	0.03443484	0.007941707	0.02649313	0.007941707
150	-192.7811	-198.5826	5.801566	0.04068841	0.006867081	0.03382133	0.006867081
160	-194.5856	-200.3126	5.726943	0.04491434	0.01950437	0.02540997	0.01950437
170	-193.4817	-199.3243	5.842575	0.03625924	0.01304837	0.02321087	0.01304837
180	-192.6919	-198.0475	5.35564	0.03888618	0.003173512	0.03571266	0.003173512
190	-193.5251	-197.7259	4.200787	0.03768897	0.001192769	0.0364962	0.001192769
200	-192.1565	-197.7947	5.638187	0.03480067	0.004186779	0.03061389	0.004186779
210	-192.151	-197.7791	5.628077	0.03295149	0.004023818	0.02892767	0.004023818
220	-195.1034	-200.8348	5.731432	0.05067196	0.01704191	0.03363005	0.01704191
230	-193.3596	-199.1771	5.817549	0.02958645	0.008196594	0.02138986	0.008196594
240	-192.8132	-198.6998	5.886623	0.03277045	0.008545485	0.02422496	0.008545485
250	-195.9865	-201.6164	5.629943	0.05386509	0.02214073	0.03172435	0.02214073
260	-194.4295	-199.1161	4.686525	0.04393989	0.001911012	0.04202887	0.001911012
270	-193.7618	-199.5066	5.74473	0.02721403	0.007062592	0.02015144	0.007062592
280	-192.7072	-198.6166	5.909394	0.03764743	0.009329621	0.02831781	0.009329621
