Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-220.5838	-200.3173	-20.26651	0.04502525	0.01950049	0.02552476	0.01950049
10	-220.3343	-208.1975	-12.13678	0.08246055	0.06731548	0.01514506	0.06731548
20	-219.3317	-205.258	-14.07371	0.06826461	0.04837447	0.01989014	0.04837447
30	-219.6152	-203.472	-16.14313	0.05265129	0.03842562	0.01422567	0.03842562
40	-220.1724	-207.9031	-12.26929	0.0811957	0.06521334	0.01598236	0.06521334
50	-221.6798	-202.7818	-18.89797	0.0391183	0.02818425	0.01093405	0.02818425
60	-220.5667	-206.3513	-14.21547	0.06679363	0.05644213	0.0103515	0.05644213
70	-220.1898	-205.4108	-14.77892	0.07120326	0.04283244	0.02837082	0.04283244
80	-219.5678	-204.7347	-14.83305	0.06059092	0.04661911	0.01397181	0.04661911
90	-219.4944	-205.5527	-13.94175	0.07075446	0.04875868	0.02199578	0.04875868
100	-219.3353	-205.1989	-14.13645	0.06821038	0.0477783	0.02043209	0.0477783
110	-219.788	-201.3465	-18.44147	0.04992349	0.02536475	0.02455874	0.02536475
120	-219.1321	-203.41	-15.72206	0.05781634	0.03825157	0.01956478	0.03825157
130	-219.4831	-203.7676	-15.71547	0.055198	0.0405372	0.0146608	0.0405372
140	-220.2686	-201.586	-18.68266	0.05297143	0.02445884	0.02851259	0.02445884
150	-219.2042	-204.5226	-14.68161	0.06305631	0.04495934	0.01809697	0.04495934
160	-219.7115	-202.7488	-16.96266	0.05804165	0.03129135	0.0267503	0.03129135
170	-220.3849	-206.6529	-13.73205	0.07729531	0.04977763	0.02751767	0.04977763
180	-221.1923	-202.943	-18.24928	0.05985026	0.02625484	0.03359541	0.02625484
190	-219.2722	-203.5624	-15.70983	0.06073848	0.03767165	0.02306683	0.03767165
200	-219.2041	-203.0947	-16.10933	0.05770462	0.03570401	0.02200061	0.03570401
210	-220.0877	-207.0173	-13.07045	0.07894256	0.05493369	0.02400888	0.05493369
220	-219.3385	-202.1585	-17.18005	0.05082175	0.03096427	0.01985749	0.03096427
230	-219.2658	-204.8322	-14.43359	0.06432077	0.04691982	0.01740095	0.04691982
