Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-200.4868	-205.7291	5.242324	0.06307678	0.009338605	0.05373817	0.009338605
10	-207.9832	-212.5877	4.604458	0.09081384	0.03859984	0.05221399	0.03859984
20	-195.6166	-201.2911	5.67449	0.05251557	0.02008855	0.03242702	0.02008855
30	-224.1311	-227.0816	2.950512	0.1930273	0.1540585	0.03896883	0.1540585
40	-200.7486	-205.9787	5.230137	0.06986982	0.02640494	0.04346488	0.02640494
50	-203.6753	-208.4867	4.811376	0.08565321	0.05362762	0.03202559	0.05362762
60	-244.8139	-246.1619	1.34802	0.2641959	0.193715	0.07048091	0.193715
70	-235.3164	-237.9714	2.654943	0.1516487	0.0649188	0.08672986	0.0649188
80	-194.7591	-200.3939	5.634771	0.04130953	0.01998209	0.02132744	0.01998209
90	-194.6261	-200.313	5.686908	0.04864357	0.008474303	0.04016927	0.008474303
100	-195.0505	-200.781	5.730484	0.05064354	0.01323384	0.0374097	0.01323384
110	-199.5076	-204.762	5.254374	0.06801369	0.03548446	0.03252923	0.03548446
120	-292.5095	-293.5508	1.041309	0.1838347	0.01768074	0.1661539	0.01768074
130	-196.136	-201.7165	5.580451	0.05360278	0.02506769	0.02853509	0.02506769
140	-198.8461	-202.9721	4.125962	0.03936482	0.02898968	0.01037514	0.02898968
150	-226.7746	-229.8652	3.090539	0.1440192	0.07244342	0.07157582	0.07244342
160	-193.2225	-198.5522	5.329661	0.04161263	0.003320585	0.03829205	0.003320585
170	-230.8985	-232.5597	1.661261	0.2760564	0.2592023	0.0168541	0.2592023
180	-274.3628	-275.8248	1.461931	0.1728164	0.02884551	0.1439709	0.02884551
190	-194.7685	-200.4112	5.6427	0.04202099	0.02023182	0.02178916	0.02023182
200	-208.0288	-212.5624	4.533629	0.09580023	0.04898844	0.04681179	0.04898844
210	-196.0387	-201.6227	5.584004	0.05297153	0.009173857	0.04379767	0.009173857
220	-205.921	-210.7721	4.851139	0.08063264	0.02551542	0.05511722	0.02551542
230	-230.384	-233.816	3.431993	0.1048086	0.006096095	0.09871253	0.006096095
240	-209.7523	-214.3277	4.575345	0.08837712	0.02715356	0.06122356	0.02715356
250	-238.9585	-241.4633	2.504864	0.1536753	0.06065742	0.09301784	0.06065742
260	-216.515	-220.7824	4.267439	0.09229686	0.01510685	0.07719001	0.01510685
270	-222.7235	-226.1674	3.443882	0.1291456	0.05978099	0.06936462	0.05978099
280	-195.7394	-201.3339	5.594509	0.05201039	0.00865856	0.04335183	0.00865856
290	-212.2094	-216.206	3.99659	0.1263729	0.09293294	0.03343993	0.09293294
300	-204.1002	-208.2425	4.142258	0.08320737	0.06719541	0.01601196	0.06719541
310	-194.0368	-199.5267	5.489902	0.02433452	0.00387196	0.02046256	0.00387196
320	-196.5968	-202.0681	5.471311	0.05403502	0.02883095	0.02520406	0.02883095
330	-228.3219	-231.8513	3.529379	0.1145146	0.02459973	0.08991485	0.02459973
