Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-200.936	-180.265	-20.67105	0.000112686	0.000105748	8.84715e-05	9.02317e-05	0.000119776	0.000124286	0.000113146	0.00013269	0.000103315	0.000109014	9.48498e-05	0.1779	-9.09091	-9.15445	-9.33283	-9.31313	-9.02988	-8.99293	-9.08683	-8.92749	-9.17773	-9.12403	-9.26322	-6.51726	-6.65541	-4.35875	-3.60278	-2.42612	-3.01976	-3.26793	-3.38089	-3.70561	-6.10633	-4.1661	0.00147771	0.00128704	0.0127944	0.0272478	0.088379	0.0488127	0.0380851	0.0340172	0.0245852	0.00222872	0.0155127	1.58813
10	-181.4117	-184.4651	3.053403	0.00121633	0.0011984	0.00117408	0.00119909	0.00118988	0.00122585	0.00121313	0.00123458	0.00122924	0.00124081	0.0012843	0.02175344	-6.71192	-6.72677	-6.74727	-6.72619	-6.7339	-6.70412	-6.71455	-6.69702	-6.70136	-6.69199	-6.65754	-4.98837	-4.9272	-4.39918	-3.80779	-2.05911	-1.83612	-3.87684	-3.27923	-3.32231	-2.89266	-4.71495	0.00681676	0.00724677	0.0122874	0.0221971	0.127567	0.159435	0.0207161	0.0376573	0.0360694	0.0554287	0.00896036	1.003371
20	-181.989	-179.783	-2.205974	5.16263e-05	5.15006e-05	5.40146e-05	5.42654e-05	5.70591e-05	6.03179e-05	5.79611e-05	5.8517e-05	5.6417e-05	5.49864e-05	5.56947e-05	0.0334133	-9.87148	-9.87392	-9.82626	-9.82162	-9.77142	-9.71588	-9.75574	-9.74619	-9.78274	-9.80842	-9.79563	-6.49961	-5.59203	-3.61898	-3.33568	-2.49552	-2.59356	-3.92011	-4.57103	-5.17163	-5.46272	-4.22563	0.00150402	0.00372744	0.02681	0.0355902	0.0824532	0.0747532	0.019839	0.0103473	0.00567533	0.00424201	0.0146161	0.7430969
30	-209.3304	-177.1226	-32.20783	0.00232713	0.00121067	0.00127803	0.00187377	0.00169261	0.00373195	0.00358535	0.00342291	0.0024555	0.00207741	0.00156234	0.3520555	-6.06312	-6.71658	-6.66243	-6.2798	-6.38148	-5.59082	-5.6309	-5.67726	-6.00942	-6.17663	-6.46157	-6.32943	-7.71172	-4.09275	-3.51079	-2.24866	-2.25361	-3.68509	-5.01282	-3.87671	-5.18057	-3.05429	0.00178306	0.00044755	0.0166933	0.0298733	0.105541	0.105019	0.025095	0.00665214	0.0207188	0.0056248	0.0471564	1.852633
40	-204.775	-183.7559	-21.01908	0.00041693	0.000387365	0.000585699	0.000457509	0.00051496	0.000635189	0.000566357	0.000411127	0.000506898	0.000438015	0.000438156	0.1486558	-7.78259	-7.85614	-7.4427	-7.68971	-7.57142	-7.36159	-7.47629	-7.79661	-7.5872	-7.73326	-7.73294	-5.39634	-4.3237	-4.10957	-3.85943	-2.59069	-2.81782	-4.54948	-4.04815	-3.42112	-2.84935	-3.55933	0.00453312	0.0132507	0.0164148	0.02108	0.0749681	0.0597363	0.0105727	0.0174546	0.0326759	0.057882	0.0284578	1.023221
50	-207.6084	-179.5271	-28.08128	4.67921e-05	5.63017e-05	5.2309e-05	4.59055e-05	0.000106352	9.6348e-05	8.13719e-05	4.23967e-05	4.01126e-05	5.29104e-05	4.16031e-05	0.4884107	-9.9698	-9.78479	-9.85834	-9.98893	-9.14876	-9.24754	-9.41648	-10.0684	-10.1238	-9.84691	-10.0873	-6.59971	-5.7256	-4.7698	-3.31687	-2.11591	-2.41702	-3.64221	-2.88081	-4.01691	-4.45567	-2.8809	0.00136076	0.0032614	0.0084821	0.0362663	0.120524	0.0891868	0.0261943	0.0560894	0.0180085	0.0116126	0.056084	0.7908125
60	-216.8864	-181.0925	-35.79389	0.0430148	0.0493652	0.0120295	0.0440793	0.0375509	0.062147	0.0263343	0.0356489	0.0161752	0.0376953	0.0265989	0.8174238	-3.14621	-3.00851	-4.42039	-3.12177	-3.28206	-2.77825	-3.63688	-3.33404	-4.12428	-3.27822	-3.62689	-5.13523	-5.17771	-4.53862	-2.64458	-1.65967	-1.90611	-2.18486	-4.04618	-3.13396	-3.23532	-3.56526	0.00588568	0.00564089	0.0106881	0.0710352	0.190202	0.148658	0.112494	0.0174891	0.0435448	0.0393477	0.0282896	1.553433
70	-204.7051	-180.8369	-23.86827	0.00464483	0.0032525	0.00187001	0.00185282	0.00189153	0.00272128	0.00186418	0.00222848	0.00202201	0.00270769	0.00185651	0.2685794	-5.372	-5.72833	-6.28181	-6.29105	-6.27037	-5.90665	-6.28493	-6.10644	-6.20366	-5.91166	-6.28906	-5.98269	-5.15709	-3.52598	-2.80203	-2.52914	-2.35081	-3.157	-4.43737	-4.60415	-3.07701	-2.4609	0.00252204	0.00575844	0.0294229	0.0606868	0.0797274	0.0952921	0.0425533	0.011827	0.0100102	0.0460968	0.0853577	1.040659
80	-190.0846	-181.6726	-8.411981	0.016748	0.0152504	0.0156653	0.0156765	0.0141943	0.0160556	0.0156751	0.0169781	0.0161007	0.0169486	0.0174615	0.05981642	-4.08948	-4.18315	-4.15631	-4.15559	-4.25491	-4.1317	-4.15568	-4.07583	-4.12889	-4.07757	-4.04776	-5.64323	-5.31061	-3.74812	-3.0872	-2.50351	-2.35707	-3.94152	-4.182	-3.99429	-3.64603	-1.9133	0.0035414	0.0049389	0.0235619	0.0456294	0.081797	0.0946975	0.0194187	0.0152679	0.0184205	0.0260945	0.147593	0.9453708
90	-216.2368	-181.0492	-35.1876	0.000447916	0.000399891	0.00106281	0.0011799	0.0012856	0.00119757	0.0022028	0.00448112	0.00295187	0.00114495	0.00144258	0.3550078	-7.7109	-7.82432	-6.84684	-6.74233	-6.65653	-6.72746	-6.11802	-5.40788	-5.82532	-6.7724	-6.54132	-5.8075	-5.5718	-3.86065	-3.32522	-1.71344	-2.07651	-4.01353	-4.40734	-3.04645	-4.38141	-4.9062	0.00300493	0.00380361	0.0210543	0.0359648	0.180244	0.125366	0.0180695	0.0121875	0.0475273	0.0125077	0.00740054	1.587035
