Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-200.936	-180.265	-20.67105	0.000112686	0.000105748	8.84715e-05	9.02317e-05	0.000119776	0.000124286	0.000113146	0.00013269	0.000103315	0.000109014	9.48498e-05
10	-181.4117	-184.4651	3.053403	0.00121633	0.0011984	0.00117408	0.00119909	0.00118988	0.00122585	0.00121313	0.00123458	0.00122924	0.00124081	0.0012843
20	-181.989	-179.783	-2.205974	5.16263e-05	5.15006e-05	5.40146e-05	5.42654e-05	5.70591e-05	6.03179e-05	5.79611e-05	5.8517e-05	5.6417e-05	5.49864e-05	5.56947e-05
30	-209.3304	-177.1226	-32.20783	0.00232713	0.00121067	0.00127803	0.00187377	0.00169261	0.00373195	0.00358535	0.00342291	0.0024555	0.00207741	0.00156234
40	-204.775	-183.7559	-21.01908	0.00041693	0.000387365	0.000585699	0.000457509	0.00051496	0.000635189	0.000566357	0.000411127	0.000506898	0.000438015	0.000438156
50	-207.6084	-179.5271	-28.08128	4.67921e-05	5.63017e-05	5.2309e-05	4.59055e-05	0.000106352	9.6348e-05	8.13719e-05	4.23967e-05	4.01126e-05	5.29104e-05	4.16031e-05
60	-216.8864	-181.0925	-35.79389	0.0430148	0.0493652	0.0120295	0.0440793	0.0375509	0.062147	0.0263343	0.0356489	0.0161752	0.0376953	0.0265989
70	-204.7051	-180.8369	-23.86827	0.00464483	0.0032525	0.00187001	0.00185282	0.00189153	0.00272128	0.00186418	0.00222848	0.00202201	0.00270769	0.00185651
80	-190.0846	-181.6726	-8.411981	0.016748	0.0152504	0.0156653	0.0156765	0.0141943	0.0160556	0.0156751	0.0169781	0.0161007	0.0169486	0.0174615
90	-216.2368	-181.0492	-35.1876	0.000447916	0.000399891	0.00106281	0.0011799	0.0012856	0.00119757	0.0022028	0.00448112	0.00295187	0.00114495	0.00144258
100	-186.2831	-183.0308	-3.2523	0.0023159	0.00262963	0.00293953	0.00291545	0.00294585	0.00275319	0.00288643	0.00264793	0.00275603	0.00268347	0.00240417
110	-195.8324	-181.6935	-14.13884	0.000952553	0.00118201	0.00123234	0.00113708	0.00102787	0.0011947	0.00102774	0.000997218	0.0011495	0.00114925	0.00110709
120	-199.9137	-179.8311	-20.08262	0.0135778	0.0160227	0.0184879	0.0186012	0.0153577	0.0146074	0.0179435	0.0173679	0.0191087	0.0165313	0.0104404
130	-205.2456	-177.6638	-27.58185	0.0002748	0.000312352	0.000360916	0.000377563	0.00038944	0.00037228	0.000503378	0.000410291	0.000463859	0.000308398	0.000189205
140	-198.3133	-179.7743	-18.53896	0.000380141	0.000283273	0.000224068	0.00020457	0.000179013	0.000221183	0.000254207	0.000308997	0.000264941	0.000293921	0.00024048
150	-170.3091	-180.3926	10.08342	0.000715959	0.000705125	0.000711744	0.00072675	0.000725825	0.000719755	0.000730014	0.000735697	0.000744935	0.000730013	0.000739201
160	-209.7821	-181.6982	-28.08383	0.000517686	0.000419645	0.000325197	0.000482537	0.00113588	0.00101675	0.000696933	0.000758865	0.000879492	0.00122152	0.00109655
170	-173.917	-179.7197	5.802721	0.00673511	0.00691027	0.00693068	0.00714017	0.00701069	0.00694224	0.00707434	0.00698277	0.00690182	0.00691822	0.00694281
180	-200.6996	-182.1637	-18.53587	0.0256265	0.0220946	0.0185129	0.0209054	0.0193585	0.0246064	0.0207973	0.0214102	0.0272638	0.0167571	0.0183422
190	-205.6986	-182.905	-22.79364	0.00249187	0.00300164	0.00194687	0.00258756	0.00237291	0.00227004	0.00193122	0.0018623	0.00140182	0.00137387	0.00152107
200	-197.3444	-185.5147	-11.82968	0.00427064	0.0040098	0.00458393	0.00457081	0.00382217	0.00435524	0.00386575	0.00363138	0.00387981	0.00350942	0.00316587
210	-228.5687	-183.5405	-45.0282	0.00700107	0.138746	0.0762753	0.012351	0.0102482	0.00232234	0.00263231	0.00876221	0.00425742	0.0115219	0.016026
220	-213.0368	-179.88	-33.15678	0.000957628	0.000939187	0.000648566	0.00115837	0.00310234	0.00525341	0.00538179	0.00788634	0.00822315	0.00753515	0.00508682
