Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
0	-200.936	-180.265	-20.67105	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
10	-181.4117	-184.4651	3.053403	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
20	-181.989	-179.783	-2.205974	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
30	-209.3304	-177.1226	-32.20783	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
40	-204.775	-183.7559	-21.01908	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
50	-207.6084	-179.5271	-28.08128	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
60	-216.8864	-181.0925	-35.79389	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
70	-204.7051	-180.8369	-23.86827	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
80	-190.0846	-181.6726	-8.411981	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
90	-216.2368	-181.0492	-35.1876	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
100	-186.2831	-183.0308	-3.2523	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
110	-195.8324	-181.6935	-14.13884	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
120	-199.9137	-179.8311	-20.08262	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
130	-205.2456	-177.6638	-27.58185	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
140	-198.3133	-179.7743	-18.53896	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
150	-170.3091	-180.3926	10.08342	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
160	-209.7821	-181.6982	-28.08383	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
170	-173.917	-179.7197	5.802721	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
180	-200.6996	-182.1637	-18.53587	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
190	-205.6986	-182.905	-22.79364	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
200	-197.3444	-185.5147	-11.82968	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
210	-228.5687	-183.5405	-45.0282	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
220	-213.0368	-179.88	-33.15678	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
230	-213.6558	-179.0889	-34.56697	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
240	-211.7162	-178.0804	-33.63585	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
250	-215.9652	-180.6199	-35.34534	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
260	-218.112	-178.7932	-39.3188	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
270	-198.0804	-180.8943	-17.18608	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
280	-207.3616	-179.2676	-28.09401	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
290	-169.9467	-179.3661	9.41941	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
300	-211.9426	-180.289	-31.6536	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
310	-217.1329	-181.7002	-35.43271	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
320	-218.7197	-182.742	-35.97765	6.28314	12.5663	18.8494	25.1326	31.4157	37.6988	43.982	50.2651	56.5482	62.8314
