Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-200.936	-180.265	-20.67105	0.00147771	0.00128704	0.0127944	0.0272478	0.088379	0.0488127	0.0380851	0.0340172	0.0245852	0.00222872	0.0155127
10	-181.4117	-184.4651	3.053403	0.00681676	0.00724677	0.0122874	0.0221971	0.127567	0.159435	0.0207161	0.0376573	0.0360694	0.0554287	0.00896036
20	-181.989	-179.783	-2.205974	0.00150402	0.00372744	0.02681	0.0355902	0.0824532	0.0747532	0.019839	0.0103473	0.00567533	0.00424201	0.0146161
30	-209.3304	-177.1226	-32.20783	0.00178306	0.00044755	0.0166933	0.0298733	0.105541	0.105019	0.025095	0.00665214	0.0207188	0.0056248	0.0471564
40	-204.775	-183.7559	-21.01908	0.00453312	0.0132507	0.0164148	0.02108	0.0749681	0.0597363	0.0105727	0.0174546	0.0326759	0.057882	0.0284578
50	-207.6084	-179.5271	-28.08128	0.00136076	0.0032614	0.0084821	0.0362663	0.120524	0.0891868	0.0261943	0.0560894	0.0180085	0.0116126	0.056084
60	-216.8864	-181.0925	-35.79389	0.00588568	0.00564089	0.0106881	0.0710352	0.190202	0.148658	0.112494	0.0174891	0.0435448	0.0393477	0.0282896
70	-204.7051	-180.8369	-23.86827	0.00252204	0.00575844	0.0294229	0.0606868	0.0797274	0.0952921	0.0425533	0.011827	0.0100102	0.0460968	0.0853577
80	-190.0846	-181.6726	-8.411981	0.0035414	0.0049389	0.0235619	0.0456294	0.081797	0.0946975	0.0194187	0.0152679	0.0184205	0.0260945	0.147593
90	-216.2368	-181.0492	-35.1876	0.00300493	0.00380361	0.0210543	0.0359648	0.180244	0.125366	0.0180695	0.0121875	0.0475273	0.0125077	0.00740054
100	-186.2831	-183.0308	-3.2523	0.00392489	0.00450311	0.0113174	0.0389332	0.0541539	0.0533503	0.0346513	0.0194839	0.0209047	0.0190872	0.0199402
110	-195.8324	-181.6935	-14.13884	0.00836797	0.0135949	0.0153029	0.0297108	0.0770384	0.0838056	0.0154329	0.0182576	0.0573022	0.0187989	0.0407789
120	-199.9137	-179.8311	-20.08262	0.0029601	0.00171643	0.0155638	0.0504903	0.106025	0.0918428	0.0961874	0.0352019	0.0197612	0.0171784	0.0905524
