state	power	likelihood
2510	0.0418196	-274.475
2520	0.0418196	-287.523
2530	0.0418196	-221.603
2540	0.0418196	-264.503
2550	0.0418196	-225.635
2560	0.0418196	-227.027
2570	0.0418196	-230.569
2580	0.0418196	-269.993
2590	0.0418196	-244.246
2600	0.0418196	-246.53
2610	0.0418196	-221.389
2620	0.0418196	-257.106
2630	0.0418196	-225.129
2640	0.0418196	-225.795
2650	0.0418196	-216.852
2660	0.0418196	-230.054
2670	0.0418196	-232.35
2680	0.0418196	-224.984
2690	0.0418196	-237.005
2700	0.0418196	-237.152
2710	0.0418196	-216.849
2720	0.0418196	-216.544
2730	0.0418196	-222.677
2740	0.0418196	-256.457
2750	0.0418196	-236.906
2760	0.0418196	-234.745
2770	0.0418196	-226.434
2780	0.0418196	-239.131
2790	0.0418196	-228.576
2800	0.0418196	-217.188
2810	0.0418196	-234.077
2820	0.0418196	-243.588
2830	0.0418196	-244.815
2840	0.0418196	-216.314
2850	0.0418196	-220.391
2860	0.0418196	-222.301
2870	0.0418196	-220.276
2880	0.0418196	-245.497
2890	0.0418196	-216.86
2900	0.0418196	-216.526
2910	0.0418196	-244.325
2920	0.0418196	-256.304
2930	0.0418196	-238.916
2940	0.0418196	-238.79
2950	0.0418196	-219.541
2960	0.0418196	-235.86
2970	0.0418196	-232.121
2980	0.0418196	-241.426
2990	0.0418196	-253.171
3000	0.0418196	-220.309
3010	0.0418196	-242.365
3020	0.0418196	-220.407
3030	0.0418196	-220.183
3040	0.0418196	-236.681
3050	0.0418196	-219.166
3060	0.0418196	-231.013
3070	0.0418196	-227.596
3080	0.0418196	-217.262
3090	0.0418196	-236.606
3100	0.0418196	-226.384
3110	0.0418196	-222.407
3120	0.0418196	-231.327
3130	0.0418196	-243.145
3140	0.0418196	-242.604
3150	0.0418196	-220.831
3160	0.0418196	-240.902
3170	0.0418196	-229.474
3180	0.0418196	-239.565
3190	0.0418196	-257.696
3200	0.0418196	-219.837
3210	0.0418196	-217.826
3220	0.0418196	-219.865
3230	0.0418196	-241.575
3240	0.0418196	-215.999
3250	0.0418196	-241.364
3260	0.0418196	-256.443
3270	0.0418196	-220.551
3280	0.0418196	-222.848
3290	0.0418196	-227.472
3300	0.0418196	-236.224
3310	0.0418196	-233.079
3320	0.0418196	-222.829
3330	0.0418196	-254.579
3340	0.0418196	-241.761
3350	0.0418196	-230.426
3360	0.0418196	-268.57
3370	0.0418196	-241.233
3380	0.0418196	-222.492
3390	0.0418196	-256.445
3400	0.0418196	-219.654
3410	0.0418196	-229.454
3420	0.0418196	-249.09
3430	0.0418196	-221.17
3440	0.0418196	-219.971
3450	0.0418196	-216.823
3460	0.0418196	-224.248
3470	0.0418196	-237.93
3480	0.0418196	-237.748
3490	0.0418196	-226.716
3500	0.0418196	-220.184
3510	0.0418196	-232.381
3520	0.0418196	-253.053
3530	0.0418196	-218.332
3540	0.0418196	-233.133
