state	power	likelihood
2510	1	-216.044
2520	1	-219.593
2530	1	-219.359
2540	1	-216.41
2550	1	-215.71
2560	1	-216.541
2570	1	-215.314
2580	1	-220.444
2590	1	-215.596
2600	1	-218.217
2610	1	-215.834
2620	1	-216.846
2630	1	-215.831
2640	1	-219.331
2650	1	-217.031
2660	1	-216.156
2670	1	-216.589
2680	1	-218.205
2690	1	-217.893
2700	1	-215.481
2710	1	-216.709
2720	1	-216.442
2730	1	-217.053
2740	1	-219.455
2750	1	-215.326
2760	1	-215.684
2770	1	-215.416
2780	1	-216.602
2790	1	-216.385
2800	1	-216.666
2810	1	-217.995
2820	1	-217.061
2830	1	-217.479
2840	1	-216.701
2850	1	-216.056
2860	1	-218.119
2870	1	-216.363
2880	1	-216.504
2890	1	-216.699
2900	1	-216.779
2910	1	-217.289
2920	1	-216.936
2930	1	-216.581
2940	1	-218.192
2950	1	-217.222
2960	1	-217.279
2970	1	-215.686
2980	1	-218.13
2990	1	-217.043
3000	1	-216.737
3010	1	-216.375
3020	1	-215.686
3030	1	-216.924
3040	1	-216.938
3050	1	-217.981
3060	1	-216.194
3070	1	-217.237
3080	1	-216.528
3090	1	-215.518
3100	1	-216.955
3110	1	-216.496
3120	1	-216.575
3130	1	-215.33
3140	1	-215.186
3150	1	-219.143
3160	1	-217.608
3170	1	-219.865
3180	1	-219.36
3190	1	-216.936
3200	1	-217.165
3210	1	-214.98
3220	1	-218.302
3230	1	-215.441
3240	1	-216.383
3250	1	-218.832
3260	1	-216.183
3270	1	-215.943
3280	1	-215.06
3290	1	-215.217
3300	1	-218.096
3310	1	-215.102
3320	1	-217.955
3330	1	-217.358
3340	1	-218.346
3350	1	-217.296
3360	1	-217.367
3370	1	-216.787
3380	1	-214.953
3390	1	-218.245
3400	1	-218.347
3410	1	-218.055
3420	1	-215.479
3430	1	-216.773
3440	1	-216.306
3450	1	-216.538
3460	1	-216.205
3470	1	-216.531
3480	1	-217.965
3490	1	-216.494
3500	1	-216.383
3510	1	-217.207
3520	1	-219.844
3530	1	-218.011
3540	1	-217.826
3550	1	-219.112
3560	1	-217.857
3570	1	-216.253
3580	1	-215.843
3590	1	-216.731
3600	1	-215.805
3610	1	-216.666
3620	1	-215.712
3630	1	-217.626
3640	1	-217.155
3650	1	-215.579
3660	1	-215.514
3670	1	-216.647
3680	1	-217.299
3690	1	-217.85
3700	1	-217.478
3710	1	-216.44
3720	1	-216.107
3730	1	-218.132
3740	1	-215.758
3750	1	-215.477
3760	1	-217.554
3770	1	-216.744
3780	1	-216.994
3790	1	-215.433
3800	1	-216.203
3810	1	-217.033
3820	1	-220.109
3830	1	-216.848
3840	1	-215.781
3850	1	-215.842
3860	1	-215.268
3870	1	-216.455
3880	1	-220.119
3890	1	-215.981
3900	1	-216.518
3910	1	-218.072
3920	1	-215.5
3930	1	-217.88
3940	1	-216.068
3950	1	-216.63
3960	1	-216.756
3970	1	-215.718
3980	1	-215.716
3990	1	-216.231
4000	1	-220.606
4010	1	-215.327
4020	1	-216.322
4030	1	-217.121
4040	1	-216.09
4050	1	-218.059
4060	1	-216.746
4070	1	-216.487
4080	1	-215.605
4090	1	-220.109
4100	1	-216.342
4110	1	-216.121
4120	1	-215.914
4130	1	-216.087
4140	1	-218.012
4150	1	-215.379
4160	1	-215.905
4170	1	-215.28
4180	1	-216.029
4190	1	-217.796
4200	1	-216.287
4210	1	-215.882
4220	1	-216.28
4230	1	-216.454
4240	1	-215.672
4250	1	-216.435
4260	1	-221.233
4270	1	-215.851
4280	1	-215.625
4290	1	-220.223
4300	1	-215.496
4310	1	-217.678
4320	1	-216.139
4330	1	-216.205
4340	1	-216.539
4350	1	-215.895
4360	1	-216.002
4370	1	-217.172
4380	1	-216.746
4390	1	-216.447
4400	1	-216.015
4410	1	-215.544
4420	1	-215.895
4430	1	-216.574
4440	1	-215.687
4450	1	-217.846
4460	1	-215.924
4470	1	-215.996
4480	1	-216.459
4490	1	-216.56
4500	1	-216.183
4510	1	-215.374
4520	1	-215.92
4530	1	-216.247
4540	1	-216.599
4550	1	-216.954
4560	1	-215.646
4570	1	-218.054
4580	1	-217.147
4590	1	-216.464
4600	1	-219.149
4610	1	-216.251
4620	1	-215.479
4630	1	-216.988
4640	1	-217.916
4650	1	-216.376
4660	1	-217.638
4670	1	-217.944
4680	1	-215.473
4690	1	-215.662
4700	1	-215.53
4710	1	-216.629
4720	1	-216.839
4730	1	-215.975
4740	1	-217.063
4750	1	-216.041
4760	1	-217.345
4770	1	-218.19
4780	1	-216.016
4790	1	-215.335
4800	1	-218.369
4810	1	-215.161
4820	1	-216.828
4830	1	-216.501
4840	1	-216.216
4850	1	-216.104
4860	1	-217.089
4870	1	-215.499
4880	1	-215.409
4890	1	-216.466
4900	1	-219.011
4910	1	-216.736
4920	1	-217.261
4930	1	-216.219
4940	1	-216.945
4950	1	-216.392
4960	1	-217.967
4970	1	-215.646
4980	1	-217.986
4990	1	-216.201
5000	1	-216.492
5010	1	-217.68
5020	1	-215.557
5030	1	-216.34
5040	1	-215.376
5050	1	-216.682
5060	1	-216.247
5070	1	-216.234
5080	1	-218.53
5090	1	-217.542
5100	1	-215.925
5110	1	-217.091
5120	1	-215.795
5130	1	-216.453
5140	1	-216.671
5150	1	-216.61
5160	1	-215.583
5170	1	-216.482
5180	1	-216.904
5190	1	-217.618
5200	1	-217.183
5210	1	-215.562
5220	1	-216.408
5230	1	-216.594
5240	1	-216.26
5250	1	-217.575
5260	1	-217.433
5270	1	-217.017
5280	1	-217.906
5290	1	-218.67
5300	1	-215.514
5310	1	-216.007
5320	1	-216.909
5330	1	-216.517
5340	1	-218.645
5350	1	-217.215
5360	1	-215.219
5370	1	-217.596
5380	1	-215.243
5390	1	-216.385
5400	1	-217
5410	1	-216.387
5420	1	-217.323
5430	1	-217.327
5440	1	-216.671
5450	1	-216.359
5460	1	-216.989
5470	1	-216.157
5480	1	-219.001
5490	1	-216.998
5500	1	-216.381
5510	1	-217.346
5520	1	-215.283
5530	1	-215.973
5540	1	-217.946
5550	1	-215.622
5560	1	-217.086
5570	1	-215.284
5580	1	-216.979
5590	1	-215.372
5600	1	-218.428
5610	1	-215.634
5620	1	-217.274
5630	1	-216.026
5640	1	-216.631
5650	1	-216.442
5660	1	-216.084
5670	1	-217.934
5680	1	-215.13
5690	1	-217.515
5700	1	-217.43
5710	1	-216.869
