state	power	likelihood
2510	0.695688	-221.522
2520	0.695688	-215.708
2530	0.695688	-216.791
2540	0.695688	-215.897
2550	0.695688	-215.848
2560	0.695688	-216.926
2570	0.695688	-218.375
2580	0.695688	-217.322
2590	0.695688	-218.011
2600	0.695688	-219.975
2610	0.695688	-218.498
2620	0.695688	-217.349
2630	0.695688	-218.703
2640	0.695688	-217.977
2650	0.695688	-216.093
2660	0.695688	-215.782
2670	0.695688	-216.032
2680	0.695688	-219.583
2690	0.695688	-218.279
2700	0.695688	-218.646
2710	0.695688	-216.889
2720	0.695688	-216.359
2730	0.695688	-219.386
2740	0.695688	-217.325
2750	0.695688	-217.432
2760	0.695688	-218.376
2770	0.695688	-217.889
2780	0.695688	-216.422
2790	0.695688	-219.738
2800	0.695688	-216.13
2810	0.695688	-217.169
2820	0.695688	-217.226
2830	0.695688	-216.628
2840	0.695688	-217.204
2850	0.695688	-216.514
2860	0.695688	-221.174
2870	0.695688	-216.334
2880	0.695688	-219.245
2890	0.695688	-215.799
2900	0.695688	-216.81
2910	0.695688	-217.26
2920	0.695688	-215.119
2930	0.695688	-215.408
2940	0.695688	-219.116
2950	0.695688	-217.1
2960	0.695688	-216.535
2970	0.695688	-217.459
2980	0.695688	-220.647
2990	0.695688	-216.984
3000	0.695688	-215.608
3010	0.695688	-217.256
3020	0.695688	-216.154
3030	0.695688	-216.156
3040	0.695688	-218.997
3050	0.695688	-219.001
3060	0.695688	-218.011
3070	0.695688	-217.827
3080	0.695688	-220.613
3090	0.695688	-216.422
3100	0.695688	-215.895
3110	0.695688	-220.42
3120	0.695688	-215.341
3130	0.695688	-216.394
3140	0.695688	-219.942
3150	0.695688	-216.568
3160	0.695688	-217.221
3170	0.695688	-216.923
3180	0.695688	-217.059
3190	0.695688	-217.153
3200	0.695688	-215.857
3210	0.695688	-216.849
3220	0.695688	-219.289
3230	0.695688	-216.554
3240	0.695688	-218.548
3250	0.695688	-218.722
3260	0.695688	-216.358
3270	0.695688	-220.871
3280	0.695688	-215.593
3290	0.695688	-216.001
3300	0.695688	-220.376
3310	0.695688	-216.262
3320	0.695688	-216.558
3330	0.695688	-215.252
3340	0.695688	-215.357
3350	0.695688	-216.326
3360	0.695688	-215.609
3370	0.695688	-217.209
3380	0.695688	-216.904
3390	0.695688	-219.144
3400	0.695688	-217.336
3410	0.695688	-215.813
3420	0.695688	-219.323
3430	0.695688	-220.837
3440	0.695688	-217.148
3450	0.695688	-218.977
3460	0.695688	-217.013
3470	0.695688	-215.805
3480	0.695688	-219.027
3490	0.695688	-215.519
3500	0.695688	-218.827
3510	0.695688	-215.98
3520	0.695688	-217.228
3530	0.695688	-217.613
3540	0.695688	-217.847
3550	0.695688	-217.697
3560	0.695688	-216.481
3570	0.695688	-218.725
3580	0.695688	-218.437
3590	0.695688	-216.633
3600	0.695688	-217.166
3610	0.695688	-218.083
3620	0.695688	-218.669
3630	0.695688	-217.558
3640	0.695688	-218.743
3650	0.695688	-215.868
3660	0.695688	-214.975
3670	0.695688	-217.813
3680	0.695688	-216.033
3690	0.695688	-217.341
3700	0.695688	-217.852
3710	0.695688	-216.341
3720	0.695688	-216.009
3730	0.695688	-216.493
3740	0.695688	-218.325
3750	0.695688	-216.809
3760	0.695688	-218.076
3770	0.695688	-218.044
3780	0.695688	-216.712
3790	0.695688	-215.498
3800	0.695688	-215.762
3810	0.695688	-218.862
3820	0.695688	-216.042
3830	0.695688	-215.1
3840	0.695688	-215.436
3850	0.695688	-216.755
3860	0.695688	-216.407
3870	0.695688	-216.644
3880	0.695688	-220.113
3890	0.695688	-215.552
3900	0.695688	-219.361
3910	0.695688	-216.056
3920	0.695688	-216.835
3930	0.695688	-216.2
3940	0.695688	-217.914
3950	0.695688	-220.639
3960	0.695688	-219.131
3970	0.695688	-218.045
3980	0.695688	-216.468
3990	0.695688	-215.695
4000	0.695688	-216.618
4010	0.695688	-222.115
4020	0.695688	-217.862
4030	0.695688	-215.08
4040	0.695688	-216.75
4050	0.695688	-219.786
4060	0.695688	-216.727
4070	0.695688	-217.504
4080	0.695688	-217.546
4090	0.695688	-215.267
4100	0.695688	-215.37
4110	0.695688	-215.793
4120	0.695688	-218.894
4130	0.695688	-215.332
4140	0.695688	-217.467
4150	0.695688	-218.895
4160	0.695688	-215.418
4170	0.695688	-218.607
4180	0.695688	-217.925
4190	0.695688	-215.608
4200	0.695688	-217.891
