Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.198746	0	3.198746	0.01691309
1	1	3.007955	0	3.007955	0.03315958
2	0	0.012368	0	0.012368	0.09643819
3	1	2.583575	0	2.583575	0.04298614
4	0	3.257013	0	3.257013	0.02445114
5	1	3.238749	0	3.238749	0.02549552
6	0	3.233273	0	3.233273	0.01789767
7	1	3.276913	0	3.276913	0.02031245
8	0	3.132762	0	3.132762	0.0295832
9	1	2.674806	0	2.674806	0.04101457
10	0	3.229324	0	3.229324	0.02595887
11	1	2.821255	0	2.821255	0.0377294
12	0	3.279135	0	3.279135	0.02064193
13	1	2.115351	0	2.115351	0.05266593
14	0	2.51947	0	2.51947	0.04434727
15	1	2.782284	0	2.782284	0.03862181
16	0	3.028489	0	3.028489	0.03261275
17	1	3.260549	0	3.260549	0.01904775
18	0	3.179873	0	3.179873	0.02798395
19	1	3.124867	0	3.124867	0.02983262
20	0	2.859438	0	2.859438	0.03683888
21	1	2.19816	0	2.19816	0.05098492
22	0	3.225242	0	3.225242	0.02614875
23	1	2.805814	0	2.805814	0.01211007
24	0	3.264588	0	3.264588	0.02391883
25	1	0.536467	0	0.536467	0.08505059
26	0	3.141387	0	3.141387	0.015738
27	1	2.636759	0	2.636759	0.01102257
28	0	3.264165	0	3.264165	0.023951
29	1	3.224406	0	3.224406	0.02618697
30	0	3.226828	0	3.226828	0.02607565
31	1	2.985318	0	2.985318	0.03374911
32	0	3.280409	0	3.280409	0.02091917
33	1	2.535965	0	2.535965	0.04399868
34	0	2.853264	0	2.853264	0.03698407
35	1	2.457065	0	2.457065	0.04565723
36	0	1.292219	0	1.292219	0.06930781
37	1	3.029974	0	3.029974	0.0325727
38	0	3.277605	0	3.277605	0.02260461
39	1	1.57794	0	1.57794	0.007262336
40	0	2.551849	0	2.551849	0.04366193
41	1	3.279765	0	3.279765	0.02076471
42	0	3.165808	0	3.165808	0.01619146
43	1	2.736359	0	2.736359	0.03965526
44	0	2.80148	0	2.80148	0.01207857
45	1	3.084025	0	3.084025	0.03106233
46	0	3.247712	0	3.247712	0.02501357
47	1	3.234051	0	3.234051	0.02573121
48	0	2.746753	0	2.746753	0.03942294
49	1	2.003736	0	2.003736	0.05492234
50	0	1.472798	0	1.472798	0.0656352
51	1	1.26676	0	1.26676	0.006604973
52	0	0.6742713	0	0.6742713	0.08212592
53	1	3.195415	0	3.195415	0.0168327
