Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.007955	0	3.007955	0.03315958
10	2.583575	0	2.583575	0.04298614
20	3.238749	0	3.238749	0.02549552
30	3.276913	0	3.276913	0.02031245
40	2.674806	0	2.674806	0.04101457
50	2.821255	0	2.821255	0.0377294
60	2.115351	0	2.115351	0.05266593
70	2.782284	0	2.782284	0.03862181
80	3.260549	0	3.260549	0.01904775
90	3.124867	0	3.124867	0.02983262
100	2.19816	0	2.19816	0.05098492
110	2.805814	0	2.805814	0.01211007
120	0.536467	0	0.536467	0.08505059
130	2.636759	0	2.636759	0.01102257
140	3.224406	0	3.224406	0.02618697
150	2.985318	0	2.985318	0.03374911
160	2.535965	0	2.535965	0.04399868
170	2.457065	0	2.457065	0.04565723
180	3.029974	0	3.029974	0.0325727
190	1.57794	0	1.57794	0.007262336
200	3.279765	0	3.279765	0.02076471
210	2.736359	0	2.736359	0.03965526
220	3.084025	0	3.084025	0.03106233
230	3.234051	0	3.234051	0.02573121
240	2.003736	0	2.003736	0.05492234
250	1.26676	0	1.26676	0.006604973
260	3.195415	0	3.195415	0.0168327
270	3.188636	0	3.188636	0.01667489
280	2.125907	0	2.125907	0.05245203
290	3.25632	0	3.25632	0.02449592
300	3.178023	0	3.178023	0.02805121
310	3.007528	0	3.007528	0.03317082
320	2.840747	0	2.840747	0.03727697
330	2.839297	0	2.839297	0.03731079
340	1.047036	0	1.047036	0.07434127
350	3.095292	0	3.095292	0.03073209
360	3.178606	0	3.178606	0.02803005
370	1.794637	0	1.794637	0.05913637
380	2.965608	0	2.965608	0.03425241
390	3.013959	0	3.013959	0.03300094
400	3.194638	0	3.194638	0.01681421
410	2.167924	0	2.167924	0.05159958
420	2.853049	0	2.853049	0.0369891
430	3.094848	0	3.094848	0.03074524
440	3.256213	0	3.256213	0.02450276
450	3.23413	0	3.23413	0.01792686
460	2.308438	0	2.308438	0.04873217
470	1.928228	0	1.928228	0.05644508
480	2.042109	0	2.042109	0.05414751
490	1.723802	0	1.723802	0.06056364
500	3.07346	0	3.07346	0.03136664
510	3.26011	0	3.26011	0.02424379
520	3.279365	0	3.279365	0.02068441
530	0.7064346	0	0.7064346	0.08144715
540	2.575173	0	2.575173	0.04316554
550	2.018336	0	2.018336	0.008442804
560	3.159061	0	3.159061	0.01606043
570	2.785754	0	2.785754	0.03854298
580	2.968774	0	2.968774	0.03417216
590	2.295629	0	2.295629	0.04899485
600	3.030212	0	3.030212	0.0141622
610	2.386692	0	2.386692	0.04711996
620	2.86036	0	2.86036	0.03681716
630	1.771863	0	1.771863	0.05959515
640	-0.6751145	0	-0.6751145	0.1120904
650	3.123693	0	3.123693	0.02986933
660	3.230417	0	3.230417	0.02590699
670	3.245667	0	3.245667	0.01835454
680	2.745891	0	2.745891	0.03944224
690	3.258281	0	3.258281	0.0243677
700	3.129682	0	3.129682	0.02968104
710	3.260734	0	3.260734	0.01905791
720	2.005721	0	2.005721	0.05488228
730	1.836855	0	1.836855	0.05828596
740	2.954988	0	2.954988	0.03452009
750	3.276999	0	3.276999	0.02269366
760	3.263239	0	3.263239	0.02402035
770	3.233969	0	3.233969	0.02573524
780	2.972343	0	2.972343	0.03408142
790	2.170714	0	2.170714	0.0515429
800	3.253826	0	3.253826	0.02465283
810	2.337366	0	2.337366	0.04813772
820	2.740138	0	2.740138	0.03957089
830	3.213424	0	3.213424	0.02666965
840	2.701488	0	2.701488	0.04042863
850	2.370248	0	2.370248	0.04745989
860	1.914515	0	1.914515	0.05672143
870	2.778946	0	2.778946	0.03869756
880	3.198938	0	3.198938	0.02726186
890	3.278933	0	3.278933	0.02238199
900	0.8370923	0	0.8370923	0.07870402
910	2.945126	0	2.945126	0.03476662
920	3.075289	0	3.075289	0.03131431
930	3.256507	0	3.256507	0.01883729
940	1.518185	0	1.518185	0.0647158
950	2.681278	0	2.681278	0.04087289
960	3.152056	0	3.152056	0.02895373
970	3.139535	0	3.139535	0.02936562
980	3.280878	0	3.280878	0.02106903
990	0.9104327	0	0.9104327	0.07717391
1000	3.242777	0	3.242777	0.01824064
1010	2.252369	0	2.252369	0.04987992
1020	2.401493	0	2.401493	0.04681344
1030	3.262839	0	3.262839	0.01917728
1040	3.280608	0	3.280608	0.02198637
1050	3.279754	0	3.279754	0.02076234
1060	3.259846	0	3.259846	0.02426198
1070	3.136978	0	3.136978	0.02944817
1080	3.278237	0	3.278237	0.02250423
1090	3.163068	0	3.163068	0.02857974
1100	3.219397	0	3.219397	0.0174626
1110	2.907237	0	2.907237	0.0356972
1120	2.736527	0	2.736527	0.0396515
1130	2.361461	0	2.361461	0.04764126
1140	3.264221	0	3.264221	0.01925982
1150	3.008232	0	3.008232	0.01391188
1160	3.217729	0	3.217729	0.01741443
1170	2.582384	0	2.582384	0.04301157
1180	3.21468	0	3.21468	0.0266161
1190	3.272025	0	3.272025	0.02327533
1200	2.113618	0	2.113618	0.05270102
1210	-1.211383	0	-1.211383	0.1249271
1220	1.268932	0	1.268932	0.06978337
1230	2.314832	0	2.314832	0.009489747
1240	2.332069	0	2.332069	0.009559417
1250	2.749181	0	2.749181	0.03936853
1260	3.276217	0	3.276217	0.02280049
1270	3.188281	0	3.188281	0.01666683
1280	3.079357	0	3.079357	0.03119739
