Iteration	Posterior	Likelihood	Prior	birth_rate
0	-213.5582	-216.8169	3.258776	0.02433461
10	-211.5628	-214.8246	3.26179	0.01911693
20	-211.5917	-214.8567	3.264981	0.01930676
30	-211.5485	-214.7425	3.193994	0.01679899
40	-211.9348	-215.2146	3.279751	0.02076181
50	-212.2137	-215.2811	3.067369	0.01462309
60	-211.5006	-214.7511	3.250501	0.01855769
70	-212.3908	-215.6713	3.280494	0.0220219
80	-211.5455	-214.7404	3.194901	0.01682047
90	-211.4874	-214.7334	3.245963	0.0183665
100	-213.0589	-216.3293	3.270325	0.02343855
110	-212.9578	-216.2301	3.272343	0.0232434
120	-211.6882	-214.9603	3.272055	0.0198179
130	-211.5289	-214.7857	3.256788	0.01885129
140	-211.4935	-214.7078	3.214247	0.0173162
150	-213.2676	-216.5334	3.265786	0.0238255
160	-211.8208	-215.0981	3.277321	0.02036509
170	-211.5172	-214.7717	3.254534	0.01874161
180	-211.5511	-214.7443	3.193211	0.01678055
190	-211.7217	-214.8746	3.152834	0.01594356
200	-211.6536	-214.821	3.167341	0.01622191
210	-212.095	-215.1813	3.08632	0.01487987
220	-212.5324	-215.8115	3.279092	0.0223518
230	-211.5404	-214.7991	3.258691	0.01894843
240	-211.8097	-215.0867	3.277001	0.02032353
250	-211.9672	-215.2474	3.280206	0.02086601
260	-213.0574	-216.0014	2.94405	0.01325568
270	-211.4752	-214.7131	3.237873	0.01805814
280	-212.0708	-215.3519	3.28113	0.02118019
290	-211.5942	-214.7756	3.18146	0.01651551
300	-213.8953	-217.1452	3.249859	0.02489032
310	-211.639	-214.8097	3.170643	0.0162884
320	-211.4845	-214.7291	3.244612	0.01831235
330	-211.6821	-214.8432	3.161111	0.01609973
340	-211.9696	-215.0768	3.107176	0.01518301
350	-211.7688	-214.9123	3.143479	0.01577472
360	-212.2042	-215.4856	3.281391	0.02155072
370	-212.6536	-215.9312	3.277507	0.02261944
380	-212.8269	-216.1017	3.274747	0.0229823
390	-211.9381	-215.2179	3.279802	0.02077254
400	-212.3278	-215.6087	3.280934	0.02186778
410	-212.193	-215.4744	3.281402	0.02152076
420	-211.5337	-214.7913	3.257612	0.01889279
430	-213.322	-216.5865	3.264529	0.02392332
440	-211.4876	-214.705	3.21744	0.01740614
450	-211.4777	-214.7023	3.224592	0.01761792
460	-211.5174	-214.7216	3.204192	0.01704896
470	-211.864	-215.1424	3.278416	0.02052175
480	-211.7409	-214.8898	3.148981	0.01587309
490	-211.7007	-214.9735	3.272715	0.01987525
500	-211.5006	-214.7115	3.210911	0.01722498
510	-211.4923	-214.7401	3.247847	0.01844405
520	-213.28	-216.5455	3.265502	0.02384794
