Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-212.0201	-218.3827	6.362574	0.02604869	0.007107363	0.01894133	0.007107363
10	-213.641	-219.7362	6.095178	0.02668836	0.01208306	0.01460529	0.01208306
20	-211.7585	-218.061	6.302541	0.02443995	0.007575761	0.01686419	0.007575761
30	-211.743	-217.9021	6.159124	0.02223949	0.007794953	0.01444453	0.007794953
40	-212.09	-216.1895	4.09956	0.01380277	0.0007597698	0.013043	0.0007597698
50	-211.1772	-217.1589	5.981686	0.01838627	0.005331916	0.01305436	0.005331916
60	-210.5362	-216.5089	5.972647	0.0180341	0.003956297	0.01407781	0.003956297
70	-210.9223	-217.1808	6.25844	0.02228304	0.005812688	0.01647036	0.005812688
80	-210.0269	-215.4843	5.457439	0.01753162	0.001737241	0.01579438	0.001737241
90	-210.8929	-216.4364	5.543513	0.0154289	0.002410946	0.01301795	0.002410946
100	-210.0359	-215.7319	5.696029	0.02076309	0.0019669	0.01879619	0.0019669
110	-210.3226	-216.2624	5.939872	0.01799424	0.003458989	0.01453525	0.003458989
120	-210.2225	-216.3374	6.114941	0.02016044	0.003939228	0.01622121	0.003939228
130	-211.0327	-217.1429	6.110235	0.01998983	0.005818998	0.01417084	0.005818998
140	-210.0352	-216.0536	6.018375	0.02079053	0.002989637	0.01780089	0.002989637
150	-209.999	-215.8599	5.860954	0.01841456	0.002726675	0.01568788	0.002726675
160	-211.2654	-217.3984	6.133051	0.02496508	0.003301357	0.02166372	0.003301357
170	-212.7717	-218.3859	5.614283	0.01682605	0.006428095	0.01039795	0.006428095
180	-210.586	-216.8252	6.239164	0.02269765	0.004381167	0.01831648	0.004381167
190	-210.0939	-216.0131	5.919225	0.01838768	0.00305379	0.01533389	0.00305379
200	-212.6375	-218.9354	6.297887	0.02639953	0.009297541	0.01710198	0.009297541
210	-211.4445	-217.6266	6.182086	0.025395	0.003596156	0.02179884	0.003596156
