Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.5302	-216.131	4.60076	0.02281195	0.0008283078	0.02198364	0.0008283078
10	-210.6161	-216.7809	6.164729	0.02325516	0.003551023	0.01970414	0.003551023
20	-210.2201	-216.3304	6.110306	0.02008604	0.003927013	0.01615902	0.003927013
30	-212.6954	-218.4354	5.739987	0.01882678	0.007817766	0.01100901	0.007817766
40	-210.2575	-216.4153	6.157854	0.02131258	0.003871238	0.01744134	0.003871238
50	-211.6686	-217.8092	6.140524	0.02177655	0.007561059	0.01421549	0.007561059
60	-210.3171	-216.4856	6.168501	0.02093386	0.004207692	0.01672617	0.004207692
70	-210.0004	-215.2989	5.298456	0.01847028	0.001435093	0.01703518	0.001435093
80	-211.074	-217.0558	5.981797	0.01826106	0.005085709	0.01317535	0.005085709
90	-211.8373	-218.1862	6.348884	0.02615408	0.005571812	0.02058227	0.005571812
100	-209.9084	-215.7809	5.872507	0.0199045	0.002500305	0.01740419	0.002500305
110	-209.9372	-215.8621	5.924891	0.0201377	0.002664743	0.01747296	0.002664743
120	-210.1388	-216.2	6.061156	0.01963639	0.003618252	0.01601814	0.003618252
130	-210.4027	-216.5309	6.128203	0.01996706	0.004422169	0.01554489	0.004422169
140	-210.1618	-216.1524	5.990584	0.01875581	0.00342724	0.01532857	0.00342724
150	-211.4567	-217.4899	6.033217	0.01964562	0.006451036	0.01319459	0.006451036
160	-212.2826	-217.611	5.328445	0.01366053	0.002591182	0.01106935	0.002591182
170	-211.3665	-217.41	6.043499	0.02508418	0.002886255	0.02219793	0.002886255
180	-210.9222	-216.9473	6.02516	0.01866752	0.005042342	0.01362518	0.005042342
190	-211.7976	-217.2413	5.443714	0.02495832	0.001533177	0.02342515	0.001533177
200	-211.0497	-215.1422	4.092421	0.01980926	0.0006219207	0.01918734	0.0006219207
210	-210.4181	-216.1475	5.729433	0.01669401	0.002693454	0.01400055	0.002693454
220	-210.6974	-216.9346	6.237213	0.02330492	0.004185982	0.01911894	0.004185982
230	-210.6304	-216.8749	6.244456	0.02204019	0.004973592	0.0170666	0.004973592
240	-210.0237	-216.0219	5.998251	0.02079145	0.002891299	0.01790015	0.002891299
250	-210.2583	-216.4143	6.156039	0.02100078	0.003985482	0.0170153	0.003985482
260	-210.6974	-216.9131	6.215737	0.02341145	0.003944783	0.01946666	0.003944783
270	-211.6717	-217.0476	5.375906	0.01421898	0.002351956	0.01186703	0.002351956
280	-210.3139	-216.3426	6.028678	0.02229052	0.002879729	0.01941079	0.002879729
290	-211.0347	-216.1271	5.092474	0.014825	0.001490566	0.01333444	0.001490566
300	-209.8813	-215.5863	5.70495	0.01880685	0.002129841	0.01667701	0.002129841
310	-210.5705	-215.7332	5.162712	0.01576507	0.001466814	0.01429826	0.001466814
320	-211.7222	-217.4826	5.760327	0.01635212	0.004702721	0.0116494	0.004702721
330	-211.0552	-216.921	5.865857	0.01696125	0.004184831	0.01277642	0.004184831
340	-210.3186	-216.1476	5.829033	0.01730443	0.002976274	0.01432816	0.002976274
350	-210.1231	-216.2209	6.097779	0.02083643	0.003475076	0.01736136	0.003475076
360	-210.1592	-216.2367	6.077482	0.02147052	0.003208535	0.01826198	0.003208535
370	-210.1965	-216.3285	6.131959	0.02078819	0.003802549	0.01698564	0.003802549
380	-210.5193	-215.1245	4.605253	0.01921843	0.0008487861	0.01836964	0.0008487861
390	-210.0489	-216.059	6.010162	0.02095942	0.002924765	0.01803466	0.002924765
400	-210.0227	-215.5178	5.495107	0.01753087	0.001807078	0.01572379	0.001807078
410	-210.0215	-215.7782	5.756742	0.01786615	0.002435586	0.01543056	0.002435586
420	-209.9829	-215.9496	5.966751	0.02052653	0.002785645	0.01774089	0.002785645
430	-210.2094	-216.3037	6.094284	0.01985855	0.003869954	0.0159886	0.003869954
440	-212.1982	-218.4538	6.255662	0.02476325	0.008748632	0.01601462	0.008748632
450	-210.709	-216.9735	6.264549	0.02257525	0.005005448	0.0175698	0.005005448
