Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-243.0314	-220.8619	-22.16943	0.02778901	0.01521908	0.01256992	0.01521908
10	-243.1396	-221.6191	-21.52052	0.03120412	0.01615396	0.01505016	0.01615396
20	-243.5148	-224.3582	-19.1566	0.03512816	0.02440282	0.01072534	0.02440282
30	-243.263	-220.6399	-22.62301	0.02589207	0.01466283	0.01122924	0.01466283
40	-244.4857	-227.333	-17.15278	0.04345496	0.0318121	0.01164286	0.0318121
50	-243.2119	-223.2517	-19.96016	0.03443917	0.02043844	0.01400073	0.02043844
60	-243.4538	-224.4113	-19.04248	0.03585726	0.02431018	0.01154708	0.02431018
70	-243.0269	-221.4012	-21.62569	0.02860511	0.01664157	0.01196353	0.01664157
80	-243.9331	-225.1464	-18.78665	0.0362316	0.02671249	0.009519101	0.02671249
90	-247.1552	-230.9496	-16.20559	0.05327126	0.03377753	0.01949373	0.03377753
100	-244.988	-222.3169	-22.67117	0.03400376	0.01335015	0.0206536	0.01335015
110	-242.9903	-221.2186	-21.77173	0.02933127	0.01588665	0.01344461	0.01588665
120	-244.2808	-226.8691	-17.41173	0.04264543	0.03011991	0.01252552	0.03011991
130	-243.1223	-222.1768	-20.94554	0.03227981	0.01760896	0.01467085	0.01760896
140	-243.1557	-223.2759	-19.8798	0.03369896	0.02112402	0.01257494	0.02112402
150	-243.6348	-222.9515	-20.6833	0.02977205	0.02068331	0.009088744	0.02068331
160	-243.5043	-223.7154	-19.78897	0.03611607	0.02061487	0.0155012	0.02061487
170	-244.231	-222.3092	-21.92181	0.03385535	0.01490549	0.01894986	0.01490549
180	-243.0329	-220.7675	-22.26536	0.02775573	0.01495088	0.01280485	0.01495088
190	-244.6553	-219.2127	-25.44261	0.02041646	0.01000839	0.01040807	0.01000839
200	-244.4496	-220.2069	-24.24267	0.02159162	0.01235227	0.009239347	0.01235227
210	-243.5398	-224.7977	-18.74203	0.03725649	0.02502208	0.0122344	0.02502208
220	-243.8845	-224.0476	-19.83687	0.03242743	0.02370948	0.008717946	0.02370948
230	-243.1404	-220.8739	-22.26653	0.02947296	0.01453347	0.01493949	0.01453347
