Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-234.5845	-239.7255	5.141021	0.07275529	0.04707085	0.02568444	0.04707085
10	-248.1824	-252.0851	3.902702	0.1249981	0.1044819	0.0205162	0.1044819
20	-220.8691	-226.4637	5.594657	0.03660034	0.002414369	0.03418597	0.002414369
30	-218.3508	-224.442	6.091215	0.03832287	0.01855058	0.01977229	0.01855058
40	-246.697	-251.2041	4.507087	0.09498783	0.06040439	0.03458345	0.06040439
50	-253.3309	-257.953	4.622114	0.08184009	0.0324159	0.04942419	0.0324159
60	-211.5303	-217.8196	6.289317	0.02375764	0.007166736	0.0165909	0.007166736
70	-236.9373	-242.0408	5.103583	0.07432526	0.04436317	0.02996209	0.04436317
80	-229.5845	-234.823	5.238475	0.06368032	0.04457271	0.01910761	0.04457271
90	-266.4433	-268.8225	2.37923	0.2301161	0.2108272	0.01928891	0.2108272
100	-253.8023	-257.5547	3.752332	0.1352617	0.1071206	0.0281411	0.1071206
110	-214.854	-220.0435	5.18948	0.01999471	0.01116636	0.008828355	0.01116636
120	-228.6465	-234.5179	5.871411	0.04632744	0.007339797	0.03898765	0.007339797
130	-245.6163	-249.8812	4.264899	0.1090894	0.08459428	0.02449514	0.08459428
140	-378.2318	-379.0477	0.815886	0.1672913	0.04115322	0.1261381	0.04115322
150	-257.6991	-261.8823	4.183294	0.09748393	0.0494859	0.04799802	0.0494859
160	-246.4564	-250.7426	4.286158	0.1081332	0.08111072	0.02702249	0.08111072
170	-214.5934	-220.7984	6.205003	0.03029471	0.01316848	0.01712623	0.01316848
180	-228.8187	-234.712	5.893261	0.0484668	0.01118355	0.03728325	0.01118355
190	-247.6474	-252.0119	4.364536	0.1022627	0.069814	0.0324487	0.069814
200	-216.6975	-221.24	4.542514	0.0119133	0.004794092	0.00711921	0.004794092
210	-243.6848	-248.8386	5.15387	0.06804863	0.02324943	0.0447992	0.02324943
220	-222.3006	-228.3389	6.038272	0.03971788	0.005551674	0.03416621	0.005551674
230	-285.1168	-287.0922	1.975401	0.2122969	0.1625804	0.04971653	0.1625804
240	-242.2634	-245.9081	3.644643	0.105734	0.09355448	0.01217951	0.09355448
250	-228.5634	-233.8116	5.248147	0.06128586	0.04332226	0.0179636	0.04332226
260	-245.6396	-250.2098	4.570188	0.09279327	0.05877606	0.03401721	0.05877606
270	-224.6662	-230.6166	5.950436	0.04803313	0.01960444	0.02842869	0.01960444
280	-218.4021	-223.9157	5.513582	0.03514685	0.02277151	0.01237534	0.02277151
