Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-205.0013	-162.9588	-42.0425	0.275406	0.1492	0.0330793	0.0696226	0.042698	0.0751255	0.469102	0.264306	0.738491	1.34836	0.222068	1.82862	-1.28951	-1.90246	-3.40885	-2.66467	-3.1536	-2.5886	-0.756934	-1.33065	-0.303146	0.298888	-1.50477	-5.73849	-5.05141	-4.77063	-2.98822	-2.47154	-2.0348	-1.00507	-0.166387	-0.371888	-2.28603	-0.109292	0.00321962	0.00640029	0.00847507	0.0503772	0.0844547	0.130707	0.366019	0.846719	0.689432	0.101669	0.896469	1.16895
10	-209.8228	-163.1238	-46.69897	0.346133	0.0262847	0.107014	0.0648745	0.0371174	0.0379032	0.473448	0.163091	0.377136	1.63117	0.194959	1.270993	-1.06093	-3.63877	-2.2348	-2.7353	-3.29367	-3.27272	-0.747714	-1.81345	-0.975149	0.489297	-1.63497	-5.12915	-5.35978	-7.05617	-6.05932	-1.9299	-2.46162	-0.783213	-0.340209	-0.703095	-0.891922	-0.312899	0.00592159	0.00470194	0.000862071	0.002336	0.145163	0.0852963	0.456936	0.711622	0.495051	0.409867	0.731324	1.315578
20	-220.2751	-160.9945	-59.28058	0.391874	0.0970678	0.000203359	0.00013818	0.0185494	0.117739	0.356706	0.214979	1.19688	2.09503	0.231312	2.876866	-0.936816	-2.33235	-8.50054	-8.88695	-3.98732	-2.13929	-1.03084	-1.53721	0.179716	0.739567	-1.46399	-6.41556	-6.50109	-6.96989	-9.40146	-2.42798	-2.40018	-1.00686	-0.236294	0.109737	-1.31842	-0.0499033	0.0016359	0.0015018	0.000939754	8.2603e-05	0.0882146	0.0907015	0.365364	0.789548	1.11598	0.267556	0.951321	1.889957
30	-209.4352	-163.089	-46.34622	0.214014	0.0332499	0.00129691	0.00402716	0.00986788	0.0634871	0.582135	0.0434311	0.473749	2.1449	0.0758928	2.177259	-1.54172	-3.4037	-6.64777	-5.51469	-4.61847	-2.75692	-0.541052	-3.13658	-0.747079	0.763093	-2.57843	-7.44583	-7.00964	-5.49541	-4.57505	-2.93842	-2.34838	-0.96381	-0.792141	-0.655835	-1.6282	-0.16694	0.000583871	0.000903131	0.00410556	0.0103058	0.0529491	0.0955242	0.381437	0.452874	0.519008	0.196282	0.84625	1.047751
40	-211.8011	-164.5567	-47.2444	0.253058	0.10316	0.00221007	0.00227582	0.00613168	0.109549	0.332229	0.0641257	0.815893	1.44114	0.168942	2.129139	-1.37414	-2.27147	-6.11473	-6.08542	-5.09429	-2.21138	-1.10193	-2.74691	-0.203472	0.365433	-1.7782	-5.23116	-3.33204	-2.78402	-3.34685	-4.69914	-3.39886	-1.39426	-0.631104	-0.881784	-1.82222	-0.205015	0.00534731	0.0357201	0.0617898	0.0351952	0.00910313	0.0334114	0.248017	0.532004	0.414044	0.161667	0.814635	1.04916
50	-208.4577	-162.7376	-45.72007	0.180628	0.0915594	0.0322484	0.00921789	0.026388	0.0486381	0.549803	0.0765747	0.0959382	2.23473	0.150438	1.430267	-1.71131	-2.39077	-3.43429	-4.68661	-3.63484	-3.02335	-0.598195	-2.56949	-2.34405	0.804121	-1.89421	-4.50428	-5.37058	-3.94265	-3.3732	-3.80049	-2.50694	-1.43244	-0.343489	-0.944844	-1.82638	-0.0782159	0.0110615	0.00465143	0.0193967	0.0342799	0.0223597	0.0815176	0.238726	0.709292	0.38874	0.160995	0.924765	1.615273
60	-206.5956	-159.5232	-47.07238	0.298838	0.0948319	0.0691791	0.0734242	0.0230981	0.217363	0.283072	0.233635	0.793697	1.30936	0.157648	1.762738	-1.20785	-2.35565	-2.67106	-2.6115	-3.76801	-1.52619	-1.26206	-1.454	-0.231053	0.26954	-1.84739	-7.06815	-6.21605	-5.27926	-5.04837	-1.30973	-1.75404	-1.48193	-0.330552	-0.37284	-2.29341	-0.35152	0.000851809	0.00199712	0.00509619	0.00641977	0.269894	0.173073	0.227198	0.718527	0.688775	0.100922	0.703618	2.310817
70	-201.2169	-161.5155	-39.70135	0.380634	0.045438	0.0195601	0.0259806	0.160438	0.309039	0.176249	0.384386	0.741894	1.87233	0.156695	1.378477	-0.965917	-3.09141	-3.93427	-3.65041	-1.82985	-1.17429	-1.73585	-0.956107	-0.29855	0.627184	-1.85345	-4.31341	-4.86102	-4.45189	-4.22109	-1.56613	-1.7148	-1.58567	-0.0859473	-0.448089	-0.463513	-0.326725	0.0133878	0.00774257	0.0116566	0.0146827	0.208852	0.180001	0.204811	0.917643	0.638848	0.62907	0.721282	1.08838
80	-201.1396	-165.4027	-35.7369	0.0955714	0.10566	0.0706796	0.0201364	0.0602475	0.356175	0.146301	0.173216	0.505565	2.93271	0.138135	1.257837	-2.34788	-2.24752	-2.6496	-3.90522	-2.80929	-1.03233	-1.92209	-1.75321	-0.68208	1.07593	-1.97952	-4.67939	-3.75578	-3.92389	-3.55139	-3.04931	-1.86904	-1.39812	-0.507238	-0.844067	-0.265773	-0.0453631	0.00928465	0.0233822	0.019764	0.0286846	0.0473914	0.154272	0.247061	0.602156	0.429958	0.766613	0.95565	0.6783194
90	-202.2925	-160.6217	-41.67083	0.124351	0.0566387	0.0646125	0.126465	0.0326559	0.402292	0.218252	0.126771	0.615971	2.31491	0.194541	1.591862	-2.08465	-2.87106	-2.73935	-2.06779	-3.42173	-0.910577	-1.5221	-2.06537	-0.484556	0.83937	-1.63711	-7.03613	-5.89964	-4.73489	-4.38194	-1.86533	-2.12635	-1.22035	-0.513902	-0.613378	0.285329	-0.426726	0.000879528	0.00274043	0.00878341	0.0125011	0.154845	0.119272	0.295127	0.598157	0.541519	1.3302	0.652642	1.170598
100	-202.6852	-162.3313	-40.35388	0.0741916	0.15106	0.053171	0.039091	0.0498543	0.281442	0.182293	0.0478362	0.986442	2.54896	0.0999864	2.046991	-2.6011	-1.89008	-2.93424	-3.24186	-2.99865	-1.26783	-1.70214	-3.03997	-0.0136508	0.935685	-2.30272	-5.44035	-4.41807	-3.61095	-3.23223	-2.93881	-2.26077	-1.21924	-0.740872	-0.0382565	0.3588	-0.552178	0.00433796	0.0120575	0.0270262	0.0394692	0.0529285	0.10427	0.295454	0.476698	0.962466	1.43161	0.575695	0.987638
110	-208.7325	-165.2972	-43.43539	0.0609198	0.0838232	0.114113	0.0194211	0.0387039	0.36779	0.169796	0.23095	1.35917	1.58858	0.314416	1.041946	-2.7982	-2.47905	-2.17057	-3.9414	-3.25182	-1.00024	-1.77316	-1.46556	0.306873	0.462843	-1.15704	-4.48463	-6.17082	-5.36136	-4.05372	-2.87165	-3.35575	-0.997405	-0.440373	0.208339	0.473153	-0.953612	0.011281	0.00208952	0.0046945	0.0173576	0.0566055	0.0348834	0.368835	0.643796	1.23163	1.60505	0.385347	1.926944
120	-203.5034	-162.9799	-40.52346	0.00275632	0.0553197	0.064226	0.0306376	0.142937	0.32196	0.116746	0.249296	1.72806	1.14297	0.267243	1.359208	-5.89386	-2.89463	-2.74535	-3.48553	-1.94535	-1.13333	-2.14776	-1.38911	0.546999	0.133629	-1.3196	-6.42103	-6.84469	-4.81897	-4.10686	-2.95341	-2.72765	-1.52047	-0.419901	0.442495	-0.354416	-0.700044	0.00162698	0.0010651	0.0080751	0.0164594	0.0521617	0.0653728	0.218609	0.657112	1.55659	0.701583	0.496563	0.8906113
130	-205.7708	-164.481	-41.28988	0.051457	0.0159388	0.00500949	0.0172996	0.0744909	0.168295	0.151575	0.374915	1.10148	1.05646	0.256582	0.9383812	-2.96701	-4.139	-5.29642	-4.05707	-2.59708	-1.78204	-1.88667	-0.981056	0.0966567	0.0549213	-1.36031	-9.58218	-8.70258	-8.20555	-5.11794	-3.91158	-4.28103	-2.64012	-0.295807	-0.0633366	-0.630059	-0.623604	6.89464e-05	0.000166156	0.000273134	0.00598837	0.0200089	0.0138283	0.0713525	0.743931	0.938627	0.53256	0.536009	1.157888
140	-207.5363	-158.1978	-49.33854	0.00106697	0.00784951	0.0416814	0.0178717	0.0650419	0.284887	0.344391	0.062768	1.16349	2.14508	0.151975	3.127006	-6.84293	-4.8473	-3.1777	-4.02454	-2.73272	-1.25566	-1.06598	-2.76831	0.151421	0.763177	-1.88404	-8.59305	-9.13685	-7.85606	-6.51402	-5.03871	-2.9821	-1.68998	-0.369288	-0.166672	-0.993469	0.0686314	0.00018539	0.000107625	0.000387399	0.00148251	0.00648212	0.0506862	0.184522	0.691226	0.846477	0.37029	1.07104	1.473086
150	-215.2812	-160.975	-54.30619	0.000760765	0.0194523	0.00179557	0.00105957	0.0213241	0.162824	0.829714	0.0544425	1.59179	3.09462	0.24908	4.902818	-7.18119	-3.93979	-6.32244	-6.8499	-3.84792	-1.81508	-0.186674	-2.91061	0.46486	1.12967	-1.38998	-7.75969	-8.2939	-6.28489	-5.66797	-4.24355	-3.59487	-1.13958	-0.148719	-0.147543	0.0980409	0.210897	0.000426591	0.000250037	0.00186425	0.00345488	0.0143565	0.0274642	0.319953	0.861811	0.862825	1.10301	1.23479	1.15509
160	-211.8008	-158.5813	-53.21955	0.000782967	0.00318718	0.0246214	0.0131365	0.0324607	0.226672	0.502405	0.0195069	1.10384	1.91945	0.369547	1.789318	-7.15242	-5.74862	-3.70414	-4.33236	-3.42773	-1.48425	-0.688349	-3.93699	0.0987989	0.652038	-0.995477	-9.48923	-9.51435	-11.7441	-9.95064	-4.68405	-4.23828	-1.74322	-0.30374	-0.377752	-1.05496	0.176585	7.56622e-05	7.37854e-05	7.93606e-06	4.76972e-05	0.0092415	0.0144324	0.174956	0.738052	0.685401	0.348207	1.19314	2.027062
170	-205.3855	-159.8075	-45.57802	0.00231193	0.00190724	0.00708	0.00136437	0.0510908	0.249136	0.343744	0.0576781	0.861136	1.54539	0.681077	1.280187	-6.06967	-6.2621	-4.95048	-6.59706	-2.97415	-1.38976	-1.06786	-2.85288	-0.149503	0.435273	-0.38408	-6.96937	-8.16486	-8.02996	-6.79856	-5.03852	-3.18817	-1.44919	-0.619809	-0.518192	-0.0596206	-0.080706	0.000940246	0.000284478	0.000325561	0.00111538	0.00648336	0.0412472	0.234761	0.538047	0.595596	0.942122	0.922465	1.252885
180	-205.7408	-160.8678	-44.87301	0.00560128	0.00293013	0.00353622	0.0101076	0.0447289	0.412943	0.228294	0.0943529	0.370275	1.27133	0.458109	1.336107	-5.18476	-5.83271	-5.6447	-4.59447	-3.10713	-0.884446	-1.47712	-2.36071	-0.993509	0.240065	-0.780648	-5.84037	-6.24397	-8.2918	-6.35669	-4.479	-3.19555	-1.1931	-0.706125	-0.542666	-2.60131	-0.0792575	0.00290777	0.00194212	0.000250563	0.0017351	0.0113448	0.0409439	0.30328	0.493553	0.581196	0.0741765	0.923802	1.295277
190	-208.2452	-160.4878	-47.75739	0.000690187	0.00300663	0.01082	0.0112663	0.0429124	0.452092	0.136751	0.0581849	0.557215	0.794295	0.5788	1.068419	-7.27855	-5.80694	-4.52636	-4.48594	-3.14859	-0.793871	-1.98959	-2.84413	-0.584805	-0.2303	-0.546798	-9.57384	-11.5692	-9.67391	-8.47766	-4.69879	-3.0226	-1.70564	-0.544141	-0.608892	-1.0148	-0.397666	6.95238e-05	9.45293e-06	6.29036e-05	0.000208065	0.00910633	0.0486747	0.181656	0.58034	0.543953	0.362474	0.671887	1.181576
200	-208.3246	-159.2756	-49.04896	0.00413561	0.00688921	0.0281131	0.0213077	0.0300747	0.44379	0.18205	0.080391	1.2021	1.0481	0.331009	1.196696	-5.48812	-4.9778	-3.57152	-3.84869	-3.50407	-0.812403	-1.70348	-2.52085	0.184068	0.0469825	-1.10561	-8.35871	-7.51713	-8.91992	-8.97975	-4.93291	-2.44099	-2.04929	-0.383571	-0.2834	-3.1096	-0.13287	0.000234346	0.000543689	0.000133699	0.000125935	0.00720547	0.0870746	0.128826	0.681424	0.753219	0.0446188	0.875579	2.224265
210	-204.8225	-158.5458	-46.27662	0.000652388	0.00532729	0.00407352	0.00225725	0.0413159	0.386245	0.20815	0.133607	1.88889	1.61166	0.302621	1.596003	-7.33487	-5.23491	-5.50325	-6.09361	-3.18651	-0.951284	-1.5695	-2.01285	0.63599	0.477264	-1.19527	-9.16185	-9.11625	-9.14492	-7.43373	-6.45177	-3.05026	-1.55446	-0.522144	0.330963	-0.226182	-0.238264	0.000104968	0.000109865	0.000106761	0.000590976	0.00157773	0.0473465	0.211303	0.593247	1.39231	0.797573	0.787995	1.524638
220	-203.0577	-158.8091	-44.24856	0.0188367	0.04029	0.00343106	0.0124912	0.0543935	0.365816	0.328598	0.140286	2.48339	1.96817	0.245781	1.695522	-3.97195	-3.21165	-5.67489	-4.38273	-2.91151	-1.00562	-1.11292	-1.96407	0.909623	0.677105	-1.40331	-8.84269	-7.657	-7.0542	-5.69675	-3.96287	-2.21665	-1.91924	-0.238141	0.689699	-0.386522	-0.0119431	0.000144433	0.000472723	0.000863774	0.00335686	0.0190085	0.108973	0.146718	0.788092	1.99312	0.679416	0.988128	1.139334
230	-199.9431	-158.2716	-41.67147	0.00594943	0.0229197	0.0373939	0.10262	0.0643757	0.262616	0.340576	0.280068	2.50825	2.89868	0.307802	1.427341	-5.12446	-3.77576	-3.28625	-2.27672	-2.74302	-1.33706	-1.07712	-1.27272	0.919587	1.06426	-1.1783	-8.27664	-7.97539	-6.96755	-5.4528	-3.70451	-2.09817	-1.64354	-0.151252	0.805225	-0.0321035	0.176771	0.000254389	0.000343822	0.000941959	0.0042843	0.0246123	0.12268	0.193294	0.859631	2.2372	0.968406	1.19336	0.8221592
240	-199.1674	-158.0235	-41.14388	0.0102463	0.0256265	0.021694	0.0475676	0.0755131	0.302578	0.391526	0.242321	2.09094	1.96774	0.265064	0.8303591	-4.58084	-3.66413	-3.83072	-3.0456	-2.58345	-1.19542	-0.937702	-1.41749	0.737613	0.676886	-1.32778	-8.36962	-8.76543	-7.2834	-6.52958	-4.70548	-2.61942	-1.43289	-0.179293	0.436078	-0.808924	0.0386975	0.000231803	0.000156035	0.000686845	0.00145963	0.00904553	0.0728449	0.238619	0.835861	1.54663	0.445337	1.03946	1.160114
250	-199.0991	-160.5739	-38.52524	0.0196014	0.0525667	0.0505567	0.0836784	0.0934095	0.200253	0.354757	0.244927	1.81114	1.34008	0.294127	0.9489619	-3.93216	-2.94567	-2.98466	-2.48077	-2.37076	-1.60818	-1.03632	-1.4068	0.593955	0.292731	-1.22374	-7.5791	-7.4898	-6.21423	-6.00195	-3.80246	-3.17754	-1.33789	-0.254451	0.16484	-1.44516	-0.0148132	0.000511022	0.000558756	0.00200075	0.00247393	0.0223157	0.0416883	0.262398	0.775342	1.1792	0.235709	0.985296	1.053059
260	-208.9088	-158.9112	-49.99751	0.000463461	0.00149742	0.037303	0.104796	0.136165	0.299603	0.452885	0.318039	1.95649	1.74909	0.317401	1.422828	-7.67679	-6.50401	-3.28868	-2.25574	-1.99389	-1.2053	-0.792117	-1.14558	0.671153	0.559094	-1.14759	-8.83346	-8.91732	-7.15683	-7.62052	-3.06641	-1.91178	-1.46774	-0.0656068	0.468949	-1.06774	-0.0235724	0.000145774	0.000134048	0.000779524	0.000490288	0.0465882	0.147818	0.230446	0.936499	1.59831	0.343783	0.976703	3.004858
270	-206.0032	-162.9077	-43.09549	0.0453714	0.0434748	0.0228449	0.0420524	0.0740366	0.211165	0.609126	0.760072	2.61938	1.26524	0.431815	0.6083761	-3.09287	-3.13557	-3.77903	-3.16884	-2.6032	-1.55512	-0.495731	-0.274342	0.962937	0.235259	-0.839757	-6.4983	-6.42936	-9.02146	-4.17235	-2.62779	-2.95912	-0.857494	0.140454	0.859226	-0.867091	-0.0498553	0.00150599	0.00161348	0.00012079	0.015416	0.0722383	0.0518647	0.424224	1.1508	2.36133	0.420172	0.951367	1.873737
280	-204.4903	-162.2426	-42.24766	0.0132177	0.0164776	0.057416	0.0958205	0.0204727	0.19892	0.628709	0.525147	1.95902	1.13352	0.349288	1.241614	-4.3262	-4.10575	-2.85743	-2.34528	-3.88866	-1.61485	-0.464087	-0.644078	0.672446	0.125325	-1.05186	-7.3014	-7.19215	-8.10791	-6.65973	-3.11036	-1.97593	-1.1399	0.165021	0.499102	0.111307	-0.667334	0.000674591	0.000752468	0.000301148	0.0012815	0.044585	0.138633	0.319849	1.17942	1.64724	1.11774	0.513075	1.35399
290	-200.8405	-159.1685	-41.67198	0.0645906	0.0576091	0.0444404	0.0236609	0.0151433	0.372578	0.559441	0.747642	2.55612	1.53016	0.29517	1.4209	-2.73969	-2.85408	-3.11361	-3.74393	-4.1902	-0.987309	-0.580818	-0.290831	0.938491	0.425374	-1.2202	-5.95833	-7.50274	-6.49454	-4.65225	-3.347	-2.81008	-0.945841	0.336927	0.731316	0.181552	-0.397927	0.00258421	0.00055157	0.00151168	0.00954012	0.0351898	0.0602	0.388353	1.40064	2.07781	1.19908	0.671711	1.390068
300	-206.3583	-164.2076	-42.15068	0.130595	0.136183	0.0371925	0.0708862	0.0842295	0.183513	0.338535	0.768646	3.1159	1.03489	0.163303	1.436081	-2.03566	-1.99375	-3.29165	-2.64668	-2.47421	-1.69547	-1.08313	-0.263125	1.13652	0.0342975	-1.81215	-6.40263	-5.38168	-6.13604	-5.92272	-5.08864	-2.22367	-1.10454	0.229036	0.918335	-0.274677	-0.457779	0.00165718	0.00460007	0.00216348	0.00267791	0.00616642	0.108211	0.331363	1.25739	2.50512	0.759817	0.632687	0.8315866
310	-210.9967	-167.3884	-43.60831	0.161415	0.0125846	0.0334273	0.0402611	0.0435183	0.0626403	0.714841	0.55678	1.82604	0.462092	0.252572	1.477095	-1.82378	-4.37528	-3.39838	-3.21237	-3.13457	-2.77035	-0.335695	-0.585585	0.602152	-0.771991	-1.37606	-5.85385	-4.60272	-4.98001	-4.70717	-4.88865	-3.55082	-0.700901	0.174833	0.678993	-1.64418	-1.13585	0.00286884	0.0100245	0.00687401	0.00903032	0.00753159	0.028701	0.496138	1.19105	1.97189	0.193171	0.321148	1.047536
