Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.061339	0	3.061339	0.01082885
10	3.105639	0	3.105639	0.007457693
20	3.064263	0	3.064263	0.01070275
30	-0.1199684	0	-0.1199684	0.1507784
40	-0.7151026	0	-0.7151026	0.1962581
50	0.8502916	0	0.8502916	0.09248142
60	0.3701859	0	0.3701859	0.1190766
70	0.7283847	0	0.7283847	0.09884481
80	1.551208	0	1.551208	0.06054224
90	0.2262946	0	0.2262946	0.1278824
100	2.7223	0	2.7223	0.02134272
110	1.300857	0	1.300857	0.07108781
120	-5.174701	0	-5.174701	0.9093398
130	-2.277048	0	-2.277048	0.3601387
140	-2.583619	0	-2.583619	0.4013114
150	1.968415	0	1.968415	0.04486708
160	2.97234	0	2.97234	0.01399652
170	2.12723	0	2.12723	0.03946251
180	2.444798	0	2.444798	0.02944721
190	0.3835555	0	0.3835555	0.1182787
200	0.6636935	0	0.6636935	0.1023267
210	2.444671	0	2.444671	0.02945105
220	2.907972	0	2.907972	0.01597158
230	2.043149	0	2.043149	0.04228799
240	2.063284	0	2.063284	0.04160416
250	1.014194	0	1.014194	0.08432162
260	1.798924	0	1.798924	0.05096514
270	2.790636	0	2.790636	0.019386
280	3.096627	0	3.096627	0.006504339
290	2.195263	0	2.195263	0.03723282
300	0.25273	0	0.25273	0.1262343
310	-3.649619	0	-3.649619	0.57253
320	-0.3315846	0	-0.3315846	0.1660243
330	-0.396836	0	-0.396836	0.1709265
340	-3.214052	0	-3.214052	0.4969714
350	2.729342	0	2.729342	0.02114113
360	2.739216	0	2.739216	0.02085853
370	2.761914	0	2.761914	0.02020892
380	1.758421	0	1.758421	0.05247565
390	1.917409	0	1.917409	0.04666518
400	1.875229	0	1.875229	0.04817596
410	0.9901439	0	0.9901439	0.08549119
420	1.33465	0	1.33465	0.06961096
430	2.331635	0	2.331635	0.03290611
440	2.621777	0	2.621777	0.02423295
450	2.955367	0	2.955367	0.01453043
460	1.449526	0	1.449526	0.06471642
470	-1.075958	0	-1.075958	0.227996
480	2.500749	0	2.500749	0.02777589
490	-1.371641	0	-1.371641	0.2565675
500	0.3908798	0	0.3908798	0.1178431
510	0.8487189	0	0.8487189	0.0925619
520	3.001411	0	3.001411	0.01304827
530	2.615105	0	2.615105	0.002382008
540	3.085474	0	3.085474	0.009667808
550	3.037554	0	3.037554	0.01177409
560	2.841636	0	2.841636	0.003247342
570	2.886533	0	2.886533	0.01660693
580	-0.4917205	0	-0.4917205	0.1782288
590	0.6545177	0	0.6545177	0.1028265
600	-1.422876	0	-1.422876	0.2617654
610	-4.423453	0	-4.423453	0.7282826
620	2.149252	0	2.149252	0.03873536
630	2.550002	0	2.550002	0.02632324
640	2.470601	0	2.470601	0.0286735
650	2.999588	0	2.999588	0.00443832
