Iteration	Posterior	Likelihood	Prior	birth_rate
0	-196.6836	-198.7134	2.02978	0.04427467
10	-194.4233	-196.8172	2.393945	0.03039405
20	-206.3898	-209.2467	2.856896	0.01178151
30	-203.0545	-205.8761	2.821602	0.01397236
40	-196.0179	-198.6208	2.60296	0.02280662
50	-194.9589	-197.1624	2.203444	0.03749046
60	-222.0646	-224.8579	2.793293	0.006060181
70	-196.3331	-198.9557	2.622635	0.02208522
80	-200.551	-203.3264	2.775475	0.01613287
90	-194.4302	-196.8285	2.39827	0.03023608
100	-199.0985	-201.836	2.737416	0.01771509
110	-195.1032	-197.6299	2.526705	0.02557656
120	-194.7961	-197.0256	2.229488	0.03650144
130	-205.329	-208.1773	2.848314	0.01241403
140	-199.6305	-202.3831	2.752565	0.01709885
150	-219.1591	-220.3268	1.167681	0.08433679
160	-195.1912	-197.7272	2.535991	0.02524044
170	-194.6888	-196.9384	2.249564	0.03574362
180	-196.5476	-198.588	2.040422	0.04384876
190	-226.3519	-227.3438	0.9918805	0.09406219
200	-194.9595	-197.4695	2.509995	0.02618112
210	-195.5686	-198.1387	2.570154	0.02400187
220	-196.6868	-199.3292	2.642329	0.02135814
230	-194.4878	-196.7893	2.301468	0.03380146
240	-237.0284	-239.5273	2.498855	0.003497515
250	-202.4998	-205.3129	2.813097	0.01440366
260	-198.499	-201.2173	2.718338	0.0184722
270	-202.8713	-204.5637	1.692441	0.05856827
280	-205.7429	-208.5948	2.85193	0.012161
290	-195.4155	-197.9727	2.557224	0.02447116
300	-200.5481	-203.3235	2.77541	0.01613568
310	-203.8173	-205.4705	1.653143	0.06034101
320	-199.228	-201.9692	2.741246	0.0175607
330	-196.9193	-199.5735	2.654157	0.02091847
340	-200.7596	-202.5477	1.788121	0.05434994
350	-197.1949	-199.187	1.992175	0.0457912
360	-213.6993	-215.0172	1.317889	0.076479
370	-195.3238	-197.4796	2.155801	0.03931778
380	-194.8608	-197.3578	2.497049	0.02664946
390	-196.6072	-198.6429	2.035719	0.04403679
400	-194.7011	-196.9482	2.2471	0.03583641
410	-222.1874	-224.9791	2.791692	0.006031566
420	-197.2906	-199.9621	2.671527	0.02026777
430	-214.7209	-216.0093	1.28841	0.07798927
440	-194.9494	-197.4581	2.508726	0.02622701
450	-198.8511	-201.5809	2.729818	0.01801888
460	-199.7849	-202.5416	2.756684	0.01692851
470	-194.4042	-196.7798	2.375557	0.03106692
480	-197.3736	-199.3534	1.979779	0.04629507
490	-194.5533	-196.8344	2.281109	0.0345604
500	-202.3516	-204.0665	1.71488	0.05756668
510	-196.0384	-198.1217	2.083293	0.04214693
520	-194.6702	-196.9236	2.253401	0.03559922
530	-211.1826	-212.5763	1.393765	0.07266159
540	-195.2628	-197.8059	2.543114	0.0249825
550	-207.2002	-208.7257	1.525516	0.06626589
560	-195.9057	-198.5011	2.595368	0.02308398
570	-194.6309	-196.8928	2.261903	0.03527973
580	-201.2042	-202.9711	1.766904	0.05527361
590	-194.6613	-197.1264	2.465101	0.02780612
600	-195.0768	-197.2636	2.186782	0.03812681
610	-202.7966	-204.4922	1.695627	0.05842562
620	-198.9068	-200.7917	1.884851	0.05022111
630	-195.534	-198.1013	2.56733	0.02410445
640	-198.1246	-200.8298	2.705171	0.01898494
650	-196.5173	-199.1504	2.633167	0.02169708
660	-202.7633	-205.5805	2.817245	0.0141959
670	-200.9196	-203.7032	2.78363	0.01577623
680	-200.4447	-203.2177	2.773022	0.01623868
690	-195.4218	-197.9796	2.557785	0.0244508
700	-195.9948	-198.082	2.087232	0.04199168
710	-199.5635	-202.3143	2.750741	0.01717387
720	-195.7105	-198.2917	2.581252	0.02359839
730	-221.7463	-222.8482	1.101973	0.08790362
740	-198.7499	-200.6437	1.89381	0.04984536
750	-194.4166	-196.7536	2.337077	0.03248212
760	-200.5631	-203.3388	2.775752	0.01612087
770	-194.6134	-197.0689	2.45556	0.02815196
780	-199.2758	-201.1401	1.864328	0.05108602
790	-195.5223	-197.6559	2.133638	0.04017623
800	-194.745	-196.9837	2.238685	0.03615379
810	-198.8634	-201.5936	2.730206	0.01800343
820	-235.3974	-236.1931	0.7957952	0.1056175
830	-225.7651	-228.5039	2.738795	0.005265039
840	-195.4414	-197.5838	2.142433	0.0398349
850	-194.5185	-196.951	2.432476	0.02899002
860	-194.6926	-197.1634	2.470832	0.02759849
870	-207.0548	-208.5854	1.530658	0.06602209
880	-195.3043	-197.4624	2.158103	0.03922895
890	-195.8159	-197.9198	2.10394	0.04133517
900	-194.6102	-197.0651	2.454895	0.0281761
910	-194.4157	-196.7535	2.337755	0.03245711
920	-194.607	-197.0613	2.454221	0.02820054
930	-211.5718	-214.4428	2.870938	0.009291032
940	-204.5017	-207.3416	2.839997	0.0129459
950	-195.6353	-198.2108	2.575471	0.02380867
960	-200.1461	-202.9119	2.765871	0.01654362
970	-194.4069	-196.7864	2.379453	0.03092418
980	-196.0589	-198.1403	2.081459	0.04221927
990	-214.933	-216.2154	1.282375	0.07830033
1000	-200.1809	-202.9476	2.766724	0.0165075
1010	-197.5371	-199.5059	1.968732	0.04674577
1020	-195.1399	-197.6705	2.530654	0.02543362
1030	-206.5832	-208.1308	1.547524	0.06522556
1040	-194.6455	-196.9041	2.25868	0.03540075
1050	-196.6365	-199.2762	2.639662	0.02145694
1060	-195.4888	-197.6261	2.137233	0.04003658
1070	-195.5825	-198.1538	2.571282	0.0239609
1080	-195.0267	-197.5447	2.518076	0.02588875
1090	-202.3746	-204.0885	1.713871	0.05761155
1100	-203.1227	-204.8045	1.681812	0.0590454
1110	-200.738	-203.5177	2.779681	0.01594992
1120	-199.6398	-202.3926	2.752816	0.01708851
1130	-204.1449	-206.9809	2.835938	0.01318685
1140	-197.578	-200.2619	2.683882	0.0198006
1150	-195.8618	-198.4541	2.592295	0.02319609
1160	-197.5334	-199.5023	1.968984	0.04673546
1170	-195.7383	-198.3217	2.583343	0.02352227
1180	-206.2406	-207.8006	1.559965	0.06464093
1190	-223.053	-224.1229	1.0699	0.08967394
1200	-201.2915	-204.0829	2.791333	0.01543156
