state	power	likelihood
2510	0.0182119	-198.508
2520	0.0182119	-205.78
2530	0.0182119	-196.978
2540	0.0182119	-197.309
2550	0.0182119	-202.289
2560	0.0182119	-206.312
2570	0.0182119	-199.309
2580	0.0182119	-238.925
2590	0.0182119	-258.762
2600	0.0182119	-230.649
2610	0.0182119	-196.759
2620	0.0182119	-204.033
2630	0.0182119	-198.018
2640	0.0182119	-197.745
2650	0.0182119	-198.925
2660	0.0182119	-212.227
2670	0.0182119	-207.889
2680	0.0182119	-198.231
2690	0.0182119	-227.472
2700	0.0182119	-203.813
2710	0.0182119	-241.189
2720	0.0182119	-231.17
2730	0.0182119	-199.026
2740	0.0182119	-251.973
2750	0.0182119	-210.586
2760	0.0182119	-198.999
2770	0.0182119	-198.214
2780	0.0182119	-207.582
2790	0.0182119	-236.651
2800	0.0182119	-197.004
2810	0.0182119	-196.895
2820	0.0182119	-196.875
2830	0.0182119	-242.284
2840	0.0182119	-200.136
2850	0.0182119	-199.506
2860	0.0182119	-197.358
2870	0.0182119	-197.489
2880	0.0182119	-210.707
2890	0.0182119	-260.016
2900	0.0182119	-198.563
2910	0.0182119	-198.338
2920	0.0182119	-198.24
2930	0.0182119	-206.284
2940	0.0182119	-221.737
2950	0.0182119	-225.008
2960	0.0182119	-208.216
2970	0.0182119	-197.651
2980	0.0182119	-199.856
2990	0.0182119	-197.854
3000	0.0182119	-209.399
3010	0.0182119	-196.933
3020	0.0182119	-198.099
3030	0.0182119	-206.015
3040	0.0182119	-202.173
3050	0.0182119	-215.034
3060	0.0182119	-196.96
3070	0.0182119	-219.488
3080	0.0182119	-200.87
3090	0.0182119	-197.57
3100	0.0182119	-197.934
3110	0.0182119	-196.956
3120	0.0182119	-205.301
3130	0.0182119	-214.092
3140	0.0182119	-200.693
3150	0.0182119	-198.332
3160	0.0182119	-198.233
3170	0.0182119	-197.28
3180	0.0182119	-206.085
3190	0.0182119	-197.069
3200	0.0182119	-198.42
3210	0.0182119	-214.348
3220	0.0182119	-214.279
3230	0.0182119	-196.758
3240	0.0182119	-202.209
3250	0.0182119	-198.39
3260	0.0182119	-200.448
3270	0.0182119	-196.905
3280	0.0182119	-209.197
3290	0.0182119	-201.68
3300	0.0182119	-203.593
3310	0.0182119	-202.227
3320	0.0182119	-198.436
3330	0.0182119	-197.514
3340	0.0182119	-196.769
3350	0.0182119	-197.914
3360	0.0182119	-213.822
3370	0.0182119	-212.149
3380	0.0182119	-201.256
3390	0.0182119	-196.801
3400	0.0182119	-247.993
3410	0.0182119	-210.596
3420	0.0182119	-204.866
3430	0.0182119	-197.538
3440	0.0182119	-285.276
3450	0.0182119	-224.141
3460	0.0182119	-438.914
3470	0.0182119	-218.396
3480	0.0182119	-197.086
3490	0.0182119	-211.438
3500	0.0182119	-199.837
3510	0.0182119	-196.82
3520	0.0182119	-202.779
3530	0.0182119	-198.868
3540	0.0182119	-238.923
3550	0.0182119	-228.564
3560	0.0182119	-204.493
3570	0.0182119	-197.816
3580	0.0182119	-252.78
3590	0.0182119	-198.235
3600	0.0182119	-201.018
3610	0.0182119	-202.324
3620	0.0182119	-201.635
3630	0.0182119	-202.098
3640	0.0182119	-200.668
3650	0.0182119	-198.637
3660	0.0182119	-196.753
3670	0.0182119	-199.259
3680	0.0182119	-311.16
3690	0.0182119	-216.85
3700	0.0182119	-202.95
3710	0.0182119	-200.396
3720	0.0182119	-208.195
3730	0.0182119	-197.726
3740	0.0182119	-200.04
3750	0.0182119	-197.918
3760	0.0182119	-270.362
3770	0.0182119	-196.906
3780	0.0182119	-209.956
3790	0.0182119	-208.187
3800	0.0182119	-295.865
