Iteration	Posterior	Likelihood	Prior	birth_rate
0	-200.5955	-202.1961	1.600576	0.06341071
10	-195.278	-197.8996	2.62163	0.02146861
20	-192.5708	-194.9941	2.423371	0.02899968
30	-197.3631	-199.1201	1.756981	0.05617687
40	-192.1514	-194.4235	2.272097	0.03476708
50	-192.414	-194.8108	2.396879	0.03000079
60	-192.2685	-194.6317	2.363131	0.03128039
70	-218.2633	-219.2911	1.027715	0.0934864
80	-202.9089	-205.7077	2.798784	0.01351384
90	-192.4441	-194.8466	2.402509	0.02978782
100	-208.1858	-209.5038	1.317981	0.07750653
110	-194.3078	-196.2633	1.955499	0.04752368
120	-209.494	-212.3246	2.830663	0.009950381
130	-206.7236	-209.5496	2.825973	0.01125803
140	-209.4778	-210.7545	1.276738	0.07968102
150	-193.4223	-195.4584	2.036088	0.04416529
160	-192.5434	-194.9626	2.419192	0.02915744
170	-194.7873	-196.7056	1.918322	0.04910186
180	-194.0032	-196.5578	2.554668	0.02404227
190	-198.6519	-201.3811	2.729219	0.01705047
200	-200.5707	-203.3376	2.766981	0.01527622
210	-192.1676	-194.4247	2.257114	0.03534701
220	-192.2542	-194.4722	2.217952	0.0368723
230	-198.8025	-201.5351	2.732647	0.01689744
240	-200.5547	-203.3214	2.766715	0.01528957
250	-194.6427	-196.5718	1.929183	0.04863886
260	-195.1285	-197.7434	2.614913	0.02173011
270	-197.2569	-199.0197	1.762785	0.05591573
280	-192.4084	-194.8042	2.395805	0.03004142
290	-196.4433	-199.1103	2.666946	0.01967284
300	-205.0427	-207.86	2.81727	0.0121755
310	-207.7024	-209.0362	1.333807	0.07668033
320	-193.8546	-196.3996	2.545008	0.02440909
330	-192.9919	-195.0768	2.084901	0.0421708
340	-196.9475	-198.7275	1.780003	0.05514402
350	-208.5162	-209.8235	1.307291	0.0780672
360	-192.1495	-194.4538	2.304375	0.03352397
370	-212.3806	-213.5696	1.189003	0.08441077
380	-194.5972	-197.186	2.588873	0.02273583
390	-208.2262	-209.5429	1.316668	0.07757531
400	-200.8091	-203.5799	2.770868	0.01507902
410	-202.1859	-204.9763	2.790371	0.01402094
420	-193.1844	-195.2463	2.061909	0.04310665
430	-202.6228	-205.4184	2.795595	0.01371089
440	-197.7652	-200.4723	2.707129	0.01801044
450	-202.2048	-203.7379	1.533138	0.06665097
460	-197.5283	-200.229	2.700626	0.01828574
470	-192.1742	-194.5002	2.325943	0.03269771
480	-192.1754	-194.4274	2.251965	0.03554675
490	-193.7389	-196.276	2.537114	0.02470837
500	-192.6068	-194.7468	2.139981	0.03995403
510	-198.3962	-201.1194	2.723194	0.0173166
520	-211.9507	-214.7767	2.825972	0.008959873
530	-193.6974	-195.7063	2.008872	0.0452901
540	-192.3925	-194.7851	2.392646	0.03016099
550	-193.1245	-195.1934	2.068829	0.04282431
560	-203.3707	-204.858	1.48733	0.06889517
570	-207.0559	-209.8831	2.827144	0.0110887
580	-201.6379	-203.1941	1.55629	0.06553012
590	-194.5271	-196.4651	1.938075	0.04826101
600	-207.7807	-210.6098	2.829102	0.01073188
610	-192.5301	-194.6834	2.153325	0.03942208
620	-193.6833	-195.6935	2.01021	0.04523457
630	-193.4611	-195.9777	2.51656	0.02548578
640	-200.3216	-203.0843	2.762746	0.01548716
650	-255.379	-255.6501	0.271045	0.1433138
660	-192.145	-194.4307	2.285719	0.03424142
670	-206.86	-209.6864	2.826475	0.0111881
680	-196.7561	-199.4334	2.67737	0.01924956
690	-196.904	-199.5861	2.682087	0.0190564
700	-197.942	-200.6538	2.711809	0.01781044
710	-220.3692	-221.3435	0.9742547	0.09660674
720	-200.2734	-201.8882	1.614758	0.0627388
730	-192.1499	-194.4241	2.274162	0.03468728
740	-215.8454	-216.9371	1.091689	0.08982647
750	-192.2679	-194.4814	2.213533	0.03704528
760	-192.5315	-194.9488	2.41732	0.02922812
770	-193.0908	-195.5753	2.484543	0.0266936
780	-252.182	-252.5074	0.3253797	0.1393059
790	-209.3134	-212.1441	2.830693	0.01002895
800	-199.3961	-201.0508	1.654751	0.0608614
810	-195.2929	-197.1753	1.882329	0.05064785
820	-192.4803	-194.8892	2.4089	0.02954622
