state	power	likelihood
2510	4.87466e-06	-195.8
2520	4.87466e-06	-196.98
2530	4.87466e-06	-229.108
2540	4.87466e-06	-210.725
2550	4.87466e-06	-195.005
2560	4.87466e-06	-212.178
2570	4.87466e-06	-207.873
2580	4.87466e-06	-194.424
2590	4.87466e-06	-194.475
2600	4.87466e-06	-195.727
2610	4.87466e-06	-195.584
2620	4.87466e-06	-201.588
2630	4.87466e-06	-218.092
2640	4.87466e-06	-214.06
2650	4.87466e-06	-206.279
2660	4.87466e-06	-211.005
2670	4.87466e-06	-213.645
2680	4.87466e-06	-229.398
2690	4.87466e-06	-210.37
2700	4.87466e-06	-195.297
2710	4.87466e-06	-307.928
2720	4.87466e-06	-226.788
2730	4.87466e-06	-238.291
2740	4.87466e-06	-212.636
2750	4.87466e-06	-216.916
2760	4.87466e-06	-233.401
2770	4.87466e-06	-201.035
2780	4.87466e-06	-194.513
2790	4.87466e-06	-207.883
2800	4.87466e-06	-194.523
2810	4.87466e-06	-240.043
2820	4.87466e-06	-227.376
2830	4.87466e-06	-203.172
2840	4.87466e-06	-198.406
2850	4.87466e-06	-201.575
2860	4.87466e-06	-214.39
2870	4.87466e-06	-208.763
2880	4.87466e-06	-194.978
2890	4.87466e-06	-252.285
2900	4.87466e-06	-194.446
2910	4.87466e-06	-221.694
2920	4.87466e-06	-194.92
2930	4.87466e-06	-208.836
2940	4.87466e-06	-264.641
2950	4.87466e-06	-205.224
2960	4.87466e-06	-202.251
2970	4.87466e-06	-195.242
2980	4.87466e-06	-215.329
2990	4.87466e-06	-195.772
3000	4.87466e-06	-223.983
3010	4.87466e-06	-204.208
3020	4.87466e-06	-207.039
3030	4.87466e-06	-243.577
3040	4.87466e-06	-202.048
3050	4.87466e-06	-282.312
3060	4.87466e-06	-218.79
3070	4.87466e-06	-194.638
3080	4.87466e-06	-210.502
3090	4.87466e-06	-205.115
3100	4.87466e-06	-205.103
3110	4.87466e-06	-194.427
3120	4.87466e-06	-196.802
3130	4.87466e-06	-194.433
3140	4.87466e-06	-227.559
3150	4.87466e-06	-212.243
3160	4.87466e-06	-234.868
3170	4.87466e-06	-387.324
3180	4.87466e-06	-204.837
3190	4.87466e-06	-223.56
3200	4.87466e-06	-206.775
3210	4.87466e-06	-214.186
3220	4.87466e-06	-311.39
3230	4.87466e-06	-366.373
3240	4.87466e-06	-195.128
3250	4.87466e-06	-195.292
3260	4.87466e-06	-209.681
3270	4.87466e-06	-308.864
